,0,1,2,3
0,1,360,3.34,1.0
1,1,360,2.41,2.0
2,1,360,2.60,3.0
3,1,360,2.10,4.0
4,1,360,2.09,5.0
5,1,360,2.22,6.0
6,1,360,2.09,7.0
7,1,360,2.75,8.0
8,1,360,2.41,9.0
9,1,360,2.35,10.0
10,1,360,2.37,11.0
11,1,360,2.80,12.0
12,1,360,3.09,13.0
13,1,360,4.50,14.0
14,1,360,4.47,15.0
15,1,360,2.87,16.0
16,1,360,3.01,17.0
17,1,360,2.60,18.0
18,1,360,2.53,19.0
19,1,360,2.77,20.0
20,1,360,2.37,21.0
21,1,360,2.30,22.0
22,1,360,1.98,23.0
23,1,360,2.28,24.0
24,1,360,2.05,25.0
25,1,360,1.97,26.0
26,1,360,1.93,27.0
27,1,360,1.72,28.0
28,1,360,1.73,29.0
29,1,360,1.78,30.0
30,1,360,1.92,31.0
31,1,360,1.81,32.0
32,1,360,1.87,33.0
33,1,360,1.76,34.0
34,1,360,1.69,35.0
35,1,360,1.65,36.0
36,1,360,1.76,37.0
37,1,360,1.59,38.0
38,1,360,1.70,39.0
39,1,360,1.71,40.0
40,1,360,1.62,41.0
41,1,360,1.72,42.0
42,1,360,1.71,43.0
43,1,360,1.74,44.0
44,1,360,1.73,45.0
45,1,360,1.67,46.0
46,1,360,1.64,47.0
47,1,360,1.56,48.0
48,1,360,1.54,49.0
49,1,360,1.73,50.0
50,1,360,1.71,51.0
51,1,360,1.75,52.0
52,1,360,1.78,53.0
53,1,360,1.88,54.0
54,1,360,2.05,55.0
55,1,360,1.95,56.0
56,1,360,2.04,57.0
57,1,360,1.76,58.0
58,1,360,1.61,59.0
59,1,360,1.69,60.0
60,1,360,1.76,61.0
61,1,360,1.82,62.0
62,1,360,1.84,63.0
63,1,360,1.86,64.0
64,1,360,1.87,65.0
65,1,360,1.82,66.0
66,1,360,1.79,67.0
67,1,360,1.65,68.0
68,1,360,1.60,69.0
69,1,360,2.13,70.0
70,1,"293,360","4.95,1.72",71.0
71,1,293,1.93,72.0
72,1,293,1.98,73.0
73,1,293,2.25,74.0
74,1,293,2.20,75.0
75,1,293,2.39,76.0
76,1,293,2.45,77.0
77,1,293,2.50,78.0
78,1,293,2.40,79.0
79,1,293,2.32,80.0
80,1,293,2.35,81.0
81,1,293,2.31,82.0
82,1,293,2.66,83.0
83,1,293,2.46,84.0
84,1,293,2.84,85.0
85,1,293,2.53,86.0
86,1,293,2.62,87.0
87,1,293,2.49,88.0
88,1,293,2.56,89.0
89,1,293,2.90,90.0
90,1,293,2.39,91.0
91,1,293,2.21,92.0
92,1,293,2.19,93.0
93,1,293,2.40,94.0
94,1,293,2.26,95.0
95,1,293,2.13,96.0
96,1,293,2.40,97.0
97,1,293,2.01,98.0
98,1,293,2.15,99.0
99,2,384,2.58,1.0
100,2,384,2.25,2.0
101,2,384,2.74,3.0
102,2,384,2.33,4.0
103,2,384,1.90,5.0
104,2,384,1.84,6.0
105,2,384,1.78,7.0
106,2,384,1.99,8.0
107,2,384,2.10,9.0
108,2,384,1.90,10.0
109,2,384,1.95,11.0
110,2,384,2.00,12.0
111,2,384,1.89,13.0
112,2,384,1.86,14.0
113,2,384,2.09,15.0
114,2,384,3.38,16.0
115,2,384,3.90,17.0
116,2,,,18.0
117,2,384,4.22,19.0
118,2,384,4.91,20.0
119,2,384,3.77,21.0
120,2,384,3.32,22.0
121,2,384,3.32,23.0
122,2,384,3.31,24.0
123,2,384,3.39,25.0
124,2,384,2.73,26.0
125,2,384,2.83,27.0
126,2,384,2.67,28.0
127,2,384,2.57,29.0
128,2,384,2.53,30.0
129,2,384,2.18,31.0
130,2,"6957,384","4.64,2.24",32.0
131,2,384,1.92,33.0
132,2,384,1.99,34.0
133,2,384,2.02,35.0
134,2,384,2.04,36.0
135,2,"6957,384","4.89,2.24",37.0
136,2,384,2.18,38.0
