t,ID (CME),x (CME),y (CME),z (CME),FI (CME),ID (Dino),x (Dino),y (Dino),z (Dino),FI (Dino),Distance
1.0,1.0,268.92,332.29,2.7825,74.177,18.0,265.59592,339.698,2.4528644,131.5,8.126292603345453
2.0,1.0,340.85,379.83,1.8845999999999998,56.538,99.0,321.65436,363.01047,5.585113,73.2,25.7888150346942
3.0,1.0,248.63,525.17,2.0242,101.02,37.0,246.46207,523.3665,3.5411983,48.9,3.2021581124458502
4.0,1.0,245.19,656.86,1.955,92.161,105.0,252.21233,646.69586,5.260481,117.94,12.788630310156778
5.0,1.0,259.59,194.63,2.9598,200.72,12.0,260.65567,194.0304,4.0046024,81.3,1.6083484584957934
6.0,1.0,243.71,694.86,2.8216,113.8,2280.0,242.52925,693.6376,3.6922345,57.4,1.9095645459345632
7.0,1.0,248.95,537.29,2.0887,71.15,38.0,246.87166,536.65234,3.8298492,31.33,2.7852662292607877
8.0,1.0,243.24,694.89,2.7712,148.91,2280.0,242.14268,693.7888,3.6860998,54.62,1.8038276709375316
9.0,1.0,243.82,695.17,3.0564,133.14,2280.0,242.84088,694.18054,3.961426,51.22,1.6603551206522071
10.0,1.0,263.06,34.295,2.8184,82.594,107.0,280.20764,30.293655,8.881255,51.7,18.622849678007142
11.0,1.0,257.08,136.14,2.5722,110.7,2685.0,256.08035,135.17189,3.385125,53.88,1.6116402049542384
12.0,1.0,248.01,509.77,2.9189,69.583,36.0,247.5056,508.4727,3.9999905,25.94,1.7624310821108078
13.0,1.0,259.17,181.41,2.873,174.99,11.0,257.6295,180.25288,3.5418355,64.6,2.039462642575308
14.0,1.0,249.97,526.03,2.4855,140.91,37.0,249.34389,524.9133,3.4874682,55.0,1.6257222689964859
15.0,1.0,241.26,619.78,2.5127,90.939,42.0,239.6171,618.73047,3.768751,30.75,2.319115724904861
16.0,1.0,242.8,620.49,2.3282,108.62,42.0,240.52194,619.4796,3.7388568,37.34,2.863637220561693
17.0,1.0,243.31,620.52,2.2698,104.21,42.0,240.6501,619.6048,3.5620704,34.72,3.0955810176308054
18.0,1.0,241.65,492.1,2.1503,34.012,2917.0,264.92825,510.20178,1.5002165,29.05,29.495321167735575
19.0,1.0,246.56,536.13,2.0813,63.041,38.0,244.74135,534.9932,3.9724283,26.52,2.859399991180115
20.0,1.0,243.28,621.41,2.4467,135.44,64.0,241.53653,620.674,3.7281194,49.78,2.2854801070226696
21.0,1.0,243.01,620.15,2.624,107.99,64.0,241.33643,619.4381,3.7210884,40.0,2.123968246541018
22.0,1.0,241.24,620.15,2.1961,99.896,64.0,240.25859,619.65894,3.4697623,37.66,1.681226090132217
23.0,1.0,249.71,525.91,1.9477000000000002,52.839,37.0,248.99785,524.9955,3.9999654,37.56,2.3569601491194385
24.0,1.0,244.05,492.58,2.1082,37.273,2917.0,263.64224,509.10446,1.0384779,38.16,25.652640251647192
25.0,1.0,241.77,690.9,1.9419,82.234,4677.0,240.3315,688.4884,3.9836948,28.0,3.471890380658231
26.0,1.0,241.72,689.8,2.2412,75.127,4677.0,240.01247,690.4553,3.558926,30.97,2.2542135218244046
27.0,1.0,257.55,138.45,2.5334,97.903,2685.0,256.2803,137.4727,3.3961112,43.8,1.8197593232637694
28.0,1.0,243.72,389.3,2.5738,29.966,3974.0,255.76619,366.6399,3.8376367,35.22,25.694125957704163
29.0,1.0,256.26,329.46,2.1053,39.417,18.0,266.18243,340.56616,4.284388,59.1,15.051572395010608
30.0,1.0,248.37,623.62,2.2524,80.796,65.0,246.93204,623.05634,3.8078527,25.78,2.192002431371218
31.0,1.0,235.64,673.99,2.349,74.84,48.0,227.16028,671.6823,0.0,21.92,9.096643972828636
32.0,1.0,250.43,466.77,2.5588,66.95,5050.0,268.7183,468.04456,9.181887,35.22,19.49234981969
33.0,1.0,244.87,495.16,2.3249,48.8,5673.0,249.1418,525.3041,4.0156984,25.11,30.492193087402516
