ID (CME),ID (Dino),x (CME),y (CME),z (CME),x (Dino),y (Dino),z (Dino),t,t_start (CME),t_start (Dino),FI (CME),FI (Dino),Track Length (CME),Track Length (Dino),Feature 0,Feature 1,Feature 2,Distance,Multi ID (Dino),Multi Distance (Dino)
2.0,237.0,291.3,226.51,21.24000000000001,289.95996,225.44984,21.011475,1.0,1.0,1.0,229.96,77.44,99.0,99.0,-5.56,-5.605,-0.8926,1.7239112804390377,237,1.72
2.0,237.0,291.98,226.98,20.919999999999987,290.60168,225.96657,20.809637,2.0,1.0,1.0,242.52,80.75,99.0,99.0,-7.723,-1.645,-0.6924,1.7143472166014333,237,1.71
2.0,237.0,291.7,226.58,20.900000000000006,290.33856,225.55232,20.688269,3.0,1.0,1.0,252.34,84.94,99.0,99.0,-6.344,-1.445,-1.248,1.7188586539797432,237,1.72
2.0,237.0,291.69,227.07,20.840000000000003,290.68555,226.09846,20.659414,4.0,1.0,1.0,272.54,85.7,99.0,99.0,-6.938,0.06042,-1.707,1.409049707248133,237,1.41
2.0,237.0,292.56,227.12,20.72999999999999,291.28845,226.16327,20.67501,5.0,1.0,1.0,246.29,77.94,99.0,99.0,-6.254,-0.4678,-1.995,1.592229755876947,237,1.59
2.0,237.0,292.74,227.17,21.439999999999998,291.42377,226.19388,21.425905,6.0,1.0,1.0,207.15,70.5,99.0,99.0,-5.734,-0.58,-1.523,1.6387404725352366,237,1.64
2.0,237.0,292.42,227.28,21.0,291.03998,226.28201,20.915075,7.0,1.0,1.0,194.14,65.7,99.0,99.0,-4.695,-1.559,-1.58,1.7051837133062757,237,1.71
2.0,237.0,292.66,227.48,21.349999999999994,291.5758,226.4662,21.303476,8.0,1.0,1.0,190.98,64.1,99.0,99.0,-5.523,-1.999,-1.33,1.485073924953242,237,1.49
2.0,237.0,292.27,227.31,21.689999999999998,290.97525,226.30142,21.508545,9.0,1.0,1.0,215.83,73.06,99.0,99.0,-4.617,-2.557,-1.728,1.6512229092175585,237,1.65
2.0,237.0,292.73,227.34,21.830000000000013,291.46136,226.31831,21.779041,10.0,1.0,1.0,178.69,61.44,99.0,99.0,-4.797,-3.223,-1.306,1.6296916043782723,237,1.63
2.0,237.0,292.36,227.23,21.370000000000005,291.12085,226.21233,21.333986,11.0,1.0,1.0,187.96,64.44,99.0,99.0,-5.543,-1.373,-1.355,1.6038833996260295,237,1.60
2.0,237.0,293.24,227.2,21.47,291.9204,226.17615,21.308542,12.0,1.0,1.0,208.73,65.8,99.0,99.0,-6.53,-1.428,-1.534,1.677999305203688,237,1.68
2.0,237.0,292.68,227.97,21.25999999999999,291.5301,226.91911,21.289879,13.0,1.0,1.0,187.89,61.62,99.0,99.0,-5.574,-2.295,-2.164,1.5580540930086562,237,1.56
2.0,237.0,292.44,227.59,21.080000000000013,291.2584,226.53174,21.205128,14.0,1.0,1.0,196.85,66.4,99.0,99.0,-6.883,-0.04846,-1.588,1.5911473231552076,237,1.59
2.0,237.0,292.39,227.86,21.05000000000001,291.0498,226.80334,20.998728,15.0,1.0,1.0,194.02,65.1,99.0,99.0,-5.92,-0.268,-1.975,1.7074235600998362,237,1.71
2.0,237.0,292.17,227.87,21.169999999999987,290.85498,226.86061,21.1428,16.0,1.0,1.0,209.33,70.8,99.0,99.0,-6.867,1.024,-2.588,1.6579763606577755,237,1.66
2.0,237.0,292.42,228.14,21.210000000000008,291.35812,227.09822,20.958897,17.0,1.0,1.0,254.58,80.44,99.0,99.0,-7.64,2.738,-2.611,1.5086243466844373,237,1.51
2.0,237.0,292.64,228.26,21.580000000000013,291.6531,227.30873,21.361938,18.0,1.0,1.0,247.4,77.06,99.0,99.0,-8.11,2.54,-1.867,1.387961548006276,237,1.39
2.0,237.0,292.2,228.42,21.080000000000013,291.23257,227.46945,20.835268,19.0,1.0,1.0,264.3,83.06,99.0,99.0,-8.34,3.865,-1.498,1.3781726521825746,237,1.38
2.0,237.0,292.19,228.29,21.319999999999993,291.29175,227.36064,21.003086,20.0,1.0,1.0,293.96,88.0,99.0,99.0,-9.31,5.137,-2.104,1.3307883210698965,237,1.33
2.0,237.0,291.96,228.42,21.360000000000014,291.08142,227.50215,21.067253,21.0,1.0,1.0,290.21,90.7,99.0,99.0,-9.32,3.066,-2.672,1.3038605158946195,237,1.30
2.0,237.0,292.11,227.7,20.72,291.34576,226.73479,20.618792,22.0,1.0,1.0,284.66,86.56,99.0,99.0,-9.516,5.797,-1.7705,1.2352878939599528,237,1.24
2.0,237.0,291.74,228.6,20.819999999999993,291.1783,227.8433,20.891565,23.0,1.0,1.0,267.64,81.06,99.0,99.0,-9.65,4.47,-2.348,0.9451049302723098,237,0.95
2.0,237.0,290.95,228.29,19.97,290.07748,227.49995,20.22089,24.0,1.0,1.0,252.81,77.56,99.0,99.0,-9.79,3.795,-2.756,1.2035015351049552,237,1.20
2.0,237.0,291.08,228.38,20.370000000000005,290.22186,227.61588,20.459764,25.0,1.0,1.0,264.66,86.75,99.0,99.0,-9.664,3.97,-2.217,1.1525368582808844,237,1.15
2.0,237.0,291.2,227.62,20.169999999999987,290.26123,226.85004,20.193592,26.0,1.0,1.0,283.04,86.75,99.0,99.0,-11.11,6.926,-2.246,1.2143657179630662,237,1.21
2.0,237.0,291.25,228.23,20.69999999999999,290.22342,227.38635,20.576408,27.0,1.0,1.0,292.48,89.5,99.0,99.0,-11.04,6.246,-3.191,1.334498707891484,237,1.33
2.0,237.0,291.47,228.42,20.430000000000007,290.64102,227.53397,20.440626,28.0,1.0,1.0,289.23,90.3,99.0,99.0,-10.875,5.58,-2.998,1.2134125074252207,237,1.21
2.0,237.0,291.22,228.52,20.120000000000005,290.42197,227.64905,19.982449,29.0,1.0,1.0,342.16,101.7,99.0,99.0,-11.68,4.28,-5.086,1.1892544139086065,237,1.19
2.0,237.0,290.93,227.58,20.110000000000014,290.28976,226.72734,20.633146,30.0,1.0,1.0,270.23,82.2,99.0,99.0,-10.83,7.18,-2.734,1.1876944348257332,237,1.19
2.0,237.0,291.45,227.38,19.710000000000008,290.9251,226.60068,20.106936,31.0,1.0,1.0,247.12,80.3,99.0,99.0,-10.586,7.004,-3.031,1.02000875510751,237,1.02
2.0,237.0,291.34,227.53,19.75,291.02484,226.75713,20.360518,32.0,1.0,1.0,261.16,82.75,99.0,99.0,-11.04,6.65,-4.574,1.0341112565019355,237,1.03
2.0,237.0,290.88,227.08,19.28,290.81256,226.31662,20.198858,33.0,1.0,1.0,220.61,71.5,99.0,99.0,-10.35,3.1,-5.03,1.196493711711021,237,1.20
2.0,237.0,292.23,227.31,20.060000000000002,291.8459,226.60664,20.934454,34.0,1.0,1.0,192.05,64.75,99.0,99.0,-9.54,4.355,-3.992,1.1861356995369603,237,1.19
2.0,237.0,292.95,227.49,20.55000000000001,292.2618,226.76947,21.08457,35.0,1.0,1.0,216.19,65.56,99.0,99.0,-9.77,4.863,-3.764,1.1307288825354975,237,1.13
2.0,237.0,292.96,227.53,20.55000000000001,292.27866,226.79333,21.16975,36.0,1.0,1.0,216.65,66.9,99.0,99.0,-11.37,2.012,-4.598,1.179405336175804,237,1.18
2.0,237.0,292.14,227.97,20.69999999999999,291.41486,227.08972,20.815714,37.0,1.0,1.0,217.92,64.2,99.0,99.0,-10.28,3.326,-4.79,1.1463466438194059,237,1.15
2.0,237.0,292.19,227.55,20.629999999999995,291.33792,226.7571,21.066078,38.0,1.0,1.0,210.77,64.1,99.0,99.0,-11.5,2.02,-5.21,1.2429379543983727,237,1.24
2.0,237.0,292.33,227.55,20.569999999999993,291.8358,226.80075,21.501377,39.0,1.0,1.0,197.38,62.94,99.0,99.0,-10.29,0.015,-5.6,1.2934729678771877,237,1.29
2.0,237.0,292.9,227.29,19.22999999999999,292.28165,226.82051,21.086601,40.0,1.0,1.0,157.09,47.5,99.0,99.0,-8.93,-2.08,-4.805,2.0123977876654955,237,2.01
2.0,237.0,292.77,227.47,19.22999999999999,290.9032,226.99155,21.245949,41.0,1.0,1.0,134.19,42.75,99.0,99.0,-8.35,-2.424,-4.906,2.788889924880665,237,2.79
2.0,237.0,291.59,227.84,18.47,290.3754,227.2726,20.914965,42.0,1.0,1.0,116.48,35.06,99.0,99.0,-4.387,-7.527,-4.777,2.7883776234980973,237,2.79
2.0,237.0,291.97,228.01,18.659999999999997,290.44748,227.27586,20.881174,43.0,1.0,1.0,109.0,30.19,99.0,99.0,-5.555,-6.3,-5.555,2.791172267753488,237,2.79
2.0,237.0,291.9,228.39,19.0,290.49265,227.877,21.13469,44.0,1.0,1.0,117.83,34.72,99.0,99.0,2.926,-10.055,-5.098,2.607816024684225,237,2.61
2.0,237.0,292.53,228.4,18.94999999999999,290.71106,227.93228,21.250528,45.0,1.0,1.0,118.28,41.7,99.0,99.0,-7.145,-6.09,-4.652,2.969803663676111,237,2.97
2.0,237.0,292.0,228.11,18.849999999999994,291.35788,227.0624,21.044012,46.0,1.0,1.0,107.88,36.06,99.0,99.0,-5.562,-5.695,-4.625,2.514651568417387,237,2.51
2.0,237.0,292.66,228.35,19.689999999999998,291.2599,227.5118,20.949488,47.0,1.0,1.0,146.18,43.12,99.0,99.0,-5.8,-7.625,-5.562,2.06135132186244,237,2.06
2.0,237.0,292.36,228.33,19.30000000000001,290.95584,227.45695,20.514664,48.0,1.0,1.0,125.43,39.44,99.0,99.0,-8.03,-3.402,-5.094,2.0516554878916575,237,2.05
2.0,237.0,292.05,228.21,19.659999999999997,290.491,227.37187,20.474,49.0,1.0,1.0,129.06,43.56,99.0,99.0,-9.31,-3.914,-5.03,1.9482142841330616,237,1.95
2.0,237.0,292.61,228.52,19.5,290.8743,227.86629,20.527622,50.0,1.0,1.0,127.69,41.72,99.0,99.0,-8.875,-11.36,-7.715,2.1203769072936196,237,2.12
2.0,237.0,291.94,228.92,19.27000000000001,290.69296,228.04015,20.005947,51.0,1.0,1.0,148.98,49.03,99.0,99.0,-0.3647,-10.41,-5.34,1.6943620542578457,237,1.69
2.0,237.0,292.23,228.89,19.659999999999997,291.14185,227.83942,20.05425,52.0,1.0,1.0,157.11,47.1,99.0,99.0,-7.72,-6.61,-5.918,1.563080874875029,237,1.56
2.0,237.0,291.49,228.76,19.879999999999995,290.30258,227.74878,20.366653,53.0,1.0,1.0,149.26,48.06,99.0,99.0,-10.85,-1.293,-3.89,1.633818621270133,237,1.63
2.0,237.0,292.12,228.72,20.069999999999993,291.17508,227.73027,20.289722,54.0,1.0,1.0,165.23,52.9,99.0,99.0,-11.36,0.06995,-4.95,1.3858993601932528,237,1.39
2.0,237.0,292.36,228.87,19.650000000000006,291.5265,227.83112,19.866486,55.0,1.0,1.0,161.56,52.03,99.0,99.0,-10.914,-1.864,-5.207,1.349392490195508,237,1.35
2.0,237.0,291.92,229.34,20.120000000000005,291.09058,228.40318,20.611574,56.0,1.0,1.0,154.15,50.2,99.0,99.0,-11.96,-0.9824,-3.748,1.3443266888208623,237,1.34
2.0,237.0,291.68,229.23,19.400000000000006,290.7754,228.2101,19.802317,57.0,1.0,1.0,149.18,46.97,99.0,99.0,-11.91,-0.3918,-3.94,1.4213923239165813,237,1.42
2.0,237.0,291.91,229.34,19.560000000000002,290.87936,228.39178,19.874699,58.0,1.0,1.0,151.2,48.34,99.0,99.0,-12.89,1.074,-3.508,1.4354007937161641,237,1.44
2.0,237.0,292.18,229.9,19.5,291.29105,229.00793,19.947939,59.0,1.0,1.0,156.6,47.6,99.0,99.0,-13.336,2.117,-3.275,1.3366638826275938,237,1.34
2.0,237.0,292.25,229.77,19.539999999999992,291.6085,228.94582,20.383165,60.0,1.0,1.0,149.54,45.53,99.0,99.0,-12.586,-0.8613,-4.58,1.3422824366075297,237,1.34
2.0,237.0,292.3,229.74,19.439999999999998,291.40518,228.71584,19.663208,61.0,1.0,1.0,151.31,49.8,99.0,99.0,-13.805,2.781,-3.926,1.3781975000935525,237,1.38
2.0,237.0,292.4,229.96,18.97999999999999,291.56274,229.28194,19.951647,62.0,1.0,1.0,127.93,39.38,99.0,99.0,-11.93,-2.947,-5.926,1.4508161716113361,237,1.45
2.0,237.0,293.15,230.18,19.659999999999997,292.28015,229.2815,19.761887,63.0,1.0,1.0,165.28,49.78,99.0,99.0,-13.25,1.98,-3.621,1.2547199820155088,237,1.25
2.0,237.0,291.92,229.79,19.650000000000006,290.9869,228.97003,20.006529,64.0,1.0,1.0,158.1,46.75,99.0,99.0,-13.01,-0.0428,-4.277,1.2923387089849994,237,1.29
2.0,237.0,292.08,230.09,19.75,291.2201,229.28888,20.118534,65.0,1.0,1.0,140.72,41.8,99.0,99.0,-12.414,-2.27,-4.742,1.2316811980199929,237,1.23
2.0,237.0,292.21,230.05,19.120000000000005,291.47192,229.20708,19.870554,66.0,1.0,1.0,129.98,42.6,99.0,99.0,-12.516,-3.38,-4.984,1.348557570041405,237,1.35
