ID (CME),Missing Time Points,ID (Dino),x (CME),y (CME),z (CME),x (Dino),y (Dino),z (Dino),t,t_start (CME),t_start (Dino),FI (CME),FI (Dino),Track Length (CME),Track Length (Dino),Feature 0,Feature 1,Feature 2,Distance,Multi ID (Dino),Multi Distance (Dino)
9.0,82,11588.0,344.83,413.91,56.39,332.79144,399.5158,48.69736,82.0,1.0,68.0,62.017,28.45,99.0,19.0,-22.47,9.12,-1.696,20.28044946945701,,
9.0,84,11588.0,344.25,413.91,56.88,331.99835,399.99802,49.48934,84.0,1.0,68.0,49.689,32.78,99.0,19.0,-13.12,23.38,-0.11743,19.956652286355556,,
9.0,86,14294.0,343.51,415.47,55.99,353.01102,409.51266,61.95502,86.0,1.0,83.0,57.358,38.44,99.0,7.0,-20.16,6.48,-4.69,12.701997658494518,,
9.0,87,14294.0,344.38,416.45,56.43000000000001,353.6375,409.30707,63.069107,87.0,1.0,83.0,36.393,37.88,99.0,7.0,-14.14,16.02,-4.453,13.44620753195296,,
9.0,88,14294.0,343.94,415.76,56.95,353.3835,409.40707,62.98165,88.0,1.0,83.0,43.674,37.78,99.0,7.0,-16.2,11.61,-4.31,12.881002040113213,,
9.0,89,14294.0,344.42,415.2,57.39,353.64587,409.32764,62.90434,89.0,1.0,83.0,43.243,44.4,99.0,7.0,-7.195,15.99,-4.594,12.247825719779811,,
9.0,90,14294.0,344.06,415.29,56.8,353.17804,409.2392,62.681377,90.0,1.0,83.0,51.365,41.12,99.0,7.0,-15.2,12.484,-3.73,12.423422616080064,,
9.0,91,14294.0,344.37,414.5,57.19,353.85284,409.49112,62.122963,91.0,1.0,83.0,52.076,30.1,99.0,7.0,-3.336,-20.83,-3.703,11.804543925089565,,
9.0,92,12229.0,344.67,414.42,57.11,341.52893,396.99802,54.999725,92.0,1.0,71.0,53.168,22.19,99.0,24.0,-1.898,-20.89,-1.564,17.828207101134026,,
9.0,93,5669.0,344.42,414.62,56.97,355.47018,432.56912,65.06471,93.0,1.0,35.0,55.061,40.06,99.0,64.0,-2.441,-6.707,-0.795,22.57878909044726,,
9.0,94,12229.0,344.82,414.79,57.33,341.51706,397.9994,55.084682,94.0,1.0,71.0,56.75,43.28,99.0,24.0,-10.99,18.45,-1.657,17.259058894526238,,
9.0,95,5669.0,343.84,416.89,57.150000000000006,354.97528,431.88425,64.556274,95.0,1.0,35.0,59.901,47.66,99.0,64.0,-8.664,4.996,-1.684,20.09166215881546,,
10.0,65,4773.0,361.25,245.22,62.69,354.374,254.13582,60.90126,65.0,1.0,28.0,55.254,39.8,99.0,35.0,-11.39,-10.38,-4.965,11.400474247153037,,
