z,y,x,t,intensity_raw,total_intensity,feature_0,feature_1,feature_2,norm,particle,t_starting,track_length,t_end,ID
2.4529812,339.6961,265.646,0,131.9,41526.504,7.26,-8.336,-4.633,11.99,17,0,99,98,17
4.683706,339.35336,266.092,1,78.75,13776.721,8.555,-9.414,-0.738,12.734,17,0,99,98,17
4.7724886,338.95377,265.54688,2,79.2,15040.111,9.77,-11.164,-1.793,14.945,17,0,99,98,17
4.7700095,338.62982,266.499,3,59.2,7161.825,11.234,-13.49,-2.268,17.7,17,0,99,98,17
4.536807,338.96954,266.78787,4,75.56,13144.086,11.44,-12.945,-2.58,17.47,17,0,99,98,17
4.9268236,338.95355,266.56824,5,68.8,12655.935,9.88,-12.66,-1.97,16.17,17,0,99,98,17
4.6173043,339.1818,266.006,6,79.75,17460.807,10.27,-11.266,-1.928,15.37,17,0,99,98,17
4.479803,339.3974,266.39322,7,79.5,16538.957,8.45,-12.05,-2.361,14.91,17,0,99,98,17
4.9117627,339.80344,266.98056,8,82.5,15430.16,10.54,-13.766,-1.745,17.42,17,0,99,98,17
5.1033998,339.16104,266.8169,9,82.56,15358.107,9.38,-12.46,-2.598,15.81,17,0,99,98,17
4.761189,339.64746,267.0055,10,74.8,10175.449,8.99,-12.46,-2.203,15.52,17,0,99,98,17
4.911691,339.722,266.67755,11,71.44,11716.268,8.47,-14.24,-1.14,16.61,17,0,99,98,17
4.8155947,340.7068,266.67374,12,64.75,9191.241,8.54,-14.3,-2.803,16.88,17,0,99,98,17
4.715482,340.59958,266.7255,13,75.56,14210.733,6.918,-13.33,-2.361,15.2,17,0,99,98,17
4.522242,340.7102,267.04623,14,67.56,11618.728,7.85,-14.984,-2.84,17.16,17,0,99,98,17
4.493072,339.2604,266.44107,15,53.06,4722.8755,9.414,-13.766,-1.614,16.75,17,0,99,98,17
4.4093747,339.5598,266.17593,16,63.72,8284.872,9.05,-17.11,-2.99,19.58,17,0,99,98,17
4.5314374,339.2755,266.33148,17,64.75,11725.098,7.33,-14.086,-1.837,15.98,17,0,99,98,17
4.3424606,339.48297,266.0587,18,60.47,11731.336,6.105,-13.13,-2.582,14.71,17,0,99,98,17
4.4520183,339.71442,266.28116,19,66.5,11967.906,7.273,-14.71,-3.045,16.69,17,0,99,98,17
4.430654,339.7286,266.15915,20,56.94,7915.999,9.195,-17.5,-2.586,19.94,17,0,99,98,17
4.7131863,339.9883,265.71774,21,61.4,11730.952,7.254,-13.8,-3.076,15.89,17,0,99,98,17
4.553802,340.475,265.93246,22,60.2,9628.76,7.38,-12.72,-4.24,15.305,17,0,99,98,17
4.4801235,340.8273,265.96695,23,59.53,7978.3086,8.54,-14.24,-3.852,17.05,17,0,99,98,17
4.6497855,341.6209,266.053,24,60.22,7045.556,10.19,-15.12,-2.92,18.45,17,0,99,98,17
4.533183,341.02585,266.2749,25,65.3,11107.99,6.74,-12.96,-4.086,15.164,17,0,99,98,17
4.556878,341.06763,265.998,26,65.56,10032.714,10.2,-14.4,-3.697,18.03,17,0,99,98,17
4.494962,340.46094,266.0681,27,56.75,5674.621,8.59,-11.125,-5.223,14.99,17,0,99,98,17
4.3177996,340.60144,266.17047,28,62.94,6986.893,13.01,-15.0,-3.59,20.19,17,0,99,98,17
4.2410536,339.42776,265.78726,29,57.62,8987.976,8.5,-16.48,-3.877,18.95,17,0,99,98,17
4.544985,338.77377,266.24365,30,58.1,9119.264,8.16,-14.29,-3.363,16.78,17,0,99,98,17
4.9755416,338.45013,266.1329,31,69.2,16125.619,8.96,-12.44,-3.363,15.695,17,0,99,98,17
4.7213297,337.55127,266.41312,32,65.3,14631.48,11.9,-13.07,-3.146,17.95,17,0,99,98,17
4.7654696,337.3574,266.24973,33,71.8,16734.328,8.7,-12.86,-3.566,15.93,17,0,99,98,17
4.3985834,336.81937,266.01083,34,67.8,15260.191,8.64,-15.72,-3.55,18.28,17,0,99,98,17
4.1199884,337.29175,265.95407,35,64.2,15728.95,15.13,-14.336,-2.781,21.03,17,0,99,98,17
4.487487,336.9042,265.65604,36,63.53,18866.871,7.94,-14.01,-3.39,16.45,17,0,99,98,17
4.365013,337.62134,266.02115,37,66.2,15679.312,9.88,-14.75,-4.53,18.33,17,0,99,98,17
4.6182384,337.70868,266.00836,38,66.1,13690.611,11.44,-13.46,-3.768,18.06,17,0,99,98,17
4.843715,338.6784,265.97092,39,64.44,14301.687,10.93,-14.086,-3.44,18.16,17,0,99,98,17
4.6026225,338.87665,265.87238,40,59.03,9798.545,11.44,-16.17,-3.61,20.14,17,0,99,98,17
4.880056,338.4611,265.69,41,58.16,13606.592,12.586,-13.57,-3.986,18.94,17,0,99,98,17
4.585901,338.2809,265.46252,42,62.53,17135.852,9.67,-14.125,-4.043,17.58,17,0,99,98,17
4.619232,337.66467,265.56146,43,65.7,16096.941,20.08,-3.795,-3.203,20.69,17,0,99,98,17
4.900312,336.9119,265.50446,44,65.1,19274.805,9.52,-16.66,-3.361,19.48,17,0,99,98,17
5.0088344,336.27844,265.8646,45,66.06,19085.098,10.29,-13.375,-3.719,17.28,17,0,99,98,17
4.835507,336.7458,265.71024,46,72.5,23194.123,13.23,-14.164,-3.309,19.66,17,0,99,98,17
4.834668,336.27307,265.57553,47,64.9,20892.441,7.742,-15.32,-4.297,17.7,17,0,99,98,17
5.0852127,335.92838,265.71503,48,67.0,20839.553,7.855,-16.72,-3.512,18.8,17,0,99,98,17
4.964208,335.73557,265.43655,49,73.56,23756.076,-24.53,0.9277,-2.896,24.73,17,0,99,98,17
5.3665795,336.5428,265.4931,50,62.28,17934.691,21.06,-2.916,-2.914,21.47,17,0,99,98,17
4.824924,336.9349,265.42517,51,57.34,19556.412,17.9,-9.89,-3.486,20.75,17,0,99,98,17
4.8713284,336.82452,264.97592,52,61.3,20658.527,3.178,-14.23,-3.826,15.07,17,0,99,98,17
