ID (Dino),t,x (Dino),y (Dino),z (Dino),ID (GT),x (GT),y (GT),z (GT),Distance,Multi ID (GT),Multi Distance (GT)
0.0,0.0,255.6964,255.55371,4.020145,168.0,249.091,249.818,1.0,9.254780072218077,,
0.0,1.0,255.51964,255.39844,4.0087843,168.0,248.909,249.091,1.0,9.619622837051697,,
0.0,2.0,255.66039,255.48677,4.0117035,168.0,249.727,249.818,1.091,8.710371928908216,,
0.0,3.0,256.32767,256.15976,4.0322967,168.0,249.818,249.273,1.182,9.895830338305675,,
0.0,4.0,255.07298,254.89723,4.0004954,168.0,249.545,249.0,1.364,8.50217575374218,,
0.0,5.0,255.40402,255.15942,4.0182066,168.0,249.182,250.182,1.273,8.427597641883716,,
0.0,6.0,256.12302,255.61993,4.03206,168.0,249.091,249.455,1.545,9.676834948933449,,
0.0,7.0,255.28806,254.72527,4.0076528,168.0,248.636,249.182,1.727,8.954279520466624,,
0.0,8.0,255.83812,255.20312,4.0234036,620.0,247.727,264.364,7.273,12.659852558055023,,
0.0,9.0,256.17053,255.68773,4.0271816,1222.0,261.818,242.273,1.182,14.83050763496578,,
0.0,10.0,255.52234,255.22975,4.0226316,957.0,267.182,248.818,8.091,13.914374970375723,,
0.0,11.0,255.6425,255.45868,4.016925,957.0,262.909,252.818,7.818,8.615299429969022,,
0.0,12.0,255.73276,255.64384,4.0097146,957.0,260.0,257.636,8.091,6.231767742739864,,
0.0,13.0,255.22139,255.02362,4.003997,957.0,257.909,262.636,8.364,9.175031495123564,,
0.0,14.0,254.76161,254.68044,4.0007234,957.0,257.455,268.273,8.909,14.700449524684885,,
0.0,15.0,255.0454,255.0841,4.004816,143.0,263.909,248.636,3.455,10.97468433276584,,
0.0,16.0,255.45378,255.34961,4.017882,143.0,259.364,252.182,3.818,5.036221438183989,,
0.0,17.0,255.75603,255.54768,4.037927,143.0,253.909,255.091,3.909,1.9070130085107104,143,1.91
0.0,18.0,255.76509,255.65906,4.039819,997.0,249.273,242.091,5.545,15.116383647369531,,
0.0,19.0,255.42406,255.41185,4.0182204,1222.0,258.818,244.273,1.182,11.984863545467501,,
0.0,20.0,255.40797,255.40706,4.019582,1222.0,254.182,247.818,1.091,8.226386002080371,,
0.0,21.0,256.04086,256.1804,4.026789,997.0,250.818,252.455,5.818,6.660728832952219,,
0.0,22.0,255.396,255.67525,4.0213137,997.0,254.636,257.727,6.0,2.9499961925920433,997,2.95
0.0,23.0,254.51772,254.92787,4.0025086,1416.0,250.091,254.545,5.091,4.574631452169003,,
0.0,24.0,255.73141,255.69554,4.031235,1451.0,254.545,258.455,4.0,3.0038581532630664,1451,3.00
0.0,25.0,255.31155,255.19945,4.002014,1451.0,249.091,259.545,4.091,7.588607620189363,,
0.0,26.0,255.07472,255.00499,3.9988594,1451.0,243.818,260.818,4.273,12.672015762579697,,
0.0,27.0,255.34746,255.187,4.0163984,1850.0,248.818,245.455,7.455,12.21350289045377,,
0.0,28.0,255.03452,255.02605,4.0208964,1850.0,243.0,247.091,7.182,14.757617223076105,,
