ID (Dino),t,x (Dino),y (Dino),z (Dino),ID (GT),x (GT),y (GT),z (GT),Distance,Multi ID (GT),Multi Distance (GT)
0.0,0.0,256.0954,256.53195,4.015741,434.0,251.0,264.091,6.727,9.510692058287926,,
0.0,1.0,255.04129,255.55327,4.0013275,434.0,251.455,263.818,6.818,9.439326348275918,,
0.0,2.0,255.79372,256.22943,3.999791,434.0,250.727,263.364,6.818,9.19326071701336,,
0.0,3.0,256.42014,256.74655,4.0219846,434.0,244.545,266.364,6.455,15.473650456784165,,
0.0,4.0,255.24976,255.65935,3.9992003,330.0,249.273,237.0,8.727,20.155522630867697,,
0.0,5.0,253.73871,254.09396,3.9752202,330.0,244.727,239.818,8.636,17.51390360227519,,
0.0,6.0,255.82521,255.99179,4.0153894,330.0,240.455,242.0,8.545,21.272774032453597,,
0.0,7.0,255.41843,255.59654,4.0124717,330.0,235.909,244.091,8.545,23.098465802013802,,
0.0,8.0,256.544,256.69604,4.0327106,330.0,230.545,246.0,8.636,28.487603373779123,,
0.0,9.0,256.8539,257.03488,4.0206885,231.0,267.364,228.182,8.0,30.964266603916705,,
0.0,10.0,254.97511,255.08977,4.0149302,330.0,226.182,248.091,8.727,30.003825869129965,,
0.0,11.0,256.01938,256.17865,3.997475,778.0,255.636,278.909,6.273,22.84718375145008,,
0.0,12.0,254.84587,254.99149,3.9852216,779.0,265.727,245.727,8.091,14.869000682860504,,
0.0,13.0,255.77785,255.96918,4.021722,779.0,266.545,244.818,8.273,16.073384806822236,,
0.0,14.0,254.59784,254.47983,4.00706,779.0,267.091,245.364,8.364,16.067368469606347,,
0.0,15.0,256.42828,256.6813,4.041168,779.0,266.909,246.091,8.364,15.514084642950246,,
0.0,16.0,256.40588,256.6279,4.042151,779.0,266.0,245.818,8.364,15.085736818703968,,
0.0,17.0,256.8833,256.77106,4.0299125,779.0,265.636,246.0,8.182,14.486729148474332,,
0.0,18.0,255.45593,255.22324,4.018345,632.0,250.0,243.091,7.091,13.652824921294672,,
0.0,19.0,253.8877,253.45503,3.9813263,632.0,245.727,245.818,7.091,11.60135001762171,,
