ID (CME),ID (Dino),x (CME),y (CME),z (CME),x (Dino),y (Dino),z (Dino),t,t_start (CME),t_start (Dino),FI (CME),FI (Dino),Track Length (CME),Track Length (Dino),Distance,Multi ID (Dino),Multi Distance (Dino)
0.0,240.0,334.818,468.364,4.455,334.95096,468.51212,9.1827755,0.0,0.0,0.0,1.0,9.15,10.0,10.0,4.731963553790356,,
0.0,240.0,332.909,468.182,4.273,332.86465,468.2225,8.527848,1.0,0.0,0.0,1.0,8.95,10.0,10.0,4.255271868588893,,
0.0,240.0,329.455,469.364,3.909,329.53915,469.50098,7.470022,2.0,0.0,0.0,1.0,9.51,10.0,10.0,3.5646489907680983,,
0.0,240.0,326.727,470.273,3.636,326.7831,470.18256,7.1367235,3.0,0.0,0.0,1.0,8.88,10.0,10.0,3.5023408781916494,,
0.0,240.0,323.818,471.636,3.545,323.8067,471.6364,6.6129227,4.0,0.0,0.0,1.0,9.29,10.0,10.0,3.0679435365037753,240,3.07
0.0,240.0,319.818,472.636,3.545,319.84805,472.65106,6.7361436,5.0,0.0,0.0,1.0,9.11,10.0,10.0,3.1913206172243114,240,3.19
0.0,240.0,319.909,472.273,3.364,319.95352,472.44745,6.244328,6.0,0.0,0.0,1.0,10.625,10.0,10.0,2.8859494487055724,240,2.89
0.0,240.0,320.364,471.545,3.455,320.35287,471.5449,6.925858,7.0,0.0,0.0,1.0,8.734,10.0,10.0,3.470875846679624,240,3.47
0.0,240.0,320.636,471.273,3.364,319.96664,471.31848,7.5644393,8.0,0.0,0.0,1.0,8.51,10.0,10.0,4.253680941606287,,
0.0,240.0,320.273,471.455,3.364,319.4217,471.39206,8.12425,9.0,0.0,0.0,1.0,8.58,10.0,10.0,4.836181675257874,,
1.0,1513.0,508.182,399.364,2.455,507.571,399.2272,6.1343365,23.0,23.0,23.0,1.0,9.664,29.0,5.0,3.732231546974576,,
1.0,1513.0,505.0,405.0,3.0,504.9019,405.30945,6.3577747,24.0,23.0,23.0,1.0,9.914,29.0,5.0,3.373430575609954,1513,3.37
1.0,1513.0,504.545,404.727,2.909,504.6321,404.77145,6.131361,25.0,23.0,23.0,1.0,9.57,29.0,5.0,3.223844386260137,1513,3.22
1.0,1513.0,504.909,404.455,3.091,504.64038,404.83316,7.0354857,26.0,23.0,23.0,1.0,9.02,29.0,5.0,3.9716657874882313,,
1.0,1513.0,504.818,404.455,2.909,504.9481,404.45386,4.5703173,27.0,23.0,23.0,1.0,13.6,29.0,5.0,1.666404056907957,1513,1.67
1.0,1295.0,504.818,404.0,3.091,504.7067,404.2428,6.501636,28.0,23.0,17.0,1.0,9.516,29.0,42.0,3.421078405195647,1295,3.42
1.0,1295.0,504.818,403.909,3.182,504.71063,404.2192,6.6586404,29.0,23.0,17.0,1.0,9.766,29.0,42.0,3.4921026370672683,1295,3.49
1.0,1295.0,505.182,402.636,3.182,505.17648,402.61035,7.087206,30.0,23.0,17.0,1.0,8.45,29.0,42.0,3.905294136852691,,
1.0,1295.0,506.091,402.455,3.273,506.17987,402.53183,6.562837,31.0,23.0,17.0,1.0,9.086,29.0,42.0,3.291933810447744,1295,3.29
1.0,1295.0,505.636,403.364,3.545,505.39194,403.47726,7.409397,32.0,23.0,17.0,1.0,8.54,29.0,42.0,3.873752352023685,,
1.0,1295.0,506.727,402.455,3.727,506.59723,402.48856,7.339005,33.0,23.0,17.0,1.0,9.445,29.0,42.0,3.6144912016112296,,
1.0,1295.0,505.909,402.364,3.727,505.80206,402.29572,7.910122,34.0,23.0,17.0,1.0,8.67,29.0,42.0,4.185045757083667,,
1.0,1295.0,506.273,401.636,3.636,506.2542,401.5862,7.177754,35.0,23.0,17.0,1.0,9.625,29.0,42.0,3.5421539882557336,,
1.0,1295.0,506.909,401.909,3.455,506.8441,401.9297,6.756579,36.0,23.0,17.0,1.0,9.516,29.0,42.0,3.3022816950164926,1295,3.30
1.0,1295.0,507.273,401.636,3.455,507.28674,401.6816,7.194686,37.0,23.0,17.0,1.0,9.305,29.0,42.0,3.739989241454579,,
1.0,1295.0,507.545,402.364,3.545,507.39023,402.4157,6.7856474,38.0,23.0,17.0,1.0,10.0,29.0,42.0,3.2447530282021124,1295,3.24
1.0,1295.0,507.727,401.818,3.727,507.7122,401.84903,7.630593,39.0,23.0,17.0,1.0,9.68,29.0,42.0,3.90374438335158,,
1.0,1295.0,508.545,402.091,3.545,508.37082,402.06946,6.928335,40.0,23.0,17.0,1.0,11.36,29.0,42.0,3.387884054424681,1295,3.39
1.0,1295.0,508.455,402.091,3.727,508.30396,402.10248,7.0417657,41.0,23.0,17.0,1.0,10.516,29.0,42.0,3.3182249046585857,1295,3.32
1.0,1481.0,508.636,402.364,3.636,508.53043,402.27948,5.925802,42.0,23.0,21.0,1.0,12.84,29.0,47.0,2.2937920251199757,1481,2.29
1.0,1481.0,509.273,402.182,3.545,509.09244,402.08224,7.092689,43.0,23.0,21.0,1.0,11.25,29.0,47.0,3.553681360493792,,
1.0,1481.0,509.636,402.455,3.545,509.43866,402.4922,7.082796,44.0,23.0,21.0,1.0,11.69,29.0,47.0,3.5434908569398065,,
1.0,1481.0,509.545,402.727,3.273,509.41016,402.64078,6.126833,45.0,23.0,21.0,1.0,11.65,29.0,47.0,2.8583174256700383,1481,2.86
1.0,1481.0,509.455,404.091,3.273,509.19147,404.23358,5.493375,46.0,23.0,21.0,1.0,12.875,29.0,47.0,2.2405004480974795,1481,2.24
1.0,1481.0,509.182,403.091,3.364,509.00726,403.36484,5.6803036,47.0,23.0,21.0,1.0,12.28,29.0,47.0,2.3389708806594793,1481,2.34
1.0,1481.0,508.909,402.727,3.273,508.62744,402.82227,5.888707,48.0,23.0,21.0,1.0,11.586,29.0,47.0,2.6325416457007877,1481,2.63
1.0,1481.0,508.0,402.091,3.273,507.87094,402.13092,6.001775,49.0,23.0,21.0,1.0,12.2,29.0,47.0,2.732116961373542,1481,2.73
1.0,2738.0,507.727,402.0,3.364,507.26886,403.11273,0.5620303,50.0,23.0,50.0,1.0,3.146,29.0,1.0,3.0494416722111684,2738,3.05
1.0,1481.0,506.818,401.364,3.636,506.59537,401.58267,6.4103847,51.0,23.0,21.0,1.0,9.12,29.0,47.0,2.7918795012310422,1481,2.79
2.0,136.0,64.545,219.091,2.364,64.42381,219.338,6.1263437,0.0,0.0,0.0,1.0,8.945,24.0,21.0,3.7723899762656674,,
2.0,136.0,64.091,219.545,2.273,64.03383,219.70302,5.7826476,1.0,0.0,0.0,1.0,10.18,24.0,21.0,3.5136683118196808,,
2.0,136.0,62.727,220.818,2.091,62.6865,221.11826,5.515615,2.0,0.0,0.0,1.0,8.7,24.0,21.0,3.4379913053736755,136,3.44
2.0,45.0,62.636,220.545,2.182,62.55162,220.69542,0.47864708,3.0,0.0,0.0,1.0,11.95,24.0,7.0,1.7120623034435793,45,1.71
2.0,136.0,62.818,220.091,2.273,62.803356,220.30367,5.8823867,4.0,0.0,0.0,1.0,8.87,24.0,21.0,3.615676330338888,,
2.0,136.0,62.909,218.727,2.364,62.818836,218.90419,5.7777514,5.0,0.0,0.0,1.0,8.91,24.0,21.0,3.4195357088350398,136,3.42
2.0,136.0,62.455,218.818,2.455,62.386223,218.72902,5.4153085,6.0,0.0,0.0,1.0,10.28,24.0,21.0,2.9624439456808718,136,2.96
2.0,136.0,61.727,219.364,2.636,61.63917,219.61241,6.1633797,7.0,0.0,0.0,1.0,8.57,24.0,21.0,3.5372064097211084,,
2.0,136.0,61.364,219.364,2.455,61.308266,219.40639,5.0382395,8.0,0.0,0.0,1.0,11.48,24.0,21.0,2.5841883648867876,136,2.58
2.0,136.0,55.545,222.636,2.091,55.53057,222.53638,4.9027753,9.0,0.0,0.0,1.0,9.445,24.0,21.0,2.8135764974477033,136,2.81
2.0,136.0,50.091,225.545,1.909,50.168083,225.60788,4.2381144,10.0,0.0,0.0,1.0,11.32,24.0,21.0,2.3312377767135555,136,2.33
2.0,136.0,44.909,229.455,1.818,44.905273,229.46423,4.1454763,11.0,0.0,0.0,1.0,12.18,24.0,21.0,2.3274975854962108,136,2.33
2.0,136.0,39.545,232.364,2.0,39.55106,233.08942,3.0711372,12.0,0.0,0.0,1.0,14.266,24.0,21.0,1.2936791724472567,136,1.29
2.0,882.0,34.364,235.0,1.818,32.805565,233.54474,2.3146844,13.0,0.0,7.0,1.0,17.27,24.0,15.0,2.189337048064636,882,2.19
2.0,882.0,29.909,237.364,1.727,29.774458,237.42522,4.0659122,14.0,0.0,7.0,1.0,11.17,24.0,15.0,2.34357840011228,882,2.34
2.0,882.0,31.091,238.0,1.636,31.071404,237.83542,2.8752425,15.0,0.0,7.0,1.0,14.016,24.0,15.0,1.2502769906793658,882,1.25
2.0,882.0,30.818,238.727,1.545,30.85438,238.74585,2.9165757,16.0,0.0,7.0,1.0,13.586,24.0,15.0,1.372187570170525,882,1.37
2.0,882.0,30.727,239.455,1.455,31.999573,240.46202,7.0039434,17.0,0.0,7.0,1.0,11.01,24.0,15.0,5.781375630170775,,
2.0,962.0,30.636,239.909,1.364,30.409607,240.43307,1.7553314,18.0,0.0,9.0,1.0,12.586,24.0,12.0,0.6921296265692963,962,0.69
2.0,962.0,29.818,240.273,1.364,29.64184,240.59186,3.1183927,19.0,0.0,9.0,1.0,10.78,24.0,12.0,1.7918141061542323,962,1.79
2.0,962.0,23.909,239.0,1.0,23.959105,238.94255,3.0289016,20.0,0.0,9.0,1.0,10.34,24.0,12.0,2.0303331539448295,962,2.03
2.0,962.0,17.091,237.273,0.455,17.217768,237.4909,2.6919265,21.0,0.0,9.0,1.0,9.34,24.0,12.0,2.25108656035841,962,2.25
2.0,962.0,11.273,236.0,0.273,11.472068,236.01672,2.3817456,22.0,0.0,9.0,1.0,8.96,24.0,12.0,2.1181868738483294,962,2.12
2.0,962.0,5.091,236.818,-0.273,5.0497193,236.74,1.8921765,23.0,0.0,9.0,1.0,6.723,24.0,12.0,2.1669742435812984,962,2.17
3.0,510.0,329.091,12.455,9.727,335.0198,12.963527,8.048468,6.0,6.0,1.0,1.0,10.55,13.0,53.0,6.182777597872384,,
3.0,592.0,325.545,17.273,9.182,326.01312,17.287247,17.05836,7.0,6.0,2.0,1.0,8.35,13.0,17.0,7.8902716151605965,,
3.0,592.0,326.0,18.091,9.273,326.32184,17.891556,17.192034,8.0,6.0,2.0,1.0,7.62,13.0,17.0,7.928080372189223,,
3.0,592.0,326.091,17.545,9.182,326.05585,17.42199,16.831274,9.0,6.0,2.0,1.0,8.19,13.0,17.0,7.650343764150471,,
3.0,592.0,325.909,18.182,9.0,325.99625,18.096598,16.952583,10.0,6.0,2.0,1.0,9.23,13.0,17.0,7.9535201285967085,,
3.0,592.0,326.636,18.364,9.182,326.7317,18.469612,16.936047,11.0,6.0,2.0,1.0,8.92,13.0,17.0,7.755356681852419,,
3.0,630.0,326.818,18.636,9.182,324.09473,12.19074,10.247866,12.0,6.0,3.0,1.0,10.24,13.0,8.0,7.077686506935423,,
3.0,508.0,326.182,18.0,9.273,326.57108,13.981348,9.690381,13.0,6.0,1.0,1.0,11.39,13.0,18.0,4.058959724198428,,
3.0,508.0,325.909,17.909,9.091,320.50433,16.46788,10.210266,14.0,6.0,1.0,1.0,15.3,13.0,18.0,5.704387876192861,,
3.0,592.0,326.273,16.909,9.273,326.11368,16.853363,17.376152,15.0,6.0,2.0,1.0,7.812,13.0,17.0,8.10490904781004,,
3.0,592.0,326.0,16.636,9.364,326.24524,16.448555,16.88971,16.0,6.0,2.0,1.0,8.516,13.0,17.0,7.532037525777803,,
3.0,592.0,325.636,16.364,9.273,326.03976,16.136427,16.522327,17.0,6.0,2.0,1.0,6.816,13.0,17.0,7.264127859616596,,
3.0,592.0,326.182,15.818,9.364,326.57678,15.907797,16.742956,18.0,6.0,2.0,1.0,7.258,13.0,17.0,7.390054559984314,,
4.0,303.0,351.909,384.636,8.727,347.78168,386.30453,10.977965,0.0,0.0,0.0,1.0,8.72,23.0,32.0,4.988547501480255,,
4.0,482.0,351.545,384.182,8.727,351.49918,384.08533,16.638258,1.0,0.0,0.0,1.0,10.266,23.0,59.0,7.9119812755000885,,
4.0,482.0,351.818,384.636,8.636,351.97354,384.72827,16.30135,2.0,0.0,0.0,1.0,9.46,23.0,59.0,7.667483098579352,,
4.0,482.0,352.727,383.818,8.909,352.74432,383.51337,16.17773,3.0,0.0,0.0,1.0,7.6,23.0,59.0,7.275131286251815,,
4.0,482.0,353.455,383.455,9.0,353.92987,383.35464,16.205248,4.0,0.0,0.0,1.0,8.125,23.0,59.0,7.221576862985259,,
4.0,482.0,349.364,385.455,9.0,349.3674,385.48306,16.630144,5.0,0.0,0.0,1.0,8.57,23.0,59.0,7.630196352934571,,
