ID (GT),t,x (GT),y (GT),z (GT),ID (Dino),x (Dino),y (Dino),z (Dino),Distance,Multi ID (Dino),Multi Distance (Dino)
0.0,0.0,334.727,115.455,9.364,1059.0,334.398,112.09078,6.6889462,4.310699483992642,,
0.0,1.0,333.636,117.273,9.091,1086.0,333.5527,117.41743,6.9466834,2.150788831088621,1,2.15
0.0,2.0,334.091,119.818,8.909,1140.0,333.69745,120.198265,6.7142434,2.261954819612579,2,2.26
0.0,3.0,335.818,122.909,8.909,1236.0,335.6934,123.044106,6.2594886,2.6558782822196423,3,2.66
1.0,0.0,84.727,177.727,2.091,222.0,84.7077,177.60938,1.7547464,0.3567540299883999,0,0.36
1.0,1.0,80.091,178.364,1.364,205.0,80.09053,178.13905,1.448334,0.24023935347066488,1,0.24
1.0,2.0,75.455,177.636,0.545,212.0,75.050606,177.13786,0.7577529,0.6759746765185908,2,0.68
1.0,3.0,71.545,178.545,0.182,231.0,71.49862,178.14104,0.8297177,0.7647699032344807,3,0.76
1.0,4.0,71.091,178.727,0.091,221.0,71.47713,178.58571,0.2541338,0.44234814083756024,4,0.44
1.0,5.0,72.455,180.0,0.091,224.0,71.020035,183.21631,1.7426289,3.889942491945116,,
1.0,6.0,73.0,180.091,0.091,239.0,71.620834,182.60623,1.4293687,3.165392801153705,6,3.17
1.0,7.0,73.818,180.455,-0.091,233.0,72.89835,183.33824,1.7072121,3.5202834795917246,,
1.0,8.0,73.636,181.545,-0.182,209.0,73.20115,184.2293,1.7036294,3.3091024835511513,8,3.31
1.0,9.0,73.818,182.182,-0.091,667.0,73.836624,183.81339,2.6377797,3.179311063203493,9,3.18
1.0,10.0,74.818,183.0,0.0,228.0,74.734436,182.19226,2.4460783,2.5773486181397502,10,2.58
1.0,11.0,74.364,183.364,0.182,229.0,75.83069,180.89519,3.0659933,4.06984271522191,,
1.0,12.0,67.727,186.636,0.182,216.0,66.60357,189.29787,2.0946114,3.464928459464917,12,3.46
1.0,13.0,67.091,185.727,0.273,255.0,67.580345,185.54335,0.5306265,0.5827154237080483,13,0.58
1.0,14.0,60.364,189.636,0.0,238.0,60.13742,189.5427,0.6204328,0.6670683965800203,14,0.67
1.0,15.0,53.364,192.818,-0.182,235.0,53.01168,192.82428,0.58009917,0.8396213228084954,15,0.84
2.0,24.0,510.0,302.727,2.0,346.0,509.64944,302.92215,1.5925995,0.5717962954586502,24,0.57
2.0,25.0,510.455,303.364,2.0,371.0,510.05344,303.37213,1.5134844,0.6308834754083589,25,0.63
2.0,26.0,510.364,304.364,2.091,377.0,509.96817,304.8472,1.8380532,0.6739033406433315,26,0.67
2.0,27.0,509.818,305.0,2.0,375.0,508.45474,307.10428,1.4120578,2.575295745451544,27,2.58
3.0,0.0,3.727,283.818,1.364,338.0,3.7550545,283.78647,1.1348091,0.23304434022961915,0,0.23
3.0,1.0,3.182,284.0,1.364,306.0,3.2874715,284.1768,1.1955768,0.26598656283822897,1,0.27
