ID (GT),Missing Time Points,ID (Dino),x (GT),y (GT),z (GT),x (Dino),y (Dino),z (Dino),t,t_start (GT),t_start (Dino),FI (GT),FI (Dino),Track Length (GT),Track Length (Dino),Feature 0,Feature 1,Feature 2,Distance,Multi ID (Dino),Multi Distance (Dino)
0,0,1059,334.727,115.455,9.364,334.398,112.09078,6.6889462,0.0,0.0,0.0,1.0,4.82,4.0,15.0,3.414,-0.501,-0.1804,4.310699483992642,,
0,1,1059,333.636,117.273,9.091,334.48175,109.224014,5.895746,1.0,0.0,0.0,1.0,3.764,4.0,15.0,3.26,-1.862,0.3704,8.70121352543494,,
0,2,153,334.091,119.818,8.909,329.19177,124.52523,1.6308128,2.0,0.0,0.0,1.0,2.152,4.0,60.0,5.43,1.639,-0.5093,9.956529404568828,,
0,3,1610,335.818,122.909,8.909,343.99454,126.88326,0.5497762,3.0,0.0,1.0,1.0,2.28,4.0,5.0,1.523,2.494,-0.591,12.35018912639342,,
1,5,590,72.455,180.0,0.091,71.020035,183.21631,1.7426289,5.0,0.0,0.0,1.0,3.889,16.0,31.0,7.047,1.395,-0.2106,3.889942491945116,,
1,7,590,73.818,180.455,-0.091,72.89835,183.33824,1.7072121,7.0,0.0,0.0,1.0,3.621,16.0,31.0,7.44,1.505,-0.6943,3.5202834795917246,,
1,11,590,74.364,183.364,0.182,75.83069,180.89519,3.0659933,11.0,0.0,0.0,1.0,4.867,16.0,31.0,10.43,0.2766,-0.2292,4.06984271522191,,
7,3,501,64.273,431.182,9.909,64.938385,430.56158,6.5140676,3.0,2.0,0.0,1.0,2.133,18.0,10.0,0.7505,-1.455,0.5757,3.5147153761285987,,
8,4,129,473.0,109.455,4.182,468.5602,101.74093,1.5047145,4.0,0.0,0.0,1.0,3.41,7.0,21.0,7.82,1.712,0.2452,9.29443691965307,,
10,11,1300,144.818,344.545,9.091,147.84952,344.93375,6.2489643,11.0,0.0,0.0,1.0,4.598,19.0,47.0,6.05,-2.117,-0.3608,4.173536509122025,,
10,12,1300,144.727,344.636,9.182,147.31586,345.3293,6.053223,12.0,0.0,0.0,1.0,4.707,19.0,47.0,7.766,-1.345,0.1636,4.11972165386557,,
10,13,1300,145.182,344.545,9.182,148.88849,345.46655,5.3324857,13.0,0.0,0.0,1.0,5.113,19.0,47.0,10.28,-0.441,0.539,5.42273758064176,,
14,43,7234,139.545,239.545,5.182,140.53793,249.97461,7.999998,43.0,38.0,29.0,1.0,2.537,9.0,9.0,-5.105,-1.284,0.173,10.849137636927855,,
18,5,1384,169.545,423.545,9.818,169.97728,425.34683,6.613747,5.0,5.0,0.0,1.0,4.41,17.0,32.0,8.875,-3.389,-0.4653,3.701444938846045,,
18,6,2738,164.182,426.727,9.545,165.20877,427.4261,5.701773,6.0,5.0,5.0,1.0,3.592,17.0,21.0,7.66,-1.024,-0.7197,4.038983933668102,,
23,10,872,16.909,145.091,9.455,16.25288,145.04033,5.2109866,10.0,0.0,0.0,1.0,5.04,11.0,14.0,11.64,-1.647,-0.1241,4.294730566948241,,
24,1,332,272.727,281.727,5.909,274.9852,279.81384,3.023589,1.0,0.0,0.0,1.0,4.66,19.0,53.0,11.94,0.633,-0.867,4.13343018140152,,
26,3,2224,407.273,398.818,5.636,410.3417,402.63113,6.5395827,3.0,0.0,3.0,1.0,5.293,4.0,22.0,10.305,-4.348,-0.3604,4.977282570101798,,
28,1,1578,205.545,186.0,9.364,199.97025,188.5889,0.0,1.0,0.0,1.0,1.0,2.836,8.0,7.0,-1.917,-1.605,0.7197,11.20110426576326,,
29,3,967,447.818,28.909,9.364,449.7989,30.630905,6.480688,3.0,0.0,0.0,1.0,3.96,12.0,12.0,7.688,-3.412,-0.0844,3.899026766818751,,
32,6,253,53.091,229.455,0.0,53.77529,225.174,7.9999967,6.0,0.0,0.0,1.0,2.42,19.0,4.0,-4.83,-1.266,0.557,9.099184634026884,,
35,1,1148,96.727,193.545,9.0,97.18943,190.8349,6.693411,1.0,0.0,0.0,1.0,4.336,4.0,6.0,6.79,-2.055,0.4116,3.588709563313936,,
35,2,1148,96.909,193.273,9.0,97.723854,190.7709,6.501034,2.0,0.0,0.0,1.0,3.465,4.0,6.0,6.562,-2.482,0.1952,3.628956119943023,,
35,3,1148,97.0,193.545,9.182,97.47947,190.73546,6.722208,3.0,0.0,0.0,1.0,3.486,4.0,6.0,6.2,-2.277,-0.4434,3.7648350794907337,,
36,1,851,340.0,416.545,5.909,347.09772,414.1794,0.9030885,1.0,0.0,0.0,1.0,2.168,8.0,12.0,4.86,2.352,0.918,9.001824398655648,,
36,2,1369,333.636,418.909,6.091,323.2876,418.7108,2.8431623,2.0,0.0,0.0,1.0,3.621,8.0,8.0,11.85,0.6934,0.553,10.847908347950854,,
36,3,1369,329.636,421.0,6.0,323.24008,419.14725,2.5252514,3.0,0.0,0.0,1.0,3.328,8.0,8.0,11.62,0.7197,0.5454,7.510948877612109,,
39,24,5228,216.909,5.636,8.364,207.0111,0.9508754,5.1470504,24.0,23.0,19.0,1.0,4.246,5.0,6.0,5.37,-2.479,-0.4492,11.41348245087647,,
40,6,708,266.909,410.727,3.909,269.5774,411.33228,6.9093165,6.0,0.0,0.0,1.0,5.734,15.0,10.0,12.47,-3.262,-1.337,4.060618368989188,,
43,30,5566,342.091,263.909,9.455,341.2303,264.11417,5.9987116,30.0,0.0,20.0,1.0,3.78,43.0,15.0,8.2,-2.352,-0.1844,3.567748410815227,,
44,16,1902,443.545,153.182,2.0,450.86353,146.72551,3.5665574,16.0,0.0,2.0,1.0,3.404,66.0,19.0,4.87,-0.8306,0.4995,9.884394092127982,,
44,65,13706,340.091,193.273,3.455,344.93185,197.97101,1.7022707,65.0,0.0,65.0,1.0,3.5,66.0,35.0,7.84,0.7285,0.09076,6.969733616263858,,
45,10,478,219.909,430.636,1.364,219.27847,426.82986,3.0255415,10.0,0.0,0.0,1.0,4.395,30.0,16.0,10.734,0.3628,0.0758,4.200593998081992,,
50,0,749,139.091,77.909,1.364,136.21613,79.02531,4.242575,0.0,0.0,0.0,1.0,4.844,4.0,4.0,7.883,-1.023,-0.02939,4.218675095764676,,
55,11,127,69.0,98.0,3.545,71.437096,97.90477,0.18679047,11.0,0.0,0.0,1.0,3.17,25.0,18.0,1.926,0.875,-0.1157,4.150430931059907,,
55,12,127,69.364,98.0,3.455,81.49856,100.92115,0.0,12.0,0.0,0.0,1.0,3.71,25.0,18.0,-6.355,0.911,0.01251,12.950586423637342,,
57,4,206,245.364,146.909,3.0,238.13623,148.62776,1.4868141,4.0,0.0,0.0,1.0,3.588,43.0,10.0,4.883,3.076,-0.4724,7.581855094794328,,
57,12,589,225.818,171.727,6.455,225.16006,174.12393,3.799243,12.0,0.0,0.0,1.0,4.406,43.0,51.0,9.75,-0.3462,0.3052,3.637472159556554,,
62,0,807,190.455,57.636,6.091,187.9989,60.95933,4.7139487,0.0,0.0,0.0,1.0,4.984,14.0,25.0,10.19,-1.347,-0.1469,4.355825958613565,,
62,1,807,190.273,58.182,6.091,187.8068,60.91603,4.744339,1.0,0.0,0.0,1.0,5.12,14.0,25.0,10.57,-0.4338,-0.3325,3.920530363333629,,
66,17,669,189.182,131.727,3.455,195.64787,131.13853,1.1820377,17.0,0.0,0.0,1.0,3.535,100.0,19.0,7.14,2.574,-0.594,6.878962815353896,,
75,6,982,32.182,52.455,3.091,31.3919,50.576946,7.029933,6.0,0.0,0.0,1.0,2.29,22.0,24.0,5.016,-2.453,-0.525,4.4346970601614935,,
75,19,4227,12.727,63.0,3.727,19.63115,67.604706,3.7912226,19.0,0.0,13.0,1.0,3.238,22.0,14.0,5.56,-0.6772,0.3262,8.2990800159588,,
80,11,1069,451.091,114.545,2.273,451.69998,118.06823,1.2790934,11.0,0.0,0.0,1.0,4.56,28.0,28.0,7.426,0.2812,-0.7188,3.711045217027612,,
85,0,918,22.727,264.455,2.909,27.119291,274.19708,5.899613,0.0,0.0,0.0,1.0,4.145,14.0,9.0,6.51,-1.492,-0.4014,11.097031543203384,,
100,8,2742,236.818,343.909,3.182,232.98004,342.27078,2.4237642,8.0,0.0,5.0,1.0,4.586,12.0,20.0,7.92,2.11,0.1976,4.241299713342795,,
103,1,779,323.545,348.182,8.091,317.61768,350.9424,4.839298,1.0,0.0,0.0,1.0,3.506,18.0,7.0,8.7,-1.661,-0.2847,7.302499328257697,,
104,10,2789,458.091,83.364,9.455,459.23505,82.434906,5.695776,10.0,0.0,5.0,1.0,3.73,15.0,9.0,8.39,-1.389,-0.0835,4.037800285491098,,
104,11,2789,459.636,85.818,9.545,460.38937,82.76514,6.0982547,11.0,0.0,5.0,1.0,4.203,15.0,9.0,10.74,-3.121,-1.145,4.665573244476182,,
106,18,247,293.909,215.818,-0.818,298.03336,215.30154,1.4534163,18.0,0.0,0.0,1.0,3.93,29.0,20.0,8.15,0.675,0.4983,4.736708598711337,,
106,24,3694,294.455,216.364,-0.273,297.26486,214.00734,1.6443152,24.0,0.0,10.0,1.0,3.875,29.0,31.0,7.59,1.259,0.09454,4.138267409357586,,
119,2,1129,188.182,182.0,9.455,188.64108,182.4473,6.0131474,2.0,0.0,0.0,1.0,4.688,4.0,33.0,5.94,-1.3125,0.4805,3.501025714919382,,
123,34,767,71.727,233.545,9.182,68.64251,244.63959,3.7784655,34.0,1.0,0.0,1.0,2.717,39.0,51.0,2.168,1.061,0.4536,12.720149013313112,,
127,5,978,286.455,43.818,6.091,284.76874,43.167767,0.57328033,5.0,0.0,0.0,1.0,1.414,15.0,6.0,4.383,4.28,0.127,5.806161046560276,,
130,3,548,411.545,493.727,-0.455,411.70728,496.94577,1.4510834,3.0,0.0,0.0,1.0,3.906,13.0,13.0,9.055,2.22,-0.2354,3.7443249109893766,,
130,4,548,411.455,493.636,-0.364,411.52316,496.85403,1.3752465,4.0,0.0,0.0,1.0,4.816,13.0,13.0,9.97,2.201,-0.8267,3.65859826357886,,
130,12,4001,385.909,510.182,0.727,387.7878,501.00256,7.999998,12.0,0.0,12.0,1.0,3.48,13.0,4.0,-7.42,-0.6235,0.0764,11.861218658367443,,
131,19,329,229.182,259.273,0.182,232.09415,262.88742,1.6316513,19.0,11.0,0.0,1.0,3.832,17.0,34.0,7.785,1.122,-0.358,4.86272952676702,,
