ID (GT),Track Length (GT),Track Coverage,Missing Time Points,Dino Data
0,32.0,32,[],"496,1,8.0;1235,9,5.0;349,10,23.0;2382,11,24.0;2578,29,13.0;2382,32,24.0"
1,17.0,17,[],"173,1,25.0"
2,12.0,12,[],"136,1,7.0;132,7,33.0"
3,9.0,8,[1.0],"943,1,14.0"
4,11.0,11,[],"247,1,11.0;808,7,7.0;488,8,22.0;808,10,7.0"
5,34.0,34,[],"790,1,27.0;1148,4,14.0;790,11,27.0;1111,15,13.0;767,16,25.0;2777,31,13.0;4025,32,4.0;4247,33,42.0;4025,34,4.0"
6,11.0,11,[],"445,1,34.0"
7,4.0,4,[],"4766,1,24.0;4090,2,11.0"
8,4.0,4,[],"488,1,22.0"
9,5.0,5,[],"684,1,6.0"
10,69.0,69,[],"583,1,24.0;1158,20,58.0;822,21,11.0;1158,23,58.0;3223,24,6.0;3643,25,8.0;3223,28,6.0;1158,29,58.0;6310,51,12.0;6513,52,35.0"
11,10.0,10,[],"288,1,18.0"
12,73.0,73,[],"498,1,11.0;881,8,26.0;1953,19,40.0;1765,20,25.0;1953,22,40.0;3446,37,42.0;4060,49,29.0;3446,55,42.0;7416,73,8.0"
13,17.0,17,[],"218,1,40.0;779,3,5.0;1365,4,18.0;1749,5,68.0;1113,11,16.0;2563,12,15.0"
14,34.0,34,[],"218,1,40.0;747,15,27.0;2806,28,16.0;747,32,27.0;200,33,59.0;218,34,40.0"
15,6.0,6,[],"436,1,20.0"
16,16.0,16,[],"509,1,17.0"
17,21.0,21,[],"245,1,13.0;1140,6,22.0;822,7,11.0;1140,9,22.0"
18,15.0,15,[],"137,1,7.0;135,8,21.0;2236,9,7.0"
19,10.0,10,[],"674,1,9.0;99,3,15.0"
20,85.0,85,[],"530,1,37.0;800,12,15.0;530,13,37.0;184,21,12.0;2777,22,13.0;4247,31,42.0;4444,32,37.0;5365,53,22.0;6757,56,18.0;8016,70,27.0"
21,15.0,15,[],"501,1,16.0"
22,20.0,20,[],"1350,1,26.0;2628,2,18.0;3249,18,17.0;4280,19,14.0;3705,20,4.0"
23,21.0,21,[],"506,1,14.0;1308,14,33.0"
24,6.0,6,[],"5912,1,20.0"
25,5.0,5,[],"207,1,14.0"
26,15.0,15,[],"601,1,19.0"
27,21.0,21,[],"756,1,17.0;580,3,36.0"
28,22.0,22,[],"489,1,8.0;1885,8,45.0"
29,51.0,50,[48.0],"462,1,8.0;19,7,15.0;1312,17,25.0;1723,28,26.0;994,29,44.0;2727,31,17.0;3828,33,56.0;4655,36,7.0;4474,37,5.0;4655,39,7.0;4474,41,5.0;3828,42,56.0;4655,44,7.0;1038,45,26.0;5956,46,22.0;1525,47,27.0;4225,48,8.0;36,50,35.0;2099,51,25.0"
30,19.0,19,[],"512,1,37.0"
31,45.0,42,"[3.0, 8.0, 9.0]","858,1,26.0;1797,6,42.0;865,35,29.0;1797,36,42.0;3190,45,21.0"
32,16.0,16,[],"326,1,16.0;2058,8,5.0;888,10,17.0;2058,11,5.0;1632,12,28.0"
33,11.0,11,[],"520,1,63.0"
34,31.0,31,[],"401,1,5.0;1653,5,6.0;229,6,7.0;1652,7,23.0;2029,8,16.0;2453,11,28.0"
35,8.0,8,[],"563,1,14.0;817,4,16.0;1750,5,6.0;807,6,5.0;803,7,6.0"
36,6.0,6,[],"581,1,7.0"
37,7.0,7,[],"374,1,8.0"
38,9.0,9,[],"1543,1,4.0;1104,3,23.0"
39,26.0,26,[],"456,1,8.0;832,4,25.0;486,26,26.0"
40,5.0,5,[],"586,1,7.0;858,3,26.0;1797,5,42.0"
41,6.0,6,[],"500,1,9.0"
42,33.0,33,[],"6803,1,40.0;9705,33,6.0"
43,14.0,14,[],"534,1,18.0"
44,20.0,20,[],"162,1,65.0;1442,13,15.0"
45,9.0,9,[],"95,1,8.0;1050,6,33.0;2034,7,4.0"
46,36.0,36,[],"2291,1,17.0;1301,18,51.0"
47,41.0,40,[18.0],"670,1,18.0;1977,19,56.0;1057,20,39.0;1324,22,35.0"
48,15.0,15,[],"446,1,40.0"
49,15.0,14,[3.0],"516,1,13.0;1046,3,20.0;686,4,25.0;1046,5,20.0;1491,14,7.0"
50,8.0,8,[],"286,1,10.0"
51,9.0,9,[],"251,1,9.0"
52,7.0,7,[],"425,1,11.0"
53,42.0,42,[],"682,1,53.0"
54,5.0,5,[],"169,1,4.0;1105,4,4.0;740,5,7.0"
55,43.0,43,[],"412,1,67.0;3824,32,8.0;4384,33,22.0"
56,16.0,16,[],"759,1,21.0"
57,20.0,20,[],"519,1,16.0;1036,6,15.0;1985,13,13.0;2744,14,18.0;1985,15,13.0;519,19,16.0"
58,18.0,18,[],"642,1,26.0"
59,9.0,9,[],"1503,1,19.0;1030,2,12.0;592,5,16.0"
60,26.0,26,[],"198,1,18.0;757,16,42.0;1614,17,19.0"
61,33.0,33,[],"627,1,12.0;51,4,35.0;576,5,54.0;2320,16,30.0;2710,19,27.0;512,20,37.0"
62,5.0,5,[],"767,1,25.0"
63,7.0,7,[],"203,1,15.0;771,6,11.0"
64,20.0,20,[],"1318,1,31.0"
65,4.0,4,[],"257,1,5.0"
66,7.0,7,[],"516,1,13.0"
67,11.0,11,[],"155,1,10.0;180,10,22.0"
68,13.0,13,[],"114,1,26.0;118,5,4.0;100,6,15.0;1605,13,6.0"
69,11.0,11,[],"422,1,7.0;874,6,8.0"
70,17.0,17,[],"941,1,25.0"
71,10.0,10,[],"394,1,4.0;94,2,19.0;1399,3,74.0"
72,24.0,24,[],"689,1,6.0;127,7,34.0"
73,10.0,9,[4.0],"141,1,16.0;704,2,5.0;107,3,7.0;1867,4,15.0"
74,9.0,9,[],"467,1,4.0;639,2,4.0;1298,3,37.0;1502,4,7.0"
75,23.0,22,[6.0],"67,1,15.0;433,3,24.0"
76,8.0,8,[],"544,1,12.0;1224,3,13.0;376,6,17.0"
77,12.0,11,[7.0],"1580,1,16.0;530,3,37.0;2108,5,10.0;1790,11,10.0;483,12,13.0"
78,14.0,14,[],"513,1,13.0;1514,9,17.0;2480,13,11.0"
79,11.0,11,[],"156,1,24.0"
80,8.0,8,[],"438,1,8.0"
81,28.0,27,[12.0],"212,1,12.0;773,10,32.0;416,11,8.0;2365,12,5.0;2519,13,18.0;2691,14,31.0;2519,15,18.0"
82,10.0,10,[],"556,1,24.0;1100,6,13.0"
83,7.0,7,[],"1053,1,39.0"
84,21.0,19,"[18.0, 19.0]","90,1,14.0;1709,13,17.0;2686,14,10.0;1709,18,17.0;3249,20,17.0;3463,21,13.0"
85,14.0,10,"[2.0, 6.0, 10.0, 11.0]","801,1,6.0;790,3,27.0;1148,7,14.0;790,8,27.0;1366,13,7.0"
86,12.0,10,"[0.0, 5.0]","397,1,57.0;522,7,24.0"
87,15.0,15,[],"219,1,9.0;227,2,13.0;1258,8,23.0"
88,10.0,10,[],"802,1,6.0;1151,7,6.0;563,8,14.0"
89,9.0,9,[],"111,1,13.0"
90,26.0,26,[],"693,1,26.0;2495,18,5.0;1357,19,16.0"
91,15.0,15,[],"533,1,9.0;244,7,7.0;248,8,16.0"
