ID (GT),ID (Dino),Track Length (GT),Track Length (Dino),Match,Identical Match
[0],[349 496 1235 2382 2578],[32.0],[5.0 8.0 13.0 23.0 24.0],True,False
[1],[173],[17.0],[25.0],True,False
[2],[132 136],[12.0],[7.0 33.0],True,False
[3],[943],[9.0],[14.0],False,False
[4],[247 488 808],[11.0],[7.0 11.0 22.0],True,False
[5],[767 790 1111 1148 2777 4025 4247],[34.0],[4.0 13.0 14.0 25.0 27.0 42.0],True,False
[6],[445],[11.0],[34.0],True,False
[7],[4090 4766],[4.0],[11.0 24.0],True,False
[8],[488],[4.0],[22.0],True,False
[9],[684],[5.0],[6.0],True,False
[10],[583 822 1158 3223 3643 6310 6513],[69.0],[6.0 8.0 11.0 12.0 24.0 35.0 58.0],True,False
[11],[288],[10.0],[18.0],True,False
[12],[498 881 1765 1953 3446 4060 7416],[73.0],[8.0 11.0 25.0 26.0 29.0 40.0 42.0],True,False
[13],[218 779 1113 1365 1749 2563],[17.0],[5.0 15.0 16.0 18.0 40.0 68.0],True,False
[14],[200 218 747 2806],[34.0],[16.0 27.0 40.0 59.0],True,False
[15],[436],[6.0],[20.0],True,False
[16],[509],[16.0],[17.0],True,False
[17],[245 822 1140],[21.0],[11.0 13.0 22.0],True,False
[18],[135 137 2236],[15.0],[7.0 21.0],True,False
[19],[99 674],[10.0],[9.0 15.0],True,False
[20],[184 530 800 2777 4247 4444 5365 6757 8016],[85.0],[12.0 13.0 15.0 18.0 22.0 27.0 37.0 42.0],True,False
[21],[501],[15.0],[16.0],True,False
[22],[1350 2628 3249 3705 4280],[20.0],[4.0 14.0 17.0 18.0 26.0],True,False
[23],[506 1308],[21.0],[14.0 33.0],True,False
[24],[5912],[6.0],[20.0],True,False
[25],[207],[5.0],[14.0],True,False
[26],[601],[15.0],[19.0],True,False
[27],[580 756],[21.0],[17.0 36.0],True,False
[28],[489 1885],[22.0],[8.0 45.0],True,False
[29],[19 36 462 994 1038 1312 1525 1723 2099 2727 3828 4225 4474 4655 5956],[51.0],[5.0 7.0 8.0 15.0 17.0 22.0 25.0 26.0 27.0 35.0 44.0 56.0],False,False
[30],[512],[19.0],[37.0],True,False
[31],[858 865 1797 3190],[45.0],[21.0 26.0 29.0 42.0],False,False
[32],[326 888 1632 2058],[16.0],[5.0 16.0 17.0 28.0],True,False
[33],[520],[11.0],[63.0],True,False
[34],[229 401 1652 1653 2029 2453],[31.0],[5.0 6.0 7.0 16.0 23.0 28.0],True,False
[35],[563 803 807 817 1750],[8.0],[5.0 6.0 14.0 16.0],True,False
[36],[581],[6.0],[7.0],True,False
[37],[374],[7.0],[8.0],True,False
[38],[1104 1543],[9.0],[4.0 23.0],True,False
[39],[456 486 832],[26.0],[8.0 25.0 26.0],True,False
[40],[586 858 1797],[5.0],[7.0 26.0 42.0],True,False
[41],[500],[6.0],[9.0],True,False
[42],[6803 9705],[33.0],[6.0 40.0],True,False
[43],[534],[14.0],[18.0],True,False
[44],[162 1442],[20.0],[15.0 65.0],True,False
[45],[95 1050 2034],[9.0],[4.0 8.0 33.0],True,False
[46],[1301 2291],[36.0],[17.0 51.0],True,False
