,t,ID CME,Track Length CME,x CME,y CME,z CME,FI CME,ID Dino Track,Track Length Dino Track,x Dino Track,y Dino Track,z Dino Track,FI Dino Track,Distance Dino Track,ID CME Detections,x CME Detections,y CME Detections,z CME Detections,FI CME Detections,Distance CME Detections,ID Dino Detections,x Dino Detections,y Dino Detections,z Dino Detections,FI Dino Detections,Distance Dino Detections,xmin,xmax,ymin,ymax,zmin,zmax
0,1.0,1.0,99.0,316.79,151.61,34.96000000000001,175.25,339,74.0,315.22787,151.61403,36.871914,341.0,2.47,248.0,316.79,151.61,34.965,175.25,0.00,339.0,315.22787,151.61403,36.871914,341.0,2.47,99.0,319.6,147.91,319.38,31.227,156.89
1,2.0,1.0,99.0,316.91,151.95,35.18000000000001,218.14,339,74.0,315.39215,151.58618,36.012856,352.5,1.77,277.0,316.91,151.95,35.184,218.14,0.00,368.0,315.39215,151.58618,36.012856,352.5,1.77,99.0,319.6,147.91,319.38,31.227,156.89
2,3.0,1.0,99.0,316.99,151.34,35.33000000000001,218.74,339,74.0,315.74518,150.99426,36.58273,363.0,1.80,265.0,316.99,151.34,35.329,218.74,0.00,328.0,315.74518,150.99426,36.58273,363.0,1.80,99.0,319.6,147.91,319.38,31.227,156.89
3,4.0,1.0,99.0,317.09,152.22,35.24000000000001,264.62,339,74.0,315.99518,151.59639,35.91591,378.0,1.43,259.0,317.09,152.22,35.24,264.62,0.00,303.0,315.99518,151.59639,35.91591,378.0,1.43,99.0,319.6,147.91,319.38,31.227,156.89
4,5.0,1.0,99.0,316.93,151.54,35.0,247.41,339,74.0,316.20465,151.08432,35.901264,361.0,1.24,250.0,316.93,151.54,35.0,247.41,0.00,344.0,316.20465,151.08432,35.901264,361.0,1.24,99.0,319.6,147.91,319.38,31.227,156.89
5,6.0,1.0,99.0,316.67,151.62,35.00999999999999,248.38,339,74.0,315.7927,151.10059,35.9842,365.0,1.41,261.0,316.67,151.62,35.01,248.38,0.00,306.0,315.7927,151.10059,35.9842,365.0,1.41,99.0,319.6,147.91,319.38,31.227,156.89
6,7.0,1.0,99.0,316.15,151.95,34.44,233.92,339,74.0,315.3151,151.30728,35.24817,361.8,1.33,245.0,316.15,151.95,34.437,233.92,0.00,317.0,315.3151,151.30728,35.24817,361.8,1.33,99.0,319.6,147.91,319.38,31.227,156.89
7,8.0,1.0,99.0,317.79,151.96,34.24000000000001,190.91,339,74.0,316.53793,151.40309,35.619133,328.8,1.94,257.0,317.79,151.96,34.235,190.91,0.01,336.0,316.53793,151.40309,35.619133,328.8,1.94,99.0,319.6,147.91,319.38,31.227,156.89
8,9.0,1.0,99.0,317.6,151.54,34.72999999999999,202.16,339,74.0,315.71167,151.00473,35.123714,327.2,2.00,263.0,317.6,151.54,34.728,202.16,0.00,323.0,315.71167,151.00473,35.123714,327.2,2.00,99.0,319.6,147.91,319.38,31.227,156.89
9,10.0,1.0,99.0,317.4,151.8,34.66999999999999,230.72,339,74.0,315.58157,151.24796,35.044952,335.8,1.94,272.0,317.4,151.8,34.674,230.72,0.00,323.0,315.58157,151.24796,35.044952,335.8,1.94,99.0,319.6,147.91,319.38,31.227,156.89
10,11.0,1.0,99.0,316.66,151.87,34.27000000000001,222.66,339,74.0,315.0718,151.23322,34.910015,325.8,1.83,258.0,316.66,151.87,34.266,222.66,0.00,335.0,315.0718,151.23322,34.910015,325.8,1.83,99.0,319.6,147.91,319.38,31.227,156.89
11,12.0,1.0,99.0,316.83,150.1,34.75,197.59,339,74.0,314.81418,149.45837,35.5777,329.8,2.27,197.0;250.0,317.07;316.83,149.56;150.1,35.007;34.747,164.36;197.59,0.64;0.00,323.0,314.81418,149.45837,35.5777,329.8,2.27,99.0,319.6,147.91,319.38,31.227,156.89
12,13.0,1.0,99.0,316.89,149.37,34.16999999999999,218.96,339,74.0,314.39362,148.95265,34.94849,328.8,2.65,254.0,316.89,149.37,34.167,218.96,0.00,296.0,314.39362,148.95265,34.94849,328.8,2.65,99.0,319.6,147.91,319.38,31.227,156.89
13,14.0,1.0,99.0,319.38,148.99,34.5,166.63,,,,,,,,210.0;272.0,319.6;319.38,147.91;148.99,31.227;34.498,146.4;166.63,3.45;0.00,,,,,,,99.0,319.6,147.91,319.38,31.227,156.89
14,15.0,1.0,99.0,318.51,150.08,33.650000000000006,150.69,,,,,,,,282.0,318.51,150.08,33.647,150.69,0.00,,,,,,,99.0,319.6,147.91,319.38,31.227,156.89
15,16.0,1.0,99.0,317.83,150.62,34.650000000000006,175.98,339,74.0,316.2368,149.95761,35.893585,290.0,2.13,282.0,317.83,150.62,34.65,175.98,0.00,332.0,316.2368,149.95761,35.893585,290.0,2.13,99.0,319.6,147.91,319.38,31.227,156.89
16,17.0,1.0,99.0,317.03,151.5,34.370000000000005,179.7,339,74.0,315.4242,150.67339,35.745636,298.8,2.27,255.0,317.03,151.5,34.369,179.7,0.00,305.0,315.4242,150.67339,35.745636,298.8,2.27,99.0,319.6,147.91,319.38,31.227,156.89
17,18.0,1.0,99.0,316.52,151.34,34.50999999999999,196.35,339,74.0,315.0153,150.51498,35.463604,299.0,1.96,257.0,316.52,151.34,34.51,196.35,0.00,339.0,315.0153,150.51498,35.463604,299.0,1.96,99.0,319.6,147.91,319.38,31.227,156.89
18,19.0,1.0,99.0,316.42,151.77,34.94999999999999,213.77,339,74.0,314.94257,150.74255,35.726677,300.0,1.96,257.0,316.42,151.77,34.954,213.77,0.00,344.0,314.94257,150.74255,35.726677,300.0,1.96,99.0,319.6,147.91,319.38,31.227,156.89
19,20.0,1.0,99.0,317.12,151.42,34.610000000000014,199.99,339,74.0,315.4967,150.47917,35.64699,302.2,2.14,252.0,317.12,151.42,34.609,199.99,0.00,313.0,315.4967,150.47917,35.64699,302.2,2.14,99.0,319.6,147.91,319.38,31.227,156.89
20,21.0,1.0,99.0,317.21,151.44,34.370000000000005,226.49,339,74.0,315.86948,150.37439,35.007633,314.2,1.83,260.0,317.21,151.44,34.367,226.49,0.00,288.0,315.86948,150.37439,35.007633,314.2,1.83,99.0,319.6,147.91,319.38,31.227,156.89
21,22.0,1.0,99.0,316.72,150.62,34.21000000000001,227.95,339,74.0,315.5701,149.43892,34.810287,308.5,1.75,256.0,316.72,150.62,34.212,227.95,0.00,306.0,315.5701,149.43892,34.810287,308.5,1.75,99.0,319.6,147.91,319.38,31.227,156.89
22,23.0,1.0,99.0,316.5,151.37,35.25999999999999,279.67,339,74.0,315.41592,150.28036,35.5135,328.0,1.56,256.0,316.5,151.37,35.265,279.67,0.01,315.0,315.41592,150.28036,35.5135,328.0,1.56,99.0,319.6,147.91,319.38,31.227,156.89
23,24.0,1.0,99.0,316.56,151.65,34.56999999999999,249.64,339,74.0,315.28683,150.4769,35.04664,328.5,1.80,244.0,316.56,151.65,34.575,249.64,0.01,296.0,315.28683,150.4769,35.04664,328.5,1.80,99.0,319.6,147.91,319.38,31.227,156.89
24,25.0,1.0,99.0,316.49,151.76,34.75,268.98,339,74.0,315.26593,150.69359,34.998684,335.2,1.64,243.0,316.49,151.76,34.752,268.98,0.00,304.0,315.26593,150.69359,34.998684,335.2,1.64,99.0,319.6,147.91,319.38,31.227,156.89
