z,y,x,t,intensity_raw,total_intensity,feature_0,feature_1,feature_2,norm,particle,t_starting,track_length,t_end,ID
6.414115,319.6064,506.2111,0,3.56,562.4311,3.984,-2.395,-0.3787,4.664,1274,0,95,99,1274
6.322718,320.73434,505.60648,1,4.176,785.0811,5.176,-0.4639,-0.182,5.2,1274,0,95,99,1274
6.802345,319.10922,507.3905,2,3.88,508.26895,1.476,-0.635,-0.3716,1.648,1274,0,95,99,1274
6.6502213,319.67963,506.4331,3,3.838,602.61426,3.252,-1.121,-0.5156,3.479,1274,0,95,99,1274
6.737944,320.25558,506.36942,4,2.953,439.92197,5.492,-2.812,-0.04645,6.17,1274,0,95,99,1274
6.6614428,320.087,507.22232,5,4.043,521.76996,3.73,-1.559,-0.699,4.1,1274,0,95,99,1274
6.5445275,319.85886,507.5888,6,3.1,449.33008,3.459,-1.378,-0.684,3.785,1274,0,95,99,1274
7.0184975,320.40424,507.52103,7,3.14,376.82782,2.191,-1.693,-0.6997,2.855,1274,0,95,99,1274
6.5536203,319.81357,506.56384,8,3.254,523.87885,3.654,-2.656,-1.0205,4.633,1274,0,95,99,1274
6.738341,320.06595,506.72922,9,4.383,639.82404,8.7,-3.057,-0.714,9.25,1274,0,95,99,1274
6.567874,318.99896,505.75705,10,3.77,546.5438,5.598,-2.658,-0.01015,6.2,1274,0,95,99,1274
6.2429223,318.9503,506.50534,11,3.727,696.7643,4.934,-1.676,0.483,5.234,1274,0,95,99,1274
6.3449116,319.40286,506.45792,12,4.203,647.5381,6.293,-2.646,-0.12427,6.824,1274,0,95,99,1274
6.5340133,319.84,506.50742,13,3.816,671.759,7.2,-2.46,0.571,7.63,1274,0,95,99,1274
6.4152207,319.82657,506.4157,14,3.193,577.9835,7.46,-3.7,-0.2957,8.336,1274,0,95,99,1274
6.661346,320.39212,506.81042,15,3.422,564.6905,5.96,-1.943,0.646,6.3,1274,0,95,99,1274
6.2729945,320.71356,506.9815,16,3.408,647.60236,4.37,-1.001,-0.3428,4.5,1274,0,95,99,1274
6.4073653,320.79156,506.24515,17,3.045,545.1795,3.488,-0.7705,-0.7104,3.643,1274,0,95,99,1274
5.93692,321.25064,506.96823,18,3.111,581.8672,4.21,-3.566,0.5503,5.547,1274,0,95,99,1274
6.4545016,325.2876,503.35132,19,3.178,489.3254,4.004,-1.852,-0.2651,4.418,1274,0,95,99,1274
6.8433776,329.3078,499.46844,20,3.61,476.43536,3.133,-0.928,-0.3037,3.281,1274,0,95,99,1274
6.8071475,333.64954,496.91452,21,3.676,422.74588,1.759,-0.824,0.6797,2.059,1274,0,95,99,1274
7.9999886,345.55258,489.9993,22,7.285,14.57143,-11.336,6.715,1.182,13.23,1274,0,95,99,1274
7.999998,340.9609,489.3049,24,2.162,32.431023,-8.2,0.809,0.2578,8.25,1274,0,95,99,1274
7.999995,336.106,495.9733,26,1.858,11.149254,-7.09,-3.03,0.12494,7.71,1274,0,95,99,1274
