z,y,x,t,intensity_raw,total_intensity,feature_0,feature_1,feature_2,norm,particle,t_0,track_length,t_end,track_id
4.001668,255.33258,255.32628,0,0.011505,26358.283,-8.28,1.846,-0.93,8.54,0,0,65,99,0
4.003716,255.47153,255.46394,1,0.013855,31645.291,-6.824,-0.318,2.936,7.434,0,0,65,99,0
4.0020103,255.34938,255.16754,2,0.01377,31391.287,-8.41,1.9375,0.09766,8.625,0,0,65,99,0
3.990553,255.65387,255.50963,3,0.01439,32744.34,-9.03,2.262,-2.719,9.695,0,0,65,99,0
4.0028987,255.29773,255.31041,4,0.01474,33610.812,-8.79,1.963,1.143,9.08,0,0,65,99,0
4.040049,256.61774,256.432,5,0.01598,36384.363,-9.4,-0.6084,3.1,9.914,0,0,65,99,0
3.9639642,254.14145,254.02101,6,0.01688,38372.105,-9.17,-0.8477,4.46,10.234,0,0,65,99,0
4.0148187,255.867,255.64911,7,0.01495,34018.855,-7.816,1.45,3.303,8.61,0,0,65,99,0
4.001589,255.5953,255.46208,8,0.0158,35956.74,-7.406,-0.649,4.25,8.56,0,0,65,99,0
4.0030093,255.58774,255.47586,9,0.01591,36220.69,-7.57,-0.3198,2.38,7.94,0,0,65,99,0
4.0202384,256.3635,256.11298,10,0.01496,34042.617,-8.49,-0.653,2.65,8.92,0,0,65,99,0
3.9977486,255.52548,255.18375,11,0.01608,36638.996,-9.36,1.919,1.8545,9.734,0,0,65,99,0
4.002395,255.58508,255.14395,12,0.01735,39547.457,-11.26,2.604,-1.263,11.625,0,0,65,99,0
3.998701,255.66864,255.37451,13,0.0166,37808.426,-9.586,-0.2285,4.242,10.484,0,0,65,99,0
4.018017,256.0199,255.51353,14,0.01566,35679.562,-8.1,1.079,-0.3516,8.18,0,0,65,99,0
4.02427,256.48883,255.97684,15,0.01505,34292.31,-8.5,-0.4094,3.773,9.31,0,0,65,99,0
7.9999976,258.29376,258.59708,16,2.822,33.86472,-8.0,0.0397,0.2452,8.0,0,0,65,99,0
4.026006,256.45795,256.05698,17,0.013405,30541.258,-8.02,-0.6406,0.869,8.09,0,0,65,99,0
7.9999967,259.09448,250.66885,18,1.336,12.02577,-5.08,-1.928,0.2554,5.438,0,0,65,99,0
4.985871,275.15414,233.55713,21,3.107,705.4949,10.75,-2.52,0.1564,11.04,0,0,65,99,0
5.324961,279.15552,230.1527,22,3.982,728.95,6.98,-2.947,0.5825,7.598,0,0,65,99,0
7.999997,264.92566,283.20557,26,2.736,27.359371,-4.75,0.0697,-0.8945,4.832,0,0,65,99,0
7.551994,261.28958,280.81113,27,1.556,57.556763,-3.367,-2.4,-0.1449,4.137,0,0,65,99,0
7.999998,256.99994,281.30145,28,1.708,27.327835,-5.367,-0.2443,-0.3086,5.383,0,0,65,99,0
7.999996,247.95987,280.72784,29,2.99,20.93534,-2.45,-5.52,0.2937,6.047,0,0,65,99,0
7.999985,247.51575,278.99948,32,-0.09283,-0.18571472,-5.215,-1.312,-0.334,5.387,0,0,65,99,0
0.0,245.49962,281.99957,36,5.242,10.485714,-4.945,2.406,0.715,5.547,0,0,65,99,0
5.9999804,246.99919,289.99905,41,3.072,3.0714283,0.4365,-2.473,0.3215,2.531,0,0,65,99,0
7.999997,242.93527,280.8606,42,1.78,21.365078,-4.9,0.247,-0.3096,4.914,0,0,65,99,0
7.9999976,239.13857,269.29706,43,1.982,23.787235,-6.836,-2.115,0.503,7.17,0,0,65,99,0
