z,y,x,t,intensity_raw,total_intensity,feature_0,feature_1,feature_2,norm,particle,t_0,track_length,t_end,track_id
4.020145,255.55371,255.6964,0,0.06506,146278.28,-27.84,-1.298,0.6206,27.89,0,0,46,47,0
4.0087843,255.39844,255.51964,1,0.0653,146721.47,-27.33,-0.2068,0.0823,27.33,0,0,46,47,0
4.0117035,255.48677,255.66039,2,0.06616,148226.02,-27.8,-1.408,1.286,27.86,0,0,46,47,0
4.0322967,256.15976,256.32767,3,0.0705,157581.94,-30.27,-1.081,0.02353,30.28,0,0,46,47,0
4.0004954,254.89723,255.07298,4,0.07007,156512.31,-26.9,0.6123,-0.1566,26.92,0,0,46,47,0
4.0182066,255.15942,255.40402,5,0.0708,157971.77,-28.19,-1.199,-0.4348,28.22,0,0,46,47,0
4.03206,255.61993,256.12302,6,0.0692,154514.6,-26.95,-1.509,1.379,27.03,0,0,46,47,0
4.0076528,254.72527,255.28806,7,0.06915,154233.9,-28.1,-0.002335,1.107,28.11,0,0,46,47,0
4.0234036,255.20312,255.83812,8,0.07043,157284.34,-27.67,-1.98,1.36,27.78,0,0,46,47,0
4.0271816,255.68773,256.17053,9,0.0725,161920.53,-29.7,-1.433,-0.6226,29.75,0,0,46,47,0
4.0226316,255.22975,255.52234,10,0.07404,165318.97,-29.28,-1.156,0.02039,29.31,0,0,46,47,0
4.016925,255.45868,255.6425,11,0.0739,164925.52,-28.84,-0.0964,-0.964,28.86,0,0,46,47,0
4.0097146,255.64384,255.73276,12,0.0741,165324.23,-28.66,-1.677,-0.1736,28.7,0,0,46,47,0
4.003997,255.02362,255.22139,13,0.0725,161998.48,-29.0,1.237,0.715,29.03,0,0,46,47,0
4.0007234,254.68044,254.76161,14,0.0751,167181.3,-27.7,-1.475,0.7676,27.75,0,0,46,47,0
4.004816,255.0841,255.0454,15,0.07434,165884.05,-28.78,-0.3445,0.7544,28.8,0,0,46,47,0
4.017882,255.34961,255.45378,16,0.0752,167454.2,-28.45,-0.5625,1.14,28.48,0,0,46,47,0
4.037927,255.54768,255.75603,17,0.0775,172886.25,-29.0,-1.157,0.5884,29.03,0,0,46,47,0
4.039819,255.65906,255.76509,18,0.07495,167178.67,-26.8,0.728,1.214,26.83,0,0,46,47,0
4.0182204,255.41185,255.42406,19,0.07416,165480.03,-29.92,-1.132,-1.509,29.98,0,0,46,47,0
4.019582,255.40706,255.40797,20,0.07477,166915.53,-29.72,-1.145,-1.335,29.78,0,0,46,47,0
4.026789,256.1804,256.04086,21,0.07477,166633.88,-32.0,-0.3591,-2.637,32.1,0,0,46,47,0
4.0213137,255.67525,255.396,22,0.0737,164615.8,-29.47,-0.9087,0.6934,29.5,0,0,46,47,0
4.0025086,254.92787,254.51772,23,0.0754,168231.22,-31.23,-0.2477,-0.4238,31.23,0,0,46,47,0
4.031235,255.69554,255.73141,24,0.07513,167623.27,-30.69,-1.061,0.126,30.7,0,0,46,47,0
4.002014,255.19945,255.31155,25,0.078,173769.0,-29.7,-0.4978,0.535,29.72,0,0,46,47,0
3.9988594,255.00499,255.07472,26,0.07654,170834.7,-29.0,0.549,0.488,29.02,0,0,46,47,0
4.0163984,255.187,255.34746,27,0.0771,171721.9,-28.84,0.5815,-0.561,28.86,0,0,46,47,0
4.0208964,255.02605,255.03452,28,0.0765,170435.25,-28.34,0.681,0.566,28.36,0,0,46,47,0
4.0661044,257.73022,257.9007,29,0.0751,167404.67,-29.58,-0.598,0.7554,29.6,0,0,46,47,0
2.9389663,263.56815,259.69043,30,9.74,1802.0869,-0.1885,0.1126,0.2559,0.3372,0,0,46,47,0
2.6170728,264.75153,253.54916,31,8.17,1732.8807,-0.9385,-0.7285,-0.3118,1.229,0,0,46,47,0
2.4491725,264.18256,253.09706,32,8.195,1753.1743,2.213,-0.1775,0.303,2.242,0,0,46,47,0
2.4993725,264.57736,253.85103,33,6.99,1474.448,0.2505,0.613,0.9233,1.136,0,0,46,47,0
2.5556133,264.5195,253.87367,34,7.68,1566.4254,-0.683,-0.1632,1.04,1.255,0,0,46,47,0
2.8366632,269.5102,250.78436,35,8.26,1494.6022,0.639,-0.0892,0.8364,1.057,0,0,46,47,0
3.4350784,273.93445,248.1416,36,8.58,1663.7263,1.818,-0.1869,0.5693,1.915,0,0,46,47,0
3.8812444,277.71194,246.03738,37,8.55,1529.7211,-4.08,0.10144,1.259,4.27,0,0,46,47,0
3.8955708,280.54422,243.82414,38,9.94,1748.7803,2.938,0.1202,0.744,3.033,0,0,46,47,0
3.2003174,288.3086,227.49838,41,9.414,1599.9286,3.812,-0.2219,0.6016,3.865,0,0,46,47,0
