z,y,x,t,intensity_raw,total_intensity,feature_0,feature_1,feature_2,norm,particle,t_0,track_length,t_end,track_id
4.015741,256.53195,256.0954,0,0.03754,86315.43,-32.44,0.1688,-0.344,32.44,0,0,34,35,0
4.0013275,255.55327,255.04129,1,0.03925,90148.18,-30.05,-2.014,0.8613,30.12,0,0,34,35,0
3.999791,256.22943,255.79372,2,0.04086,93750.45,-30.42,-1.959,0.7554,30.5,0,0,34,35,0
4.0219846,256.74655,256.42014,3,0.0432,98945.06,-31.39,-0.252,-0.03616,31.39,0,0,34,35,0
3.9992003,255.65935,255.24976,4,0.0429,98119.5,-32.34,0.6973,-0.4194,32.34,0,0,34,35,0
3.9752202,254.09396,253.73871,5,0.0424,96925.984,-31.95,-0.6846,1.45,31.98,0,0,34,35,0
4.0153894,255.99179,255.82521,6,0.0402,92088.76,-27.75,-5.477,-0.702,28.3,0,0,34,35,0
4.0124717,255.59654,255.41843,7,0.0406,93043.63,-32.5,1.667,-0.9077,32.56,0,0,34,35,0
4.0327106,256.69604,256.544,8,0.0411,94223.06,-29.33,-1.111,-0.3503,29.34,0,0,34,35,0
4.0206885,257.03488,256.8539,9,0.04034,92467.88,-32.2,0.8525,0.428,32.2,0,0,34,35,0
4.0149302,255.08977,254.97511,10,0.039,89472.13,-29.38,-3.057,-0.2495,29.53,0,0,34,35,0
3.997475,256.17865,256.01938,11,0.03906,89575.836,-30.31,-2.395,0.10065,30.4,0,0,34,35,0
3.9852216,254.99149,254.84587,12,0.03705,84957.66,-30.8,0.5674,0.2009,30.81,0,0,34,35,0
4.021722,255.96918,255.77785,13,0.03778,86698.164,-32.03,-0.24,-0.4333,32.03,0,0,34,35,0
4.00706,254.47983,254.59784,14,0.0378,86795.1,-30.03,-2.773,0.618,30.17,0,0,34,35,0
4.041168,256.6813,256.42828,15,0.03622,83189.24,-30.05,-1.279,-0.3755,30.08,0,0,34,35,0
4.042151,256.6279,256.40588,16,0.03845,88211.625,-29.33,-2.12,-0.757,29.4,0,0,34,35,0
4.0299125,256.77106,256.8833,17,0.03806,87381.2,-32.72,1.445,0.05023,32.75,0,0,34,35,0
4.018345,255.22324,255.45593,18,0.03873,88857.55,-29.77,-1.065,0.3982,29.78,0,0,34,35,0
3.9813263,253.45503,253.8877,19,0.03836,88043.36,-29.34,-1.821,0.3108,29.4,0,0,34,35,0
3.9874816,253.63875,254.04918,20,0.04016,92052.32,-32.1,1.376,0.846,32.12,0,0,34,35,0
4.03908,256.45444,256.68845,21,0.04166,95474.28,-29.4,-3.379,0.3787,29.6,0,0,34,35,0
4.0023875,255.59303,255.93274,23,0.04074,93438.016,-30.67,-2.62,-0.2854,30.8,0,0,34,35,0
4.0027456,255.4657,256.05386,24,0.03934,90336.49,-29.9,-3.236,1.125,30.11,0,0,34,35,0
0.6391903,258.24725,265.08,26,6.99,601.1172,-0.79,-5.03,0.249,5.098,0,0,34,35,0
0.67757374,258.61664,265.62177,27,8.06,782.1567,0.4097,6.258,0.4553,6.29,0,0,34,35,0
