t,ID (CME),ID (Dino),x (CME),y (CME),z (CME),x (Dino),y (Dino),z (Dino),t_start (CME),FI (CME),FI (Dino),Track Length (CME),Track Length (Dino),Distance,Multi ID (Dino),Multi Distance (Dino)
1.0,2.0,204.0,291.3,226.51,21.24000000000001,290.10223,225.49341,21.133604,1.0,229.96,320.5,99.0,99.0,1.5746200525256688,204,1.57
2.0,2.0,204.0,291.98,226.98,20.919999999999987,290.68066,225.93553,20.888971,1.0,242.52,319.0,99.0,99.0,1.667382624157111,204,1.67
3.0,2.0,204.0,291.7,226.58,20.900000000000006,290.4679,225.54599,20.828094,1.0,252.34,334.8,99.0,99.0,1.6100986190094244,204,1.61
4.0,2.0,204.0,291.69,227.07,20.840000000000003,290.76816,226.11127,20.913042,1.0,272.54,335.0,99.0,99.0,1.3320237731602083,204,1.33
5.0,2.0,204.0,292.56,227.12,20.72999999999999,291.42166,226.15648,20.838835,1.0,246.29,315.8,99.0,99.0,1.4953373543201207,204,1.50
6.0,2.0,204.0,292.74,227.17,21.439999999999998,291.55154,226.11789,21.57976,1.0,207.15,312.5,99.0,99.0,1.5933943269950623,204,1.59
7.0,2.0,204.0,292.42,227.28,21.0,291.17303,226.23903,21.138721,1.0,194.14,310.8,99.0,99.0,1.6302748963414286,204,1.63
8.0,2.0,204.0,292.66,227.48,21.349999999999994,291.60605,226.47386,21.418745,1.0,190.98,291.8,99.0,99.0,1.458716619883748,204,1.46
9.0,2.0,204.0,292.27,227.31,21.689999999999998,291.1219,226.25427,21.634623,1.0,215.83,303.8,99.0,99.0,1.5606940939944067,204,1.56
10.0,2.0,204.0,292.73,227.34,21.830000000000013,291.57553,226.2492,21.921162,1.0,178.69,289.2,99.0,99.0,1.5908979009175945,204,1.59
11.0,2.0,204.0,292.36,227.23,21.370000000000005,291.22018,226.21017,21.460215,1.0,187.96,289.0,99.0,99.0,1.5321167081932552,204,1.53
12.0,2.0,204.0,293.24,227.2,21.47,291.92822,226.08374,21.418636,1.0,208.73,299.2,99.0,99.0,1.7232067248290202,204,1.72
13.0,2.0,204.0,292.68,227.97,21.25999999999999,291.5559,226.95306,21.462336,1.0,187.89,291.0,99.0,99.0,1.5292833715489131,204,1.53
14.0,2.0,204.0,292.44,227.59,21.080000000000013,291.33652,226.51646,21.266684,1.0,196.85,285.5,99.0,99.0,1.5508085497107607,204,1.55
15.0,2.0,204.0,292.39,227.86,21.05000000000001,291.02164,226.70262,21.103733,1.0,194.02,291.0,99.0,99.0,1.7929932485341453,204,1.79
16.0,2.0,204.0,292.17,227.87,21.169999999999987,290.82175,226.87189,21.253672,1.0,209.33,296.8,99.0,99.0,1.6795840670189794,204,1.68
17.0,2.0,204.0,292.42,228.14,21.210000000000008,291.397,227.14818,21.082857,1.0,254.58,311.0,99.0,99.0,1.4305248179773158,204,1.43
18.0,2.0,204.0,292.64,228.26,21.580000000000013,291.7211,227.29182,21.437387,1.0,247.4,304.0,99.0,99.0,1.342418783453583,204,1.34
19.0,2.0,204.0,292.2,228.42,21.080000000000013,291.2472,227.42332,20.91143,1.0,264.3,306.0,99.0,99.0,1.3891057221464242,204,1.39
20.0,2.0,204.0,292.19,228.29,21.319999999999993,291.28455,227.35281,21.07946,1.0,293.96,320.8,99.0,99.0,1.3251506669808997,204,1.33
21.0,2.0,204.0,291.96,228.42,21.360000000000014,291.09167,227.50461,21.14546,1.0,290.21,324.5,99.0,99.0,1.27982938417583,204,1.28
22.0,2.0,204.0,292.11,227.7,20.72,291.32132,226.70427,20.71115,1.0,284.66,321.0,99.0,99.0,1.270264814044678,204,1.27
23.0,2.0,204.0,291.74,228.6,20.819999999999993,291.14426,227.78554,20.918137,1.0,267.64,308.5,99.0,99.0,1.0138452100636655,204,1.01
24.0,2.0,204.0,290.95,228.29,19.97,290.09485,227.48259,20.372879,1.0,252.81,316.5,99.0,99.0,1.243182978986189,204,1.24
25.0,2.0,204.0,291.08,228.38,20.370000000000005,290.1665,227.64671,20.58172,1.0,264.66,325.8,99.0,99.0,1.1903872615665756,204,1.19
26.0,2.0,204.0,291.2,227.62,20.169999999999987,290.32944,226.82257,20.299011,1.0,283.04,327.5,99.0,99.0,1.1876081662825537,204,1.19
27.0,2.0,204.0,291.25,228.23,20.69999999999999,290.32938,227.38916,20.706438,1.0,292.48,330.8,99.0,99.0,1.2468338052218304,204,1.25
28.0,2.0,204.0,291.47,228.42,20.430000000000007,290.64737,227.56828,20.491245,1.0,289.23,336.5,99.0,99.0,1.185705707722201,204,1.19
29.0,2.0,204.0,291.22,228.52,20.120000000000005,290.4384,227.63695,20.094475,1.0,342.16,351.5,99.0,99.0,1.1795454158806415,204,1.18
30.0,2.0,204.0,290.93,227.58,20.110000000000014,290.29398,226.72362,20.787245,1.0,270.23,318.5,99.0,99.0,1.2635540886028667,204,1.26
31.0,2.0,204.0,291.45,227.38,19.710000000000008,290.87485,226.539,20.186157,1.0,247.12,312.2,99.0,99.0,1.1246350568735695,204,1.12
32.0,2.0,204.0,291.34,227.53,19.75,290.86276,226.66568,20.268877,1.0,261.16,314.5,99.0,99.0,1.1153655997604468,204,1.12
33.0,2.0,204.0,290.88,227.08,19.28,290.52982,226.30688,20.193487,1.0,220.61,306.8,99.0,99.0,1.2469158215248635,204,1.25
