ID (CME),Missing Time Points,ID (Dino),x (CME),y (CME),z (CME),x (Dino),y (Dino),z (Dino),t,t_start (CME),t_start (CME).1,FI (CME),FI (Dino),Track Length (CME),Track Length (Dino),Distance,Multi ID (Dino),Multi Distance (Dino)
9.0,51,7021.0,345.37,414.39,58.05,359.3365,425.05008,65.56668,51.0,1.0,1.0,108.57,314.2,99.0,31.0,19.110230403603197,,
9.0,52,7021.0,345.37,414.06,58.260000000000005,359.03455,424.92938,65.6448,52.0,1.0,1.0,122.4,299.2,99.0,31.0,18.95781156481149,,
9.0,82,437.0,344.83,413.91,56.39,340.2142,392.92307,53.474686,82.0,1.0,1.0,62.017,236.1,99.0,40.0,21.68538439095552,,
9.0,83,437.0,343.63,413.48,56.56999999999999,340.08194,392.957,53.77179,83.0,1.0,1.0,66.079,224.4,99.0,40.0,21.01457203865216,,
9.0,84,437.0,344.25,413.91,56.88,339.7309,393.3156,53.878426,84.0,1.0,1.0,49.689,234.1,99.0,40.0,21.29697214740809,,
9.0,85,7858.0,343.83,414.09,56.620000000000005,333.9988,400.33618,50.64567,85.0,1.0,1.0,61.391,210.9,99.0,8.0,17.930774578397283,,
9.0,86,437.0,343.51,415.47,55.99,340.87158,393.83936,53.78672,86.0,1.0,1.0,57.358,240.1,99.0,40.0,21.902061310853853,,
9.0,87,548.0,344.38,416.45,56.43000000000001,357.29984,433.11087,63.57226,87.0,1.0,1.0,36.393,250.6,99.0,78.0,22.26025005902,,
9.0,88,548.0,343.94,415.76,56.95,356.31873,432.83615,63.888123,88.0,1.0,1.0,43.674,250.5,99.0,78.0,22.20282427977416,,
9.0,89,12173.0,344.42,415.2,57.39,353.8603,409.20596,63.267685,89.0,1.0,1.0,43.243,241.4,99.0,2.0,12.633089905910763,,
9.0,90,12173.0,344.06,415.29,56.8,352.8598,408.99966,62.695248,90.0,1.0,1.0,51.365,249.0,99.0,2.0,12.319042427766222,,
9.0,91,806.0,344.37,414.5,57.19,355.82352,432.62057,64.694046,91.0,1.0,1.0,52.076,225.2,99.0,29.0,22.712306881631704,,
9.0,92,806.0,344.67,414.42,57.11,355.67133,432.3228,64.7771,92.0,1.0,1.0,53.168,237.4,99.0,29.0,22.367921942346328,,
9.0,93,806.0,344.42,414.62,56.97,355.50775,432.48926,65.00581,93.0,1.0,1.0,55.061,226.1,99.0,29.0,22.512727408428308,,
9.0,94,806.0,344.82,414.79,57.33,355.57956,432.63303,64.46857,94.0,1.0,1.0,56.75,234.8,99.0,29.0,22.02500925355993,,
9.0,95,806.0,343.84,416.89,57.150000000000006,355.09033,431.94052,64.49256,95.0,1.0,1.0,59.901,243.9,99.0,29.0,20.174272347048863,,
9.0,96,806.0,344.76,416.59,56.89,355.59143,430.83643,63.6185,96.0,1.0,1.0,76.989,251.4,99.0,29.0,19.119449674083224,,
9.0,97,806.0,343.97,417.09,57.1,355.32913,430.9712,63.749046,97.0,1.0,1.0,86.571,245.9,99.0,29.0,19.129227911941896,,
