ID (CME),Track Length (CME),Track Coverage,Missing Time Points,Dino Data
2.0,99.0,99,[],"204.0,1,1.5746200525256688"
3.0,74.0,99,[],"339.0,1,1.4456835342480456;461.0,71,0.3649965122093698"
4.0,47.0,99,[],"363.0,1,1.5948647131967115;5310.0,46,1.0996679646602812;7089.0,91,1.6811495853804723;5310.0,92,2.278943096569113;7089.0,97,1.961722481338544"
5.0,69.0,99,[],"385.0,1,1.534561347768148;345.0,70,2.0257597312228404;403.0,87,2.1903380355781232"
7.0,99.0,99,[],"425.0,1,1.5915212862934074"
8.0,99.0,99,[],"464.0,1,1.6164772497625894"
9.0,25.0,81,"[51.0, 52.0, 82.0, 83.0, 84.0, 85.0, 86.0, 87.0, 88.0, 89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0]","489.0,1,1.973619377470018;4244.0,22,2.329408116925796;7021.0,51,19.110230403603197;4244.0,53,1.1758452215321635;437.0,82,21.68538439095552;7858.0,85,17.930774578397283;437.0,86,21.902061310853853;548.0,87,22.26025005902;12173.0,89,12.633089905910763;806.0,91,22.712306881631704;4244.0,98,1.6888603648958185"
10.0,80.0,80,"[43.0, 44.0, 47.0, 65.0, 66.0, 67.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 84.0, 96.0, 97.0]","526.0,1,2.4900529145381527;420.0,43,12.959437804979665;526.0,45,1.4576035084397967;420.0,47,13.747917028688384;526.0,48,1.2030500563983335;2125.0,65,11.126081853716506;526.0,68,1.9069979658943204;2125.0,69,10.844518829871788;615.0,70,17.07235986863516;420.0,71,18.024761572373176;400.0,74,18.442485951690017;526.0,79,1.4378815827893807;615.0,84,11.163455371747576;526.0,85,1.6666888927751442;400.0,96,14.596938043317074;526.0,98,1.6156013530880888"
11.0,79.0,83,"[50.0, 51.0, 75.0, 76.0, 78.0, 79.0, 80.0, 81.0, 82.0, 83.0, 84.0, 95.0, 96.0, 97.0, 98.0, 99.0]","533.0,1,1.63485200823683;564.0,50,3.825023370712913;533.0,52,1.672912795074824;564.0,57,2.641052454181124;533.0,58,0.9162483094117982;564.0,61,0.8769695998294018;533.0,64,1.672744707987441;564.0,67,1.624675014993434;533.0,69,1.6884313212269195;4253.0,75,14.1856793302773;533.0,77,1.9434700984321864;4253.0,78,14.5348740139294;1736.0,79,17.283850918429618;533.0,85,1.874967375609487;1736.0,95,15.003778548902275;8284.0,96,16.725014925633683;3928.0,97,21.670302166185877;8284.0,98,18.11789542764281"
12.0,99.0,99,[],"583.0,1,1.5061769746281235"
13.0,48.0,99,[],"610.0,1,1.4294794417899284;635.0,9,2.826251398938182;610.0,10,1.9263820486341667;635.0,12,1.689309850849193;3303.0,13,1.7852571483402495;582.0,14,1.7865870504400374;4160.0,66,1.4361711646248656;10247.0,70,2.3648980608474166;427.0,71,2.078663359589532;10145.0,86,1.5237462575363334;427.0,87,1.5860024139326143;10145.0,91,1.6804805800722888"
14.0,56.0,99,[],"617.0,1,1.7968639904288726;1942.0,3,1.7677435472658298;4164.0,20,1.8318706499436697;1942.0,23,2.0899049443015523;4164.0,27,1.8330722631964256;1942.0,29,1.6177358267034825"
15.0,99.0,99,[],"838.0,1,1.6198283185572842"
16.0,68.0,84,"[69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 88.0, 89.0, 90.0, 95.0, 96.0]","1211.0,1,1.9937120782600235;1242.0,69,15.760931705879567;5857.0,71,15.522297135256744;3381.0,72,16.117461687508367;1242.0,73,16.345561757204916;2035.0,78,13.53713640843217;4548.0,79,2.995219835170686;1242.0,88,18.15039142263604;9872.0,89,15.41218673795837;4548.0,91,1.7496090514740656;3381.0,95,20.922021129118956;4548.0,97,2.989070287982525"
17.0,89.0,99,[],"1234.0,1,2.035592745639464;1311.0,40,2.0906489242578226;1234.0,42,2.0991210288118545;6946.0,91,1.9853777475583207"
18.0,15.0,98,[6.0],"491.0,1,2.1232014796116703;2415.0,6,3.838869020767545;607.0,98,1.4242982028352842"
