ID (CME),ID (Dino),x (CME),y (CME),z (CME),x (Dino),y (Dino),z (Dino),t,t_start (CME),t_start (Dino),FI (CME),FI (Dino),Track Length (CME),Track Length (Dino),Distance,Multi ID (Dino),Multi Distance (Dino)
2.0,244.0,291.3,226.51,21.24000000000001,289.9553,225.4559,21.006702,1.0,1.0,1.0,229.96,22700.0,99.0,99.0,1.7244630633341862,244,1.72
2.0,244.0,291.98,226.98,20.919999999999987,290.61697,225.94449,20.77268,2.0,1.0,1.0,242.52,26580.0,99.0,99.0,1.7180904875471703,244,1.72
2.0,244.0,291.7,226.58,20.900000000000006,290.43076,225.54506,20.582558,3.0,1.0,1.0,252.34,31620.0,99.0,99.0,1.6681847633172817,244,1.67
2.0,244.0,291.69,227.07,20.840000000000003,290.6664,226.05872,20.598406,4.0,1.0,1.0,272.54,31460.0,99.0,99.0,1.4590448448337614,244,1.46
2.0,244.0,292.56,227.12,20.72999999999999,291.28326,226.13696,20.696844,5.0,1.0,1.0,246.29,25900.0,99.0,99.0,1.6116860704045557,244,1.61
2.0,244.0,292.74,227.17,21.439999999999998,291.39474,226.08385,21.305553,6.0,1.0,1.0,207.15,22500.0,99.0,99.0,1.7342209449516328,244,1.73
2.0,244.0,292.42,227.28,21.0,291.06534,226.20981,20.832245,7.0,1.0,1.0,194.14,21310.0,99.0,99.0,1.734517826868625,244,1.73
2.0,244.0,292.66,227.48,21.349999999999994,291.51883,226.45793,21.205784,8.0,1.0,1.0,190.98,19120.0,99.0,99.0,1.5387313958115207,244,1.54
2.0,244.0,292.27,227.31,21.689999999999998,291.05615,226.27638,21.416563,9.0,1.0,1.0,215.83,23520.0,99.0,99.0,1.617581503315668,244,1.62
2.0,244.0,292.73,227.34,21.830000000000013,291.43222,226.23126,21.70451,10.0,1.0,1.0,178.69,16030.0,99.0,99.0,1.711515426778312,244,1.71
2.0,244.0,292.36,227.23,21.370000000000005,291.12115,226.14403,21.190956,11.0,1.0,1.0,187.96,20240.0,99.0,99.0,1.6571472225894843,244,1.66
2.0,244.0,293.24,227.2,21.47,291.8904,226.1098,21.205873,12.0,1.0,1.0,208.73,20450.0,99.0,99.0,1.7549128958808708,244,1.75
2.0,244.0,292.68,227.97,21.25999999999999,291.41888,226.91083,21.177544,13.0,1.0,1.0,187.89,19650.0,99.0,99.0,1.6489583788670958,244,1.65
2.0,244.0,292.44,227.59,21.080000000000013,291.26852,226.50607,21.151249,14.0,1.0,1.0,196.85,22530.0,99.0,99.0,1.5976063517966363,244,1.60
2.0,244.0,292.39,227.86,21.05000000000001,291.01233,226.7681,20.996157,15.0,1.0,1.0,194.02,23710.0,99.0,99.0,1.7587266153524062,244,1.76
2.0,244.0,292.17,227.87,21.169999999999987,290.7688,226.83215,21.041498,16.0,1.0,1.0,209.33,28210.0,99.0,99.0,1.7484298174373565,244,1.75
2.0,244.0,292.42,228.14,21.210000000000008,291.4038,227.1097,20.908255,17.0,1.0,1.0,254.58,37600.0,99.0,99.0,1.4782525410176106,244,1.48
