ID (CME),Missing Time Points,ID (Dino),x (CME),y (CME),z (CME),x (Dino),y (Dino),z (Dino),t,t_start (CME),t_start (Dino),FI (CME),FI (Dino),Track Length (CME),Track Length (Dino),Distance,Multi ID (Dino),Multi Distance (Dino)
2.0,24,6955.0,290.95,228.29,19.97,282.838,225.75143,15.213984,24.0,1.0,18.0,252.81,23900.0,99.0,47.0,9.740049786174373,,
9.0,84,28364.0,344.25,413.91,56.88,339.5837,393.38483,53.52588,84.0,1.0,62.0,49.689,7264.0,99.0,37.0,21.314480528347385,,
9.0,87,39425.0,344.38,416.45,56.43000000000001,353.718,409.35474,63.048595,87.0,1.0,80.0,36.393,3422.0,99.0,10.0,13.46650504925555,,
9.0,88,39425.0,343.94,415.76,56.95,353.28613,409.39432,62.902565,88.0,1.0,80.0,43.674,4060.0,99.0,10.0,12.779086740394453,,
9.0,89,39425.0,344.42,415.2,57.39,353.66357,409.18945,62.859978,89.0,1.0,80.0,43.243,7840.0,99.0,10.0,12.308166271540337,,
9.0,90,39425.0,344.06,415.29,56.8,353.09363,409.17886,62.660095,90.0,1.0,80.0,51.365,4508.0,99.0,10.0,12.381163777510002,,
9.0,91,39425.0,344.37,414.5,57.19,353.80075,409.5494,61.864307,91.0,1.0,80.0,52.076,2214.0,99.0,10.0,11.631708036773828,,
9.0,92,28364.0,344.67,414.42,57.11,341.3494,396.96057,55.14852,92.0,1.0,62.0,53.168,1650.0,99.0,37.0,17.8803099546764,,
9.0,93,28364.0,344.42,414.62,56.97,341.12558,397.23584,53.88926,93.0,1.0,62.0,55.061,1500.0,99.0,37.0,17.959765616221173,,
9.0,94,28364.0,344.82,414.79,57.33,341.53104,397.8875,54.838284,94.0,1.0,62.0,56.75,1852.0,99.0,37.0,17.398862398336764,,
9.0,95,28364.0,343.84,416.89,57.150000000000006,340.70508,397.85605,54.874165,95.0,1.0,62.0,59.901,266.8,99.0,37.0,19.42417053457174,,
9.0,96,28364.0,344.76,416.59,56.89,341.9984,397.9981,53.512287,96.0,1.0,62.0,76.989,114.25,99.0,37.0,19.096966389465297,,
9.0,97,32590.0,343.97,417.09,57.1,355.2804,431.05826,63.750725,97.0,1.0,69.0,86.571,8990.0,99.0,30.0,19.16427871361783,,
9.0,98,32590.0,344.37,416.21,57.48,355.88513,428.91333,64.565475,98.0,1.0,69.0,100.77,1962.0,99.0,30.0,18.55200172438071,,
9.0,99,28364.0,344.76,417.12,57.59,341.69925,398.6137,55.13618,99.0,1.0,62.0,116.14,203.4,99.0,37.0,18.917519997211585,,
11.0,32,550.0,354.56,469.33,65.04,357.53732,471.75192,66.719444,32.0,1.0,1.0,223.27,12630.0,99.0,44.0,4.189351145217608,,
11.0,33,535.0,354.55,469.07,64.88,350.8628,485.70148,61.858307,33.0,1.0,1.0,214.49,21700.0,99.0,99.0,17.301219593330682,,
11.0,34,535.0,354.79,468.26,64.83,351.21545,485.49335,61.543037,34.0,1.0,1.0,240.52,16380.0,99.0,99.0,17.90446552367231,,
11.0,35,535.0,354.52,468.49,64.87,351.48615,486.3512,61.82228,35.0,1.0,1.0,277.84,8270.0,99.0,99.0,18.37158970968217,,
11.0,36,535.0,354.09,468.1,64.31,351.20273,485.7062,61.954987,36.0,1.0,1.0,278.59,4504.0,99.0,99.0,17.996129937380122,,
11.0,37,535.0,353.93,467.7,64.51,351.4884,485.63437,62.18274,37.0,1.0,1.0,231.09,5560.0,99.0,99.0,18.24881302892054,,
11.0,39,15159.0,353.76,466.57,63.67,358.37668,471.8764,65.120735,39.0,1.0,38.0,267.76,966.5,99.0,19.0,7.181660478094549,,
13.0,70,7007.0,373.59,357.39,76.464,373.17603,371.3725,76.297516,70.0,1.0,18.0,300.46,23000.0,99.0,82.0,13.989617376224285,,
13.0,71,7007.0,373.11,357.75,75.522,372.54495,371.80045,75.46301,71.0,1.0,18.0,304.48,25070.0,99.0,82.0,14.061931109385382,,
