ID (CME),ID (Dino),Track Length (CME),Track Length (Dino),Match,Identical Match
[2.0],[244.0],[99.0],[99.0],True,True
[3.0],[370.0 380.0],[99.0],[13.0 99.0],True,False
[4.0],[392.0],[99.0],[99.0],True,True
[5.0],[415.0],[99.0],[99.0],True,True
[7.0],[447.0],[99.0],[99.0],True,True
[8.0],[445.0 487.0],[99.0],[24.0 97.0],True,False
[9.0],[503.0 18456.0 25120.0 28280.0],[99.0],[7.0 10.0 37.0 85.0],False,False
[10.0],[541.0],[99.0],[99.0],True,True
[11.0],[550.0],[99.0],[99.0],True,True
[12.0],[591.0],[99.0],[99.0],True,True
[13.0],[618.0 20652.0 26688.0],[99.0],[1.0 32.0 71.0],True,False
[14.0],[630.0],[99.0],[99.0],True,True
[15.0],[840.0],[99.0],[99.0],True,True
[16.0],[1196.0 20364.0],[99.0],[1.0 99.0],False,False
[17.0],[1217.0 15109.0],[99.0],[47.0 98.0],True,False
[18.0],[505.0],[99.0],[99.0],True,True
[20.0],"[1155.0 1785.0 2044.0 3508.0 4327.0 5374.0 7275.0 10517.0 11150.0 23039.0
 24898.0 27244.0 28821.0 29158.0 29377.0]",[99.0],[1.0 2.0 4.0 5.0 9.0 16.0 17.0 21.0 25.0 28.0 37.0 51.0],False,False
[22.0],[738.0 819.0 8171.0 27353.0 29096.0],[99.0],[2.0 3.0 64.0 85.0 96.0],False,False
[27.0],[1217.0 1253.0 11752.0 15109.0],[99.0],[12.0 47.0 51.0 98.0],False,False
[30.0],"[1068.0 2210.0 2815.0 3295.0 10167.0 24535.0 25230.0 25763.0 27009.0
 27428.0 27440.0 28821.0]",[99.0],[2.0 3.0 4.0 5.0 7.0 15.0 29.0 42.0],False,False
[31.0],[522.0 531.0 1707.0 9273.0 26155.0],[99.0],[13.0 28.0 36.0 56.0 95.0],False,False
[33.0],[1396.0],[99.0],[99.0],True,True
[36.0],[320.0 390.0],[99.0],[13.0 97.0],False,False
[38.0],[241.0 18438.0 26661.0 26880.0],[98.0],[11.0 14.0 33.0 69.0],False,False
[39.0],[477.0 485.0 5277.0],[98.0],[9.0 82.0 93.0],False,False
[40.0],[554.0 652.0 2542.0 2754.0 28105.0 28293.0],[98.0],[5.0 8.0 10.0 22.0 39.0 90.0],False,False
[42.0],[633.0 21015.0 21833.0 24058.0 24809.0 26364.0],[96.0],[3.0 7.0 9.0 16.0 69.0],False,False
[43.0],[700.0 14914.0 22947.0 26920.0 27188.0],[96.0],[6.0 9.0 44.0 80.0],False,False
[46.0],"[616.0 633.0 1733.0 2755.0 2756.0 7911.0 11255.0 15721.0 22245.0 24808.0
 27185.0]",[95.0],[3.0 5.0 9.0 11.0 12.0 16.0 24.0 37.0 48.0 69.0],False,False
[48.0],[809.0 2775.0 22258.0],[94.0],[28.0 45.0 62.0],False,False
[51.0],[736.0 737.0 13736.0 22578.0 24819.0 26380.0],[93.0],[1.0 12.0 13.0 27.0 55.0 71.0],False,False
[52.0],[2862.0],[93.0],[93.0],True,True
[53.0],[399.0 13277.0 14444.0 26147.0 29082.0],[93.0],[3.0 12.0 31.0 41.0 45.0],False,False
[54.0],[575.0 27893.0],[92.0],[9.0 91.0],False,False
[56.0],[502.0 2978.0 3432.0 27618.0],[92.0],[9.0 28.0 34.0 88.0],False,False
[57.0],[1733.0 1740.0 3016.0 3840.0 11960.0 18823.0 27185.0 29294.0],[92.0],[1.0 7.0 9.0 11.0 23.0 34.0 80.0],False,False
[58.0],[1135.0 2403.0 2619.0],[91.0],[1.0 7.0 94.0],False,False
[59.0],[328.0 1679.0 4455.0 16481.0],[91.0],[19.0 40.0 70.0],False,False
[62.0],[656.0 7914.0],[90.0],[69.0 89.0],False,False
[64.0],[634.0 5289.0],[90.0],[22.0 82.0],False,False
[65.0],[520.0 16909.0],[88.0],[33.0 87.0],False,False
[68.0],"[1198.0 1422.0 1798.0 1826.0 2621.0 3078.0 3890.0 7188.0 8570.0 9105.0
 10172.0 10204.0 11346.0 12837.0 14612.0 15018.0 18301.0 19938.0 20751.0
 21122.0 24930.0 25247.0]",[86.0],[1.0 2.0 3.0 5.0 6.0 9.0 10.0 11.0 15.0 18.0 21.0 27.0 34.0],False,False
[71.0],[358.0 2526.0 6003.0 7396.0 20609.0 23637.0],[85.0],[10.0 14.0 16.0 42.0 52.0],True,False
[73.0],"[4459.0 24024.0 24427.0 24786.0 25099.0 25449.0 25711.0 25941.0 26146.0
 26346.0 26672.0 26889.0 27175.0 27339.0]",[85.0],[1.0 2.0 3.0 11.0 12.0 63.0],True,False
[74.0],[4466.0 11943.0],[85.0],[56.0 84.0],False,False
[75.0],[794.0 861.0 5314.0 22578.0],[85.0],[8.0 18.0 27.0 73.0],False,False
