ID (CME),Missing Time Points,ID (Dino),x (CME),y (CME),z (CME),x (Dino),y (Dino),z (Dino),t,t_start (CME),t_start (CME).1,FI (CME),FI (Dino),Track Length (CME),Track Length (Dino),Distance,Multi ID (Dino),Multi Distance (Dino)
1.0,14,339.0,319.38,148.99,34.5,316.0659,150.0145,36.335747,14.0,1.0,1.0,166.63,292.5,99.0,74.0,3.9246434370537338,,
1.0,15,339.0,318.51,150.08,33.650000000000006,316.18,150.0547,36.409122,15.0,1.0,1.0,150.69,279.5,99.0,74.0,3.611411677015502,,
2.0,18,363.0,322.53,328.79,36.349999999999994,319.66556,328.2798,39.369576,18.0,1.0,1.0,90.213,276.2,99.0,47.0,4.193227846584982,,
2.0,20,363.0,322.43,329.59,37.629999999999995,319.66467,328.66006,40.33382,20.0,1.0,1.0,87.411,281.0,99.0,47.0,3.977748232970514,,
3.0,81,4580.0,325.65,162.82,39.83000000000001,322.6358,164.43402,38.726093,81.0,1.0,1.0,154.9,250.6,99.0,42.0,3.5929198244671174,,
5.0,13,439.0,336.8,443.35,53.06,334.33215,464.97174,53.369743,13.0,1.0,1.0,112.42,382.0,99.0,53.0,21.76432551162908,,
5.0,15,439.0,336.97,442.74,53.33,334.41647,464.33844,52.89878,15.0,1.0,1.0,105.87,398.2,99.0,53.0,21.753139464980663,,
5.0,16,439.0,337.09,442.69,52.510000000000005,333.9852,464.15106,52.217445,16.0,1.0,1.0,101.43,385.2,99.0,53.0,21.68645816613731,,
5.0,17,439.0,337.46,442.47,53.92,333.97906,463.76788,52.623863,17.0,1.0,1.0,95.699,381.5,99.0,53.0,21.619357226817993,,
5.0,20,439.0,336.69,442.53,53.22,333.8879,462.70657,52.506054,20.0,1.0,1.0,84.413,330.5,99.0,53.0,20.38272455452943,,
5.0,21,439.0,336.68,442.81,53.5,333.4122,463.13123,52.656223,21.0,1.0,1.0,98.824,363.0,99.0,53.0,20.599584102079092,,
5.0,25,439.0,336.85,441.33,54.18000000000001,339.8431,456.54993,56.04748,25.0,1.0,1.0,96.989,315.5,99.0,53.0,15.623456671470011,,
5.0,27,439.0,336.68,441.43,53.72,339.78427,455.98236,55.59538,27.0,1.0,1.0,101.86,307.0,99.0,53.0,14.99749058832512,,
5.0,29,439.0,337.38,442.03,53.900000000000006,339.5785,456.43488,56.28216,29.0,1.0,1.0,94.146,336.0,99.0,53.0,14.765116197646448,,
5.0,31,377.0,337.17,441.92,53.23,334.74045,463.13626,52.425667,31.0,1.0,1.0,84.815,319.5,99.0,49.0,21.37005739732554,,
5.0,32,377.0,336.9,441.84,53.879999999999995,334.55267,463.07953,53.31769,32.0,1.0,1.0,98.945,334.5,99.0,49.0,21.376243479290277,,
5.0,33,377.0,337.26,441.46,54.040000000000006,334.99545,462.87637,53.427814,33.0,1.0,1.0,94.312,340.2,99.0,49.0,21.544462452750988,,
5.0,34,377.0,337.55,440.87,54.260000000000005,334.7011,462.2914,52.989845,34.0,1.0,1.0,81.828,327.8,99.0,49.0,21.647307058708837,,
