ID (CME),Track Length (CME),Track Coverage,Missing Time Points,Dino Data
1.0,99.0,97,"[14.0, 15.0]","339.0,1,74.0;461.0,71,71.0"
2.0,99.0,97,"[18.0, 20.0]","363.0,1,47.0;5310.0,46,59.0;7089.0,91,12.0;5310.0,92,59.0;7089.0,97,12.0"
3.0,99.0,98,[81.0],"374.0,1,80.0;8888.0,66,19.0;374.0,67,80.0;8888.0,68,19.0;374.0,71,80.0;4580.0,78,42.0;374.0,79,80.0;4580.0,80,42.0;9510.0,87,27.0;4580.0,89,42.0;8888.0,94,19.0;4580.0,96,42.0"
4.0,99.0,99,[],"412.0,1,21.0;451.0,22,78.0;452.0,77,75.0;451.0,78,78.0;452.0,90,75.0"
5.0,99.0,62,"[13.0, 15.0, 16.0, 17.0, 20.0, 21.0, 25.0, 27.0, 29.0, 31.0, 32.0, 33.0, 34.0, 35.0, 37.0, 38.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 74.0, 75.0, 76.0, 77.0, 78.0, 82.0, 88.0, 89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 99.0]","438.0,1,69.0;439.0,13,53.0;438.0,14,69.0;439.0,15,53.0;438.0,18,69.0;439.0,20,53.0;438.0,22,69.0;439.0,25,53.0;438.0,26,69.0;439.0,27,53.0;438.0,28,69.0;439.0,29,53.0;438.0,30,69.0;377.0,31,49.0;438.0,36,69.0;377.0,37,49.0;438.0,39,69.0;377.0,40,49.0;438.0,46,69.0;9467.0,65,21.0;438.0,66,69.0;9467.0,67,21.0;548.0,74,78.0;439.0,75,53.0;438.0,76,69.0;9467.0,79,21.0;438.0,82,69.0;9467.0,83,21.0;438.0,88,69.0;9467.0,96,21.0;438.0,99,69.0"
6.0,99.0,80,"[70.0, 73.0, 74.0, 75.0, 82.0, 83.0, 84.0, 85.0, 86.0, 87.0, 88.0, 89.0, 90.0, 94.0, 95.0, 96.0, 97.0, 98.0, 99.0]","476.0,1,63.0;440.0,4,22.0;456.0,7,68.0;440.0,8,22.0;456.0,19,68.0;440.0,25,22.0;456.0,28,68.0;410.0,70,59.0;456.0,71,68.0;476.0,73,63.0;429.0,74,76.0;476.0,75,63.0;456.0,76,68.0;429.0,82,76.0;3928.0,84,52.0;679.0,89,28.0;520.0,90,63.0;8440.0,91,15.0;520.0,94,63.0;3928.0,99,52.0"
7.0,99.0,99,[],"464.0,1,99.0"
8.0,99.0,96,"[1.0, 2.0, 5.0]","463.0,1,44.0;493.0,5,64.0;2125.0,14,53.0;493.0,17,64.0;2125.0,18,53.0;493.0,28,64.0;463.0,29,44.0;2125.0,33,53.0;463.0,34,44.0;2125.0,35,53.0;463.0,36,44.0;2125.0,40,53.0;6125.0,41,15.0;493.0,47,64.0;3308.0,65,17.0;10346.0,70,22.0;493.0,71,64.0;3308.0,72,17.0;493.0,73,64.0;3308.0,74,17.0;10346.0,78,22.0;3308.0,81,17.0;493.0,82,64.0;3308.0,84,17.0;10346.0,85,22.0;493.0,87,64.0;10346.0,95,22.0"
9.0,99.0,81,"[1.0, 9.0, 30.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 50.0, 51.0, 52.0]","512.0,1,16.0;476.0,6,63.0;512.0,9,16.0;476.0,10,63.0;512.0,13,16.0;476.0,14,63.0;564.0,36,53.0;4888.0,38,41.0;1736.0,45,46.0;4888.0,46,41.0;456.0,47,68.0;476.0,48,63.0;456.0,50,68.0;4888.0,51,41.0;1736.0,52,46.0;476.0,53,63.0;3928.0,77,52.0;8440.0,78,15.0;3928.0,80,52.0;8284.0,94,9.0;3928.0,95,52.0"
10.0,99.0,96,"[19.0, 31.0, 90.0]","544.0,1,65.0;2917.0,13,63.0;10924.0,71,29.0;12401.0,97,3.0;12439.0,98,2.0"
11.0,99.0,87,"[82.0, 83.0, 84.0, 85.0, 86.0, 87.0, 88.0, 89.0, 90.0, 91.0, 92.0, 94.0]","571.0,1,51.0;546.0,4,63.0;571.0,10,51.0;546.0,11,63.0;571.0,12,51.0;546.0,13,63.0;571.0,15,51.0;546.0,16,63.0;571.0,23,51.0;546.0,33,63.0;571.0,35,51.0;635.0,49,68.0;571.0,51,51.0;635.0,54,68.0;7185.0,58,32.0;635.0,64,68.0;7185.0,66,32.0;635.0,68,68.0;3303.0,86,66.0;12301.0,93,5.0;7185.0,94,32.0;12301.0,95,5.0;635.0,98,68.0;10345.0,99,7.0"
12.0,99.0,99,[],"583.0,1,99.0"
13.0,99.0,93,"[94.0, 95.0, 96.0, 97.0, 98.0, 99.0]","631.0,1,85.0;9473.0,69,19.0;631.0,77,85.0;9473.0,80,19.0;631.0,81,85.0;9473.0,86,19.0;631.0,87,85.0;9473.0,91,19.0;631.0,92,85.0;8291.0,94,16.0;526.0,95,80.0;400.0,96,78.0;1916.0,97,77.0;4806.0,98,49.0"
14.0,99.0,83,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 13.0, 14.0, 95.0, 96.0, 97.0]","661.0,1,70.0;691.0,2,94.0;661.0,6,70.0;2514.0,7,44.0;691.0,8,94.0;703.0,95,86.0;691.0,98,94.0"
15.0,99.0,98,[95.0],"617.0,1,56.0;1942.0,3,93.0;4164.0,20,15.0;1942.0,23,93.0;4164.0,27,15.0;1942.0,29,93.0"
16.0,99.0,99,[],"838.0,1,99.0"
18.0,99.0,84,"[34.0, 36.0, 47.0, 49.0, 50.0, 51.0, 56.0, 69.0, 70.0, 93.0, 94.0, 96.0, 97.0, 98.0, 99.0]","1234.0,1,89.0;1311.0,40,25.0;1234.0,42,89.0;3678.0,47,63.0;1234.0,48,89.0;3678.0,54,63.0;1234.0,68,89.0;3678.0,71,63.0;1234.0,79,89.0;6946.0,91,17.0"
19.0,99.0,94,"[43.0, 87.0, 92.0, 93.0, 94.0]","379.0,1,66.0;319.0,33,80.0;379.0,36,66.0;319.0,39,80.0;379.0,40,66.0;319.0,44,80.0;11655.0,86,22.0;319.0,87,80.0;11655.0,89,22.0;319.0,91,80.0;11655.0,93,22.0;319.0,94,80.0;12438.0,98,2.0"
20.0,99.0,98,[82.0],"504.0,1,44.0;567.0,41,35.0;516.0,45,71.0;523.0,82,39.0;516.0,83,71.0;607.0,84,70.0;523.0,97,39.0"
21.0,99.0,92,"[32.0, 40.0, 46.0, 47.0, 48.0, 49.0, 50.0]","340.0,1,36.0;2025.0,3,20.0;355.0,11,33.0;2025.0,12,20.0;355.0,23,33.0;282.0,32,66.0;355.0,33,33.0;279.0,40,48.0;340.0,41,36.0;279.0,46,48.0;340.0,51,36.0;3814.0,67,25.0;340.0,69,36.0;3814.0,71,25.0;801.0,72,39.0;3814.0,95,25.0"
27.0,99.0,94,"[85.0, 86.0, 87.0, 88.0, 89.0]","1154.0,1,72.0;1896.0,32,37.0;1029.0,33,41.0;1896.0,35,37.0;3807.0,50,27.0;1896.0,72,37.0;7787.0,74,24.0;3554.0,76,14.0;7787.0,77,24.0;7786.0,86,20.0;7787.0,87,24.0;10667.0,93,10.0"
30.0,99.0,32,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 32.0, 34.0, 46.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 62.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 78.0, 88.0, 89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0, 99.0]","673.0,1,15.0;608.0,12,60.0;2514.0,13,44.0;673.0,14,15.0;2514.0,16,44.0;3809.0,17,81.0;4257.0,20,9.0;3809.0,21,81.0;4257.0,23,9.0;3902.0,24,22.0;4584.0,25,4.0;3809.0,27,81.0;3902.0,30,22.0;726.0,43,37.0;3902.0,47,22.0;726.0,48,37.0;608.0,51,60.0;996.0,56,23.0;3272.0,57,15.0;726.0,58,37.0;608.0,62,60.0;726.0,63,37.0;8722.0,64,5.0;608.0,65,60.0;8722.0,66,5.0;2290.0,67,18.0;3605.0,70,8.0;608.0,71,60.0;1767.0,73,51.0;726.0,77,37.0;1767.0,78,51.0;726.0,79,37.0;794.0,88,65.0;1767.0,94,51.0"
31.0,99.0,94,"[6.0, 73.0, 74.0, 93.0, 99.0]","413.0,1,47.0;1710.0,19,77.0;413.0,20,47.0;392.0,21,96.0;2414.0,73,89.0;392.0,74,96.0;242.0,96,55.0;392.0,97,96.0;2100.0,99,76.0"
32.0,99.0,96,"[1.0, 4.0, 6.0]","522.0,1,56.0;536.0,3,41.0;522.0,5,56.0;536.0,38,41.0;483.0,61,99.0"
33.0,98.0,88,"[58.0, 59.0, 73.0, 74.0, 76.0, 78.0, 92.0, 96.0, 97.0, 98.0]","136.0,1,54.0;190.0,29,22.0;136.0,31,54.0;190.0,32,22.0;136.0,34,54.0;189.0,50,69.0;136.0,58,54.0;189.0,59,69.0;136.0,64,54.0;189.0,66,69.0;112.0,91,44.0;189.0,92,69.0;112.0,93,44.0;189.0,94,69.0;112.0,95,44.0;1917.0,96,48.0;190.0,98,22.0"
34.0,98.0,92,"[3.0, 4.0, 5.0, 57.0, 89.0, 98.0]","236.0,1,46.0;263.0,7,36.0;236.0,13,46.0;3447.0,24,67.0;236.0,30,46.0;3447.0,44,67.0;236.0,46,46.0;3447.0,48,67.0;263.0,49,36.0;3447.0,54,67.0;1927.0,85,29.0;12246.0,92,8.0"
35.0,98.0,72,"[2.0, 3.0, 6.0, 17.0, 26.0, 28.0, 43.0, 44.0, 47.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 84.0, 96.0, 97.0]","526.0,1,80.0;420.0,42,59.0;526.0,44,80.0;420.0,46,59.0;526.0,47,80.0;2125.0,64,53.0;526.0,67,80.0;2125.0,68,53.0;615.0,69,33.0;420.0,70,59.0;400.0,74,78.0;526.0,78,80.0;615.0,83,33.0;526.0,84,80.0;400.0,95,78.0;526.0,97,80.0"
37.0,97.0,52,"[5.0, 6.0, 7.0, 8.0, 9.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 59.0, 60.0, 61.0, 62.0, 63.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0, 80.0, 81.0, 82.0, 83.0, 84.0, 85.0, 86.0, 88.0, 90.0, 92.0]","1078.0,1,15.0;2261.0,3,18.0;1078.0,6,15.0;2261.0,13,18.0;2946.0,14,28.0;2261.0,36,18.0;1141.0,40,39.0;1306.0,46,27.0;2148.0,48,39.0;1035.0,50,18.0;2148.0,57,39.0;1167.0,58,57.0;2148.0,59,39.0;4132.0,60,46.0;2148.0,61,39.0;1315.0,63,29.0;2283.0,64,36.0;2260.0,65,49.0;1306.0,66,27.0;8070.0,67,2.0;2260.0,68,49.0;1035.0,69,18.0;2260.0,70,49.0;4132.0,71,46.0;2260.0,72,49.0;6604.0,74,10.0;1306.0,75,27.0;11602.0,76,9.0;1306.0,79,27.0;11490.0,80,10.0;11602.0,82,9.0;11490.0,83,10.0;11489.0,85,7.0;11602.0,86,9.0;7530.0,88,12.0;11602.0,89,9.0;7530.0,90,12.0;1035.0,92,18.0;2261.0,93,18.0;2148.0,94,39.0"
38.0,95.0,66,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 49.0, 50.0, 52.0, 54.0, 55.0, 56.0, 58.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0, 99.0]","537.0,1,56.0;634.0,3,34.0;2251.0,5,6.0;634.0,6,34.0;537.0,7,56.0;4575.0,45,32.0;537.0,47,56.0;4575.0,48,32.0;537.0,49,56.0;4575.0,50,32.0;499.0,51,69.0;698.0,52,31.0;537.0,53,56.0;499.0,54,69.0;537.0,55,56.0;427.0,56,60.0;9026.0,57,3.0;6125.0,60,15.0;10151.0,66,4.0;579.0,68,51.0;376.0,69,51.0;579.0,70,51.0;2518.0,73,71.0;376.0,87,51.0;634.0,88,34.0;816.0,89,48.0;634.0,91,34.0;376.0,92,51.0;10126.0,94,3.0"
39.0,94.0,79,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 38.0, 46.0, 47.0, 48.0]","1234.0,1,89.0;1216.0,2,38.0;3239.0,33,57.0;4667.0,81,27.0;10179.0,88,16.0"
40.0,93.0,89,"[87.0, 89.0, 90.0, 93.0]","606.0,1,52.0;2008.0,3,18.0;606.0,12,52.0;4754.0,25,43.0;606.0,26,52.0;4754.0,53,43.0;5426.0,87,51.0;4754.0,88,43.0;11821.0,90,20.0;4754.0,91,43.0;724.0,93,79.0"
41.0,93.0,89,"[7.0, 9.0, 11.0, 12.0]","285.0,1,97.0;2510.0,2,20.0;285.0,3,97.0;2624.0,6,12.0;285.0,7,97.0"
42.0,93.0,82,"[9.0, 11.0, 42.0, 43.0, 44.0, 46.0, 47.0, 48.0, 65.0, 69.0, 75.0]","799.0,1,41.0;671.0,3,49.0;799.0,4,41.0;671.0,36,49.0;799.0,39,41.0;671.0,40,49.0;5062.0,42,66.0;5311.0,43,35.0;5062.0,59,66.0;5311.0,60,35.0;9713.0,69,6.0;5311.0,70,35.0;6871.0,77,18.0"
43.0,92.0,89,"[8.0, 94.0, 96.0]","516.0,1,71.0;2415.0,2,92.0;516.0,87,71.0;607.0,91,70.0"
44.0,91.0,85,"[40.0, 66.0, 67.0, 68.0, 69.0, 70.0]","558.0,1,89.0;1730.0,60,48.0;558.0,61,89.0;550.0,67,84.0;558.0,68,89.0;550.0,70,84.0;558.0,71,89.0"
