ID (CME),t0,t,x (CME),y (CME),z (CME),FI (CME),TL (CME)
1,1,1,120.74,442.22,7.4851,14.831,117
1,1,2,120.44,441.94,7.4196,17.296,117
1,1,3,120.52,442.55,7.4614,19.837,117
1,1,4,120.56,442.83,8.0034,17.128,117
1,1,5,120.88,442.39,7.5896,15.228,117
1,1,6,120.93,443.12,7.7914,17.008,117
1,1,7,120.52,443.08,7.8497,16.283,117
1,1,8,120.38,442.92,8.0227,18.213,117
1,1,9,121.53,443.03,7.8542,15.074,117
1,1,10,120.62,442.91,7.9261,16.645,117
1,1,11,120.73,442.62,7.9196,15.289,117
1,1,12,121.24,442.41,7.7495,17.906,117
1,1,13,120.22,442.86,7.6516,17.02,117
1,1,14,120.28,442.3,8.0835,17.441,117
1,1,15,119.61,441.95,8.1465,13.035,117
1,1,16,120.3,442.66,7.6211,15.988,117
1,1,17,119.75,442.51,7.8074,16.23,117
1,1,18,119.8,441.99,7.297,19.985,117
1,1,19,120.4,442.04,7.9905,13.755,117
1,1,20,120.15,442.68,7.6203,16.751,117
1,1,21,120.53,441.61,7.7781,18.654,117
1,1,22,120.03,442.36,7.6108,15.668,117
1,1,23,119.86,442.65,7.9121,11.997,117
1,1,24,120.56,441.87,7.7586,17.063,117
1,1,25,119.96,442.38,8.0522,14.23,117
1,1,26,120.62,442.37,8.057,18.194,117
1,1,27,120.87,442.26,8.048,11.55,117
1,1,28,120.03,442.4,7.9018,13.106,117
1,1,29,120.28,441.68,8.237,13.656,117
1,1,30,120.07,442.17,8.0432,10.025,117
1,1,31,120.17,442.08,8.1527,16.459,117
1,1,32,120.53,443.16,8.0163,14.066,117
1,1,33,120.28,441.92,8.2152,10.743,117
1,1,34,119.99,443.49,8.3994,13.846,117
1,1,35,120.09,442.03,8.1674,14.178,117
1,1,36,119.92,442.23,8.1575,13.21,117
1,1,37,120.19,442.37,7.8977,19.743,117
1,1,38,120.64,441.18,8.5497,10.963,117
1,1,39,119.79,441.53,8.2575,12.822,117
1,1,40,120.18,441.88,8.6321,15.351,117
1,1,41,120.45,441.29,7.5749,13.021,117
1,1,42,119.46,442.21,8.5168,15.548,117
1,1,43,120.16,441.83,8.4047,11.867,117
1,1,44,120.58,441.31,8.5458,19.961,117
1,1,45,120.39,440.71,8.4313,13.588,117
1,1,46,120.05,441.82,8.2908,10.691,117
1,1,47,119.77,442.03,8.3268,10.245,117
1,1,48,119.91,441.43,8.1376,12.383,117
1,1,49,119.05,441.38,7.9734,10.706,117
1,1,50,119.23,441.38,8.1073,13.336,117
1,1,51,119.61,441.64,8.3892,17.2,117
1,1,52,120.7,441.45,8.5545,43.804,117
1,1,53,119.92,441.96,7.9692,10.117,117
1,1,54,119.87,442.29,8.3034,7.7054,117
1,1,55,119.6,441.48,8.1605,12.832,117
1,1,56,119.63,441.1,8.3214,10.455,117
1,1,57,119.79,441.15,8.0141,10.831,117
1,1,58,119.56,440.89,7.92,10.933,117
1,1,59,120.93,438.66,6.7973,45.782,117
1,1,60,120.35,441.05,8.2647,12.559,117
1,1,61,119.42,441.61,8.2141,17.403,117
1,1,62,119.83,441.8,8.2057,12.049,117
1,1,63,119.48,440.71,8.132,11.019,117
1,1,64,119.37,440.5,8.06,9.1615,117
1,1,65,120.26,441.53,8.4506,13.389,117
1,1,66,121.01,440.76,8.1147,8.4131,117
1,1,67,119.6,441.65,8.3407,11.213,117
1,1,68,119.5,441.33,8.6718,11.711,117
1,1,69,119.54,442.05,8.4369,10.111,117
1,1,70,119.2,440.37,8.0266,10.531,117
1,1,71,119.5,440.85,8.403,12.353,117
1,1,72,119.67,441.22,8.6579,16.267,117
1,1,73,120.04,441.57,8.3492,11.696,117
1,1,74,119.6,441.96,8.3925,15.698,117
1,1,75,119.98,440.06,8.5614,9.5477,117
1,1,76,119.89,441.4,8.4876,9.8135,117
1,1,77,119.59,441.55,8.3348,9.8611,117
1,1,78,120.42,440.98,8.5079,13.231,117
1,1,79,119.47,440.91,8.4951,11.079,117
1,1,80,119.67,441.81,8.2705,10.1,117
1,1,81,119.4,441.39,8.6478,8.2612,117
1,1,82,119.81,441.41,8.5739,11.092,117
1,1,83,119.84,441.0,8.3664,7.0733,117
1,1,84,119.74,440.26,8.6711,8.4542,117
1,1,85,119.46,440.83,7.8453,10.297,117
1,1,86,118.86,440.85,8.6601,13.269,117
1,1,87,119.18,440.82,8.8113,9.5429,117
1,1,88,119.49,441.09,8.4386,11.122,117
1,1,89,119.91,440.9,8.7299,11.122,117
1,1,90,119.75,441.49,8.5585,11.301,117
1,1,91,119.47,440.67,8.4241,10.034,117
1,1,92,119.97,441.08,9.1053,10.756,117
1,1,93,119.74,440.74,8.6158,7.883,117
1,1,94,119.55,440.84,8.5586,8.4532,117
1,1,95,119.09,441.84,8.3151,8.6146,117
1,1,96,119.32,440.81,8.6342,11.625,117
1,1,97,119.77,440.79,8.5651,10.24,117
1,1,98,119.84,440.92,8.7804,10.926,117
1,1,99,119.34,440.37,8.7072,9.7704,117
1,1,100,118.81,440.76,8.4615,9.4794,117
1,1,101,119.56,440.91,8.4954,12.067,117
1,1,102,119.3,441.26,8.5622,11.294,117
1,1,103,119.87,440.22,8.6942,5.5151,117
1,1,104,118.86,441.23,8.2331,7.3401,117
1,1,105,119.38,441.06,8.8228,8.2664,117
1,1,106,119.62,440.33,8.5376,11.206,117
1,1,107,119.3,440.16,9.0178,9.884,117
1,1,108,119.19,441.51,8.668,11.144,117
1,1,109,119.41,440.05,8.289,9.8915,117
1,1,110,119.38,440.48,8.3198,8.7646,117
1,1,111,119.49,440.59,8.6982,11.466,117
1,1,112,119.49,440.29,8.8531,8.299,117
1,1,113,119.01,440.5,8.7143,6.4014,117
1,1,114,119.28,440.31,8.6561,7.7882,117
1,1,115,119.57,440.64,8.6888,6.1828,117
1,1,116,119.27,441.46,8.5309,10.503,117
1,1,117,119.74,440.6,8.6851,6.5112,117
2,1,1,133.45,164.51,10.86,48.66,117
2,1,2,133.71,164.26,10.84,60.547,117
2,1,3,133.9,164.19,10.877,43.172,117
2,1,4,133.72,164.51,10.719,42.982,117
2,1,5,133.7,164.03,10.884,38.519,117
2,1,6,133.72,164.49,10.947,34.641,117
2,1,7,133.58,164.27,10.849,42.499,117
2,1,8,133.51,164.29,11.001,46.576,117
2,1,9,133.44,164.54,10.752,41.629,117
2,1,10,133.67,164.19,10.93,45.708,117
2,1,11,133.67,164.34,10.958,42.422,117
2,1,12,133.88,164.12,10.669,35.92,117
2,1,13,133.18,164.49,11.238,36.613,117
2,1,14,133.14,163.41,11.05,43.417,117
2,1,15,133.39,164.0,11.043,35.186,117
2,1,16,133.08,164.21,11.004,35.52,117
2,1,17,133.3,164.11,10.72,41.066,117
2,1,18,133.02,164.05,10.99,40.354,117
2,1,19,133.06,163.98,11.062,30.967,117
2,1,20,133.13,163.86,11.049,38.255,117
2,1,21,133.62,164.16,11.292,31.095,117
2,1,22,133.25,163.97,11.018,37.974,117
2,1,23,133.51,163.44,11.22,39.037,117
2,1,24,133.01,163.93,10.994,40.323,117
2,1,25,133.26,163.96,11.045,39.607,117
2,1,26,133.11,163.78,10.971,41.919,117
2,1,27,133.41,163.83,11.126,30.912,117
2,1,28,133.08,164.07,11.095,40.516,117
2,1,29,133.19,164.07,11.12,39.362,117
2,1,30,133.37,163.84,10.972,37.361,117
2,1,31,132.76,163.57,10.878,36.7,117
2,1,32,133.05,164.43,11.247,38.647,117
2,1,33,132.73,163.91,11.386,34.342,117
2,1,34,133.11,163.88,11.272,40.25,117
2,1,35,132.76,163.48,11.111,32.209,117
2,1,36,133.29,163.59,11.319,37.613,117
2,1,37,133.38,164.04,11.035,31.313,117
2,1,38,132.91,163.29,11.023,30.906,117
2,1,39,133.46,163.5,11.453,30.942,117
2,1,40,133.76,163.93,11.228,30.455,117
2,1,41,132.69,163.35,11.398,29.565,117
2,1,42,133.24,163.94,11.455,40.496,117
2,1,43,133.32,163.59,11.323,42.536,117
2,1,44,132.64,163.69,11.2,31.025,117
2,1,45,133.11,163.31,11.258,28.815,117
2,1,46,132.31,163.78,11.391,30.235,117
2,1,47,132.84,163.77,11.371,31.134,117
2,1,48,132.81,163.33,11.191,33.654,117
2,1,49,132.45,163.62,11.021,34.577,117
2,1,50,132.67,163.69,11.266,26.117,117
2,1,51,132.31,163.41,11.314,30.192,117
2,1,52,132.69,163.22,11.397,28.924,117
2,1,53,132.88,163.73,11.069,26.878,117
2,1,54,132.75,164.14,11.24,26.49,117
2,1,55,133.21,163.59,10.799,36.36,117
2,1,56,132.69,162.73,11.217,26.359,117
2,1,57,132.38,162.97,11.059,38.936,117
2,1,58,132.57,163.41,10.962,27.979,117
2,1,59,133.0,163.17,11.121,23.475,117
2,1,60,132.6,163.74,11.246,27.848,117
2,1,61,132.53,163.28,11.371,27.152,117
2,1,62,133.13,163.2,11.367,20.886,117
2,1,63,132.95,163.03,11.394,24.597,117
2,1,64,132.72,163.06,11.33,28.376,117
2,1,65,132.82,163.38,11.445,29.43,117
2,1,66,132.75,162.93,11.489,25.533,117
2,1,67,132.72,163.43,11.516,27.687,117
2,1,68,132.65,162.88,11.465,34.198,117
2,1,69,132.42,163.63,11.256,23.175,117
2,1,70,132.31,162.2,11.277,24.406,117
2,1,71,132.54,163.52,11.54,22.82,117
2,1,72,132.7,162.87,11.442,25.475,117
2,1,73,132.53,163.46,11.414,18.934,117
2,1,74,132.63,163.35,11.552,26.971,117
2,1,75,132.56,163.14,11.51,24.011,117
2,1,76,132.3,162.86,11.453,23.022,117
2,1,77,132.59,163.17,11.446,24.123,117
2,1,78,132.62,162.29,11.792,26.086,117
2,1,79,132.16,162.66,11.547,24.695,117
2,1,80,132.56,163.12,11.41,23.54,117
2,1,81,131.69,163.11,11.397,21.785,117
2,1,82,132.55,163.58,11.63,31.019,117
2,1,83,132.18,162.92,11.438,21.664,117
2,1,84,132.44,162.82,11.733,26.289,117
2,1,85,131.65,163.02,11.406,21.934,117
2,1,86,132.47,162.59,11.781,26.487,117
2,1,87,132.41,163.1,11.782,26.978,117
2,1,88,132.29,162.58,11.795,29.534,117
2,1,89,132.02,162.87,11.56,27.166,117
2,1,90,132.09,163.14,11.732,25.485,117
2,1,91,132.28,162.84,11.638,22.798,117
2,1,92,132.27,162.98,11.893,21.037,117
2,1,93,132.05,162.51,11.665,22.932,117
2,1,94,132.39,162.32,11.608,21.772,117
2,1,95,132.01,162.71,11.528,26.416,117
2,1,96,132.72,162.62,11.943,17.133,117
2,1,97,132.14,162.48,11.522,24.867,117
2,1,98,131.9,162.42,11.693,26.683,117
2,1,99,132.1,162.45,11.79,23.188,117
2,1,100,132.39,162.27,12.013,29.02,117
2,1,101,132.35,162.85,11.971,23.621,117
2,1,102,132.62,162.64,11.949,28.275,117
2,1,103,132.05,162.58,11.758,20.73,117
2,1,104,131.49,163.33,11.357,20.915,117
