ID (Dino),Track Length (Dino),Track Coverage,Missing Time Points,CME Data
0.0,2.0,1,"[1.0, 5.0, 56.0, 57.0]","9456.0,1,17.786733506433915;6600.0,2,14.038631141428136;10001.0,3,1.3508457232415487;280.0,4,3.621033887413944"
1.0,55.0,24,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 56.0, 57.0, 58.0, 59.0, 60.0, 67.0, 68.0, 69.0, 77.0, 78.0, 79.0, 80.0, 83.0, 84.0]","285.0,1,16.582273181636264;4046.0,13,15.399251843408594;285.0,19,1.8700292798584857;3015.0,43,17.168512764294316;4192.0,45,10.010203152189463;1273.0,48,17.496761137207773;1027.0,50,7.59155399528344;7137.0,54,21.64686882134953"
2.0,23.0,0,"[1.0, 36.0, 37.0, 38.0, 44.0, 46.0, 50.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0, 62.0, 63.0, 64.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0, 80.0, 81.0, 82.0]","1572.0,1,30.900384144854257;2753.0,2,27.474218693248314;38.0,5,26.19395983504856;2408.0,8,22.046401143376425;2584.0,14,20.079704862332623;2408.0,19,23.593844853015916;814.0,21,20.11427259178705;2408.0,23,20.537117949346825;2584.0,24,20.46477579027012;2836.0,26,18.904314018778354"
3.0,73.0,0,"[1.0, 2.0, 3.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 73.0, 74.0, 75.0, 77.0, 78.0, 79.0, 80.0, 81.0, 84.0]","126.0,1,30.75692565169887;5896.0,4,28.64353792820878;126.0,5,28.83393016927193;132.0,26,29.627064815401678;126.0,27,29.058392441902026;390.0,68,20.45983934191132;4678.0,71,17.22731287566599;390.0,75,23.13516353670532"
4.0,6.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 11.0]","5896.0,1,28.68204997087904;1793.0,7,30.517347562972468;126.0,9,23.95326012607921"
5.0,8.0,5,"[1.0, 2.0, 3.0, 19.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 53.0]","4777.0,1,18.84104164915498;349.0,9,13.105339461335513;131.0,35,35.70233742872664"
6.0,51.0,0,"[1.0, 19.0, 20.0, 22.0, 23.0, 25.0, 26.0, 27.0, 31.0, 32.0, 34.0, 36.0]","349.0,1,16.984896918637045"
7.0,6.0,0,"[1.0, 48.0, 49.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 60.0, 61.0, 62.0, 63.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 74.0]","5928.0,1,37.48981572784525;236.0,2,17.324689118247566;3849.0,14,4.70464128209624;236.0,23,26.585779625177985"
8.0,6.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 14.0, 16.0, 17.0, 18.0, 19.0, 20.0, 69.0, 73.0, 74.0]","5901.0,1,43.879052997167456;7381.0,4,41.273772810600526;2705.0,6,38.34884371876193;6033.0,8,31.836851729985952;3849.0,12,7.129023538361951;236.0,13,19.81420356334624"
9.0,16.0,0,"[1.0, 2.0, 7.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 34.0, 37.0, 38.0, 58.0, 59.0, 60.0, 61.0]","2475.0,1,33.96235514476528;8756.0,10,48.77063729759191;4955.0,11,50.01843577769362;9969.0,12,46.78062470302819;875.0,13,30.90956400052553;1005.0,15,32.70013591007321"
10.0,16.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]","2475.0,1,37.884192138146034;361.0,8,37.64347417626127;2475.0,9,37.92133693238191;361.0,10,37.35255718884841;7487.0,13,31.300615510293365"
11.0,4.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 54.0, 56.0, 63.0, 66.0, 68.0, 69.0, 73.0]","7351.0,1,28.777879561415403;4003.0,5,34.275969866545545;377.0,13,39.90817259718861;6039.0,18,40.52141144860113;377.0,19,39.34399486306044;445.0,25,28.249933984060853;1636.0,27,24.0266908897758"
12.0,4.0,0,"[1.0, 2.0, 7.0, 8.0, 9.0, 11.0, 14.0, 17.0, 18.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 47.0, 48.0, 49.0, 58.0, 60.0, 62.0, 63.0, 83.0, 91.0, 93.0, 94.0, 97.0, 98.0, 99.0]","7351.0,1,37.52790785714445;377.0,3,46.84717854788679;1095.0,13,33.55125406584762;377.0,14,33.89838603155833;6842.0,20,33.60717910167525;762.0,22,28.806465244674392;1651.0,37,27.999245834501583;2881.0,38,14.545382887888517"
13.0,4.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 58.0]","7351.0,1,30.66836984549452;4003.0,5,41.262742229060144;377.0,6,41.02008092719975;6842.0,35,39.75906452578007;762.0,37,37.758184344654"
