ID (Dino),Missing Time Points,ID (CME),x (Dino),y (Dino),z (Dino),x (CME),y (CME),z (CME),t,t_start (Dino),FI (Dino),FI (CME),Track Length (Dino),Track Length (CME),Distance,Multi ID (CME),Multi Distance (CME)
0.0,1,9456.0,442.5552,352.93335,96.21892,460.02,352.45,92.885,1.0,1.0,170.4,100.83,5.0,2.0,17.786733506433915,,
0.0,5,6600.0,445.84595,348.44888,97.112724,453.93,350.48,108.409,5.0,1.0,167.0,69.313,5.0,5.0,14.038631141428136,,
0.0,56,280.0,452.98633,307.15115,90.74632,454.31,308.47,93.848,56.0,1.0,261.8,164.18,5.0,56.0,3.621033887413944,,
0.0,57,280.0,452.7665,307.4814,89.85786,454.26,308.98,93.596,57.0,1.0,252.5,163.1,5.0,56.0,4.295350377978494,,
1.0,1,285.0,261.47263,63.179287,2.6177952,275.92,61.112,10.490000000000007,1.0,1.0,344.5,715.04,56.0,55.0,16.582273181636264,,
1.0,2,285.0,262.043,63.38324,4.7283025,276.79,61.403,10.569999999999991,2.0,1.0,265.5,741.29,56.0,55.0,15.985017645880363,,
1.0,3,285.0,262.08405,63.427643,4.6668363,277.28,61.328,10.53,3.0,1.0,276.0,674.06,56.0,55.0,16.42260897978595,,
1.0,4,285.0,262.86887,64.18929,4.7944646,277.86,61.313,10.110000000000014,4.0,1.0,271.2,691.39,56.0,55.0,16.16359921025182,,
1.0,5,285.0,263.41956,64.59562,4.6792207,278.96,61.557,10.789999999999992,5.0,1.0,271.5,528.29,56.0,55.0,16.97292286411825,,
1.0,6,285.0,263.53854,64.34883,4.9101853,278.95,61.86,11.03,6.0,1.0,279.2,493.75,56.0,55.0,16.76781160625427,,
1.0,7,285.0,263.28485,64.969025,4.6976438,278.24,61.918,10.900000000000006,7.0,1.0,282.0,415.41,56.0,55.0,16.475268966083792,,
1.0,8,285.0,263.82785,66.51472,4.475048,279.03,62.404,11.439999999999998,8.0,1.0,264.0,395.29,56.0,55.0,17.219580131443468,,
1.0,9,285.0,264.3949,66.85811,4.722198,279.01,63.004,11.610000000000014,9.0,1.0,274.5,365.44,56.0,55.0,16.610151362745125,,
1.0,10,285.0,264.27484,66.45739,4.6218224,278.98,62.457,11.72,10.0,1.0,296.2,403.94,56.0,55.0,16.811572681306256,,
1.0,11,285.0,264.62863,66.149635,4.5816383,279.0,62.226,11.169999999999987,11.0,1.0,293.2,391.18,56.0,55.0,16.289189580213993,,
1.0,12,285.0,264.48932,65.98754,4.5819287,279.23,61.829,11.849999999999994,12.0,1.0,313.0,411.53,56.0,55.0,16.953051708051962,,
1.0,13,4046.0,264.57162,66.68879,4.5988703,279.16,68.239,9.28,13.0,1.0,305.5,138.93,56.0,10.0,15.399251843408594,,
1.0,14,4046.0,265.3289,66.440125,4.841294,277.66,70.316,8.879999999999995,14.0,1.0,324.2,126.82,56.0,10.0,13.54214090829298,,
1.0,15,4046.0,265.36215,67.007324,4.684281,277.03,70.604,8.599999999999994,15.0,1.0,333.0,125.78,56.0,10.0,12.822154934270474,,
1.0,16,4046.0,265.47177,66.53806,4.8293223,276.81,70.433,8.610000000000014,16.0,1.0,329.8,156.1,56.0,10.0,12.570582365498332,,
