ID (Dino),Track Length (Dino),Track Coverage,Missing Time Points,CME Data
0.0,5.0,0,"[1.0, 5.0, 41.0, 56.0, 57.0]","5573.0,1,2.0;472.0,2,36.0;672.0,3,29.0;222.0,4,52.0"
1.0,56.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 67.0, 68.0, 69.0, 77.0, 78.0, 79.0, 80.0, 83.0, 84.0]","616.0,1,30.0;4356.0,7,4.0;616.0,11,30.0;5808.0,19,2.0;1402.0,20,17.0;1514.0,24,16.0;2270.0,27,11.0;480.0,38,36.0;2086.0,41,12.0;480.0,42,36.0;532.0,45,34.0;939.0,51,24.0"
2.0,37.0,0,"[1.0, 36.0, 37.0, 38.0, 44.0, 46.0, 50.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0, 62.0, 63.0, 64.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0, 80.0, 81.0, 82.0]","4280.0,1,4.0;131.0,2,64.0;3697.0,22,6.0;131.0,28,64.0"
3.0,75.0,0,"[1.0, 2.0, 3.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 73.0, 74.0, 75.0, 77.0, 78.0, 79.0, 80.0, 81.0, 84.0]","152.0,1,61.0;2323.0,60,11.0;5317.0,62,3.0;2323.0,65,11.0;2135.0,70,12.0;2778.0,75,9.0"
4.0,9.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 11.0]","152.0,1,61.0"
5.0,35.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 19.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 53.0]","4885.0,1,3.0;3109.0,4,7.0;3878.0,5,5.0;204.0,9,54.0;2659.0,10,9.0;204.0,14,54.0;975.0,18,23.0;5906.0,29,2.0;975.0,31,23.0"
6.0,12.0,0,"[1.0, 19.0, 20.0, 22.0, 23.0, 25.0, 26.0, 27.0, 31.0, 32.0, 34.0, 36.0]","2186.0,1,11.0;204.0,2,54.0;5059.0,3,3.0;2659.0,4,9.0;204.0,9,54.0;975.0,12,23.0"
7.0,23.0,0,"[1.0, 48.0, 49.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 60.0, 61.0, 62.0, 63.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 74.0]","4282.0,1,4.0;3265.0,2,7.0;72.0,3,78.0;268.0,5,48.0"
8.0,14.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 14.0, 16.0, 17.0, 18.0, 19.0, 20.0, 69.0, 73.0, 74.0]","4926.0,1,3.0;4290.0,4,4.0;3837.0,5,5.0;265.0,6,48.0;3173.0,7,7.0;268.0,12,48.0"
9.0,16.0,0,"[1.0, 2.0, 7.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 34.0, 37.0, 38.0, 58.0, 59.0, 60.0, 61.0]","72.0,1,78.0;268.0,13,48.0"
