ID (Dino),Missing Time Points,ID (CME),x (Dino),y (Dino),z (Dino),x (CME),y (CME),z (CME),t,t_start (Dino),t_start (Dino).1,FI (Dino),FI (CME),Track Length (Dino),Track Length (CME),Distance,Multi ID (CME),Multi Distance (CME)
0.0,1,5573.0,442.5552,352.93335,96.21892,458.53,353.38,90.863,1.0,1.0,1.0,170.4,75.586,5.0,2.0,16.854661382208146,,
0.0,5,472.0,445.84595,348.44888,97.112724,461.61,360.44,97.431,5.0,1.0,1.0,167.0,155.85,5.0,36.0,19.808925535451852,,
0.0,41,672.0,458.92804,333.30392,96.3056,457.78,328.48,104.617,41.0,1.0,1.0,249.1,94.555,5.0,29.0,9.678200760885264,,
0.0,56,222.0,452.98633,307.15115,90.74632,455.13,311.93,97.655,56.0,1.0,1.0,261.8,154.8,5.0,52.0,8.669635963164792,,
0.0,57,222.0,452.7665,307.4814,89.85786,455.2,313.01,97.774,57.0,1.0,1.0,252.5,168.57,5.0,52.0,9.957540495001751,,
1.0,1,616.0,261.47263,63.179287,2.6177952,289.42,36.499,15.659999999999997,1.0,1.0,1.0,344.5,152.49,56.0,30.0,40.7798027259134,,
1.0,2,616.0,262.043,63.38324,4.7283025,290.12,36.79,14.52000000000001,2.0,1.0,1.0,265.5,122.83,56.0,30.0,39.892301044551274,,
1.0,3,616.0,262.08405,63.427643,4.6668363,289.98,37.381,14.259999999999993,3.0,1.0,1.0,276.0,114.86,56.0,30.0,39.352768997199526,,
1.0,4,616.0,262.86887,64.18929,4.7944646,289.26,38.929,13.97,4.0,1.0,1.0,271.2,149.4,56.0,30.0,37.666489661735824,,
1.0,5,616.0,263.41956,64.59562,4.6792207,290.41,39.602,14.800000000000011,5.0,1.0,1.0,271.5,161.83,56.0,30.0,38.15226160710936,,
1.0,6,616.0,263.53854,64.34883,4.9101853,291.2,39.197,15.389999999999986,6.0,1.0,1.0,279.2,194.28,56.0,30.0,38.82779208024627,,
1.0,7,4356.0,263.28485,64.969025,4.6976438,289.36,69.189,13.78,7.0,1.0,1.0,282.0,169.0,56.0,4.0,27.93225430692632,,
1.0,8,4356.0,263.82785,66.51472,4.475048,289.75,69.934,14.310000000000002,8.0,1.0,1.0,264.0,189.53,56.0,4.0,27.93520390445009,,
1.0,9,4356.0,264.3949,66.85811,4.722198,288.77,70.608,14.449999999999989,9.0,1.0,1.0,274.5,201.87,56.0,4.0,26.511078943967984,,
1.0,10,4356.0,264.27484,66.45739,4.6218224,288.95,70.564,14.47,10.0,1.0,1.0,296.2,195.62,56.0,4.0,26.883347424731948,,
1.0,11,616.0,264.62863,66.149635,4.5816383,292.16,40.848,15.650000000000006,11.0,1.0,1.0,293.2,188.39,56.0,30.0,38.99561127193872,,
1.0,12,616.0,264.48932,65.98754,4.5819287,292.62,41.122,15.930000000000009,12.0,1.0,1.0,313.0,196.53,56.0,30.0,39.22255676245345,,
1.0,13,616.0,264.57162,66.68879,4.5988703,292.27,42.309,16.039999999999992,13.0,1.0,1.0,305.5,187.68,56.0,30.0,38.63254928011768,,
1.0,14,616.0,265.3289,66.440125,4.841294,292.53,42.622,15.930000000000009,14.0,1.0,1.0,324.2,192.98,56.0,30.0,37.81748696674675,,
1.0,15,616.0,265.36215,67.007324,4.684281,292.72,42.591,15.800000000000011,15.0,1.0,1.0,333.0,138.54,56.0,30.0,38.316681004262875,,
1.0,16,616.0,265.47177,66.53806,4.8293223,294.17,43.776,17.25999999999999,16.0,1.0,1.0,329.8,66.478,56.0,30.0,38.681022849166986,,
1.0,17,616.0,265.80704,67.39828,4.812755,293.93,43.613,16.620000000000005,17.0,1.0,1.0,338.8,80.046,56.0,30.0,38.67882441763228,,
1.0,18,616.0,264.35712,64.54216,4.1069026,293.76,44.164,16.210000000000008,18.0,1.0,1.0,279.8,86.517,56.0,30.0,37.76617168781985,,
1.0,32,5808.0,280.0702,61.009342,11.607758,292.66,52.96,16.319999999999993,32.0,1.0,1.0,329.0,67.661,56.0,2.0,15.668445849525998,,
1.0,33,1402.0,280.19766,61.087414,11.566052,299.22,65.447,21.080000000000013,33.0,1.0,1.0,302.8,76.209,56.0,17.0,21.711071270522368,,
1.0,34,1402.0,279.76837,61.259567,11.5637665,299.9,65.65,21.78,34.0,1.0,1.0,285.8,84.618,56.0,17.0,22.99847506490181,,
1.0,35,1402.0,280.04553,60.996967,11.375008,300.14,66.392,21.419999999999987,35.0,1.0,1.0,283.0,84.28,56.0,17.0,23.10402497254651,,
1.0,36,1402.0,279.69705,61.61347,11.3652115,300.7,69.486,19.81,36.0,1.0,1.0,285.5,41.45,56.0,17.0,23.96695829914869,,
1.0,37,1514.0,279.75662,61.815018,11.723784,291.58,36.672,14.97,37.0,1.0,1.0,289.5,116.18,56.0,16.0,27.973229829452656,,
1.0,38,1514.0,280.50714,61.867775,11.625292,292.37,37.679,14.849999999999994,38.0,1.0,1.0,278.8,93.01,56.0,16.0,27.13343002765204,,
1.0,39,1514.0,280.29242,61.69336,11.740517,291.91,38.259,15.080000000000013,39.0,1.0,1.0,278.8,98.299,56.0,16.0,26.368343527292147,,
1.0,40,2270.0,280.59317,61.99591,11.822853,291.06,60.086,13.77000000000001,40.0,1.0,1.0,275.5,40.558,56.0,11.0,10.816361120848796,,
1.0,41,2270.0,280.46964,62.02888,12.014642,292.27,61.01,14.240000000000007,41.0,1.0,1.0,262.5,34.894,56.0,11.0,12.05150740829391,,
1.0,42,2270.0,280.36978,61.967514,11.788206,292.41,61.61,13.610000000000014,42.0,1.0,1.0,257.8,35.504,56.0,11.0,12.182513996997208,,
1.0,43,2270.0,280.355,61.923656,11.9300375,292.48,62.425,13.830000000000013,43.0,1.0,1.0,261.5,41.601,56.0,11.0,12.283192919910617,,
1.0,44,2270.0,280.3003,61.757523,12.10268,292.56,63.24,14.050000000000011,44.0,1.0,1.0,252.1,47.802,56.0,11.0,12.501601390539106,,
1.0,45,2270.0,280.1867,61.755657,11.77105,291.47,63.805,13.120000000000005,45.0,1.0,1.0,255.1,50.554,56.0,11.0,11.5469620127612,,
1.0,46,2270.0,280.60583,61.37206,11.687279,293.23,65.088,14.310000000000002,46.0,1.0,1.0,252.5,46.737,56.0,11.0,13.418514959426052,,
1.0,47,2270.0,278.81192,61.20063,11.14441,295.0,66.372,15.490000000000007,47.0,1.0,1.0,251.4,57.181,56.0,11.0,17.54084246013858,,
