,0,1,2,3
0,1,360,2.50,1.0
1,1,360,1.77,2.0
2,1,360,1.80,3.0
3,1,360,1.43,4.0
4,1,360,1.24,5.0
5,1,360,1.41,6.0
6,1,360,1.33,7.0
7,1,360,1.94,8.0
8,1,360,2.00,9.0
9,1,360,1.94,10.0
10,1,360,1.83,11.0
11,1,360,2.27,12.0
12,1,360,2.65,13.0
13,1,"360,375","3.95,4.36",14.0
14,1,360,3.66,15.0
15,1,360,2.17,16.0
16,1,360,2.30,17.0
17,1,360,1.96,18.0
18,1,360,1.96,19.0
19,1,360,2.14,20.0
20,1,360,1.83,21.0
21,1,360,1.75,22.0
22,1,360,1.56,23.0
23,1,360,1.80,24.0
24,1,360,1.64,25.0
25,1,360,1.75,26.0
26,1,360,1.74,27.0
27,1,360,1.61,28.0
28,1,360,1.62,29.0
29,1,360,1.71,30.0
30,1,360,1.66,31.0
31,1,360,1.53,32.0
32,1,360,1.57,33.0
33,1,360,1.46,34.0
34,1,360,1.49,35.0
35,1,360,1.45,36.0
36,1,360,1.63,37.0
37,1,360,1.60,38.0
38,1,360,1.64,39.0
39,1,360,1.74,40.0
40,1,360,1.65,41.0
41,1,360,1.72,42.0
42,1,360,1.70,43.0
43,1,360,1.66,44.0
44,1,360,1.69,45.0
45,1,360,1.62,46.0
46,1,360,1.62,47.0
47,1,360,1.51,48.0
48,1,360,1.48,49.0
49,1,360,1.56,50.0
50,1,360,1.53,51.0
51,1,360,1.62,52.0
52,1,360,1.56,53.0
53,1,360,1.59,54.0
54,1,360,1.68,55.0
55,1,360,1.65,56.0
56,1,360,1.75,57.0
57,1,360,1.56,58.0
58,1,360,1.59,59.0
59,1,360,1.67,60.0
60,1,360,1.77,61.0
61,1,360,1.78,62.0
62,1,360,1.69,63.0
63,1,360,1.83,64.0
64,1,360,1.75,65.0
65,1,360,1.71,66.0
66,1,360,1.69,67.0
67,1,360,1.54,68.0
68,1,360,1.55,69.0
69,1,360,2.31,70.0
70,1,28476,0.75,71.0
71,1,28476,1.92,72.0
72,1,28476,1.82,73.0
73,1,28476,1.99,74.0
74,1,28476,1.80,75.0
75,1,28476,1.93,76.0
76,1,28476,2.13,77.0
77,1,28476,2.15,78.0
78,1,28476,2.03,79.0
79,1,28476,2.08,80.0
80,1,28476,1.99,81.0
81,1,28476,1.98,82.0
82,1,28476,2.46,83.0
