,ID (Dino),ID (CME),Track Length (Dino),Track Length (CME),True Match
0,[126.0],[2391.0],[10.0],[10.0],True
1,[156.0],[33.0],[29.0],[98.0],False
2,[166.0],[3827.0],[5.0],[5.0],True
3,[167.0],[2183.0],[11.0],[11.0],True
4,[170.0],[3108.0],[7.0],[7.0],True
5,[192.0],[152.0],[35.0],[61.0],False
6,[195.0],[4281.0],[1.0],[4.0],False
7,[203.0],[1070.0],[15.0],[21.0],False
8,[215.0],[1001.0],[22.0],[22.0],True
9,[221.0],[1703.0],[14.0],[14.0],True
10,[250.0],[3830.0],[5.0],[5.0],True
11,[261.0],[2187.0],[9.0],[11.0],False
12,[272.0],[4284.0],[4.0],[4.0],True
13,[281.0],[2619.0],[6.0],[9.0],False
14,[287.0],[408.0],[9.0],[39.0],False
15,[299.0],[3469.0],[6.0],[6.0],True
16,[308.0],[3109.0],[6.0],[7.0],False
17,[325.0],[2394.0],[10.0],[10.0],True
18,[328.0],[1577.0],[8.0],[15.0],False
19,[352.0],[221.0],[7.0],[52.0],False
20,[363.0],[4286.0],[4.0],[4.0],True
21,[365.0],[563.0],[32.0],[32.0],True
22,[368.0],[200.0],[34.0],[54.0],False
23,[370.0],[350.0],[13.0],[42.0],False
24,[386.0],[3835.0],[5.0],[5.0],True
25,[387.0],[1578.0],[6.0],[15.0],False
26,[395.0],[3.0],[61.0],[99.0],False
27,[398.0],[59.0],[10.0],[82.0],False
28,[401.0],[239.0],[12.0],[50.0],False
29,[402.0],[4288.0],[4.0],[4.0],True
30,[417.0],[4889.0],[2.0],[3.0],False
31,[424.0],[467.0 2271.0],[47.0],[11.0 36.0],False
32,[427.0],[4890.0],[3.0],[3.0],True
33,[431.0],[947.0],[13.0],[23.0],False
34,[433.0],[4.0],[21.0],[99.0],False
35,[434.0],[31.0],[3.0],[99.0],False
36,[435.0],[468.0],[36.0],[36.0],True
37,[445.0],[589.0],[29.0],[31.0],False
38,[456.0],[3476.0],[6.0],[6.0],True
39,[457.0],[1154.0],[15.0],[20.0],False
40,[459.0],[5.0],[67.0],[99.0],False
41,[465.0],[4291.0],[3.0],[4.0],False
42,[467.0],[518.0],[32.0],[34.0],False
43,[469.0],[2191.0],[11.0],[11.0],True
44,[470.0],[1581.0],[15.0],[15.0],True
45,[478.0],[2607.0],[9.0],[9.0],True
46,[485.0],[7.0 1104.0],[99.0],[21.0 99.0],False
47,[491.0],[3837.0],[5.0],[5.0],True
48,[492.0],[3477.0],[2.0],[6.0],False
49,[507.0],[309.0],[11.0],[45.0],False
50,[508.0],[948.0],[7.0],[23.0],False
51,[509.0],[842.0],[2.0],[25.0],False
52,[519.0],[4892.0],[3.0],[3.0],True
53,[521.0],[792.0],[3.0],[26.0],False
54,[524.0],[1379.0],[17.0],[17.0],True
55,[525.0],[20.0],[97.0],[99.0],False
56,[526.0],[96.0],[12.0],[71.0],False
57,[528.0],[547.0],[7.0],[33.0],False
58,[544.0],[1153.0],[14.0],[20.0],False
59,[557.0],[32.0 2615.0],[9.0],[9.0 99.0],False
60,[558.0],[3478.0],[6.0],[6.0],True
61,[559.0],[1066.0],[7.0],[21.0],False
62,[563.0],[3838.0],[5.0],[5.0],True
63,[565.0],[10.0],[13.0],[99.0],False
64,[570.0],[1481.0],[16.0],[16.0],True
65,[577.0],[706.0],[25.0],[28.0],False
66,[578.0],[1214.0],[19.0],[19.0],True
67,[585.0],[5564.0],[2.0],[2.0],True
68,[604.0],[12.0],[99.0],[99.0],True
69,[605.0],[60.0],[29.0],[81.0],False
70,[610.0],[329.0],[39.0],[44.0],False
71,[615.0],[1842.0],[13.0],[13.0],True
72,[616.0],[949.0],[3.0],[23.0],False
73,[624.0],[1599.0 4895.0],[17.0],[3.0 15.0],False
74,[627.0],[40.0],[3.0],[93.0],False
75,[629.0],[5565.0],[2.0],[2.0],True
76,[638.0],[15.0],[2.0],[99.0],False
77,[647.0],[55.0],[40.0],[85.0],False
78,[651.0],[2008.0],[2.0],[12.0],False
79,[654.0],[2192.0],[1.0],[11.0],False
80,[658.0],[794.0],[17.0],[26.0],False
81,[665.0],[3843.0],[5.0],[5.0],True
82,[685.0],[1385.0],[16.0],[17.0],False
83,[694.0],[1217.0],[2.0],[19.0],False
84,[698.0],[274.0],[20.0],[47.0],False
85,[700.0],[1585.0],[14.0],[15.0],False
86,[705.0],[5568.0],[2.0],[2.0],True
87,[707.0],[4898.0],[3.0],[3.0],True
88,[723.0],[2014.0],[3.0],[12.0],False
89,[726.0],[2612.0],[8.0],[9.0],False
90,[732.0],[324.0 2398.0 5717.0],[16.0],[2.0 10.0 44.0],False
91,[750.0],[795.0],[24.0],[26.0],False
92,[757.0],[1067.0],[21.0],[21.0],True
93,[762.0],[51.0],[85.0],[86.0],False
94,[772.0],[746.0],[8.0],[27.0],False
95,[776.0],[1482.0],[16.0],[16.0],True
96,[780.0],[5572.0],[2.0],[2.0],True
97,[782.0],[4298.0],[4.0],[4.0],True
98,[787.0],[354.0],[2.0],[42.0],False
99,[791.0],[95.0],[69.0],[71.0],False
100,[799.0],[414.0 903.0],[38.0],[24.0 39.0],False
101,[805.0],[5575.0],[2.0],[2.0],True
102,[806.0],[150.0],[12.0],[61.0],False
103,[810.0],[472.0],[32.0],[36.0],False
104,[811.0],[5574.0],[2.0],[2.0],True
105,[819.0],[2015.0],[12.0],[12.0],True
106,[820.0],[836.0],[1.0],[25.0],False
107,[821.0],[796.0],[20.0],[26.0],False
108,[822.0],[544.0],[4.0],[33.0],False
109,[824.0],[2193.0],[10.0],[11.0],False
110,[826.0],[4905.0],[3.0],[3.0],True
111,[830.0],[81.0],[6.0],[74.0],False
112,[839.0],[545.0],[33.0],[33.0],True
113,[840.0],[3480.0],[6.0],[6.0],True
114,[844.0],[432.0],[38.0],[38.0],True
115,[852.0],[519.0],[34.0],[34.0],True
116,[854.0],[743.0],[11.0],[27.0],False
117,[862.0],[16.0],[99.0],[99.0],True
118,[868.0],[2402.0],[1.0],[10.0],False
119,[870.0],[2194.0],[11.0],[11.0],True
120,[883.0],[564.0],[27.0],[32.0],False
121,[889.0],[1849.0],[1.0],[13.0],False
122,[899.0],[5577.0],[2.0],[2.0],True
123,[901.0],[4906.0],[1.0],[3.0],False
124,[908.0],[388.0],[9.0],[40.0],False
125,[933.0],[2864.0 3849.0],[6.0],[5.0 8.0],False
126,[935.0],[170.0 387.0],[50.0],[40.0 59.0],False
127,[948.0],[4912.0],[2.0],[3.0],False
128,[957.0],[102.0],[69.0],[70.0],False
129,[958.0],[5581.0 5623.0],[4.0],[2.0],False
130,[962.0],[4932.0],[3.0],[3.0],True
131,[968.0],[103.0],[17.0],[70.0],False
132,[978.0],[255.0],[34.0],[49.0],False
133,[983.0],[58.0],[10.0],[82.0],False
134,[991.0],[1485.0],[2.0],[16.0],False
135,[1000.0],[4916.0],[1.0],[3.0],False
136,[1001.0],[4915.0],[2.0],[3.0],False
137,[1019.0],[5585.0],[1.0],[2.0],False
138,[1030.0],[797.0],[3.0],[26.0],False
139,[1034.0],[3132.0],[1.0],[7.0],False
140,[1067.0],[413.0],[12.0],[39.0],False
141,[1068.0],[3860.0],[1.0],[5.0],False
142,[1114.0],[3117.0],[5.0],[7.0],False
143,[1131.0],[433.0],[19.0],[38.0],False
144,[1142.0],[3485.0],[2.0],[6.0],False
145,[1153.0],[1382.0],[17.0],[17.0],True
146,[1181.0],[27.0],[7.0],[99.0],False
147,[1191.0],[3853.0],[5.0],[5.0],True
148,[1193.0],[4315.0],[4.0],[4.0],True
149,[1205.0],[263.0],[25.0],[48.0],False
150,[1210.0],[1588.0],[14.0],[15.0],False
151,[1232.0],[4922.0],[3.0],[3.0],True
152,[1233.0],[799.0],[9.0],[26.0],False
153,[1241.0],[3123.0],[6.0],[7.0],False
154,[1246.0],[3854.0],[5.0],[5.0],True
155,[1266.0],[628.0],[2.0],[30.0],False
156,[1268.0],[1848.0],[3.0],[13.0],False
157,[1269.0],[2205.0],[3.0],[11.0],False
158,[1278.0],[1590.0],[3.0],[15.0],False
159,[1287.0],[1486.0],[6.0],[16.0],False
160,[1289.0],[748.0],[4.0],[27.0],False
161,[1299.0],[2397.0],[10.0],[10.0],True
162,[1374.0],[1301.0 3122.0],[18.0],[7.0 18.0],False
163,[1392.0],[4320.0],[1.0],[4.0],False
164,[1404.0],[1289.0],[4.0],[18.0],False
165,[1685.0],[1702.0],[12.0],[14.0],False
166,[1694.0],[5552.0],[1.0],[2.0],False
167,[1708.0],[2393.0],[9.0],[10.0],False
168,[1724.0],[791.0],[7.0],[26.0],False
169,[1730.0],[3492.0],[1.0],[6.0],False
170,[1735.0],[3502.0],[1.0],[6.0],False
171,[1750.0],[4289.0],[1.0],[4.0],False
172,[1757.0],[3856.0],[4.0],[5.0],False
173,[1778.0],[2847.0],[1.0],[8.0],False
174,[1779.0],[2622.0 4363.0 5606.0],[4.0],[2.0 4.0 9.0],False
175,[1817.0],[844.0],[25.0],[25.0],True
176,[1825.0],[1220.0],[1.0],[19.0],False
177,[1826.0],[5573.0],[1.0],[2.0],False
178,[1827.0],[5571.0],[1.0],[2.0],False
179,[1833.0],[2626.0],[1.0],[9.0],False
180,[1837.0],[494.0],[1.0],[35.0],False
181,[1842.0],[4904.0],[1.0],[3.0],False
182,[1847.0],[4299.0],[1.0],[4.0],False
183,[1848.0],[1073.0],[4.0],[21.0],False
184,[1849.0],[4300.0],[1.0],[4.0],False
185,[1864.0],[1483.0],[1.0],[16.0],False
186,[1872.0],[4302.0],[1.0],[4.0],False
187,[1874.0],[1491.0],[1.0],[16.0],False
188,[1877.0],[2402.0],[1.0],[10.0],False
189,[1884.0],[2840.0],[3.0],[8.0],False
190,[1892.0],[3848.0],[4.0],[5.0],False
191,[1904.0],[308.0],[1.0],[45.0],False
192,[1910.0],[1710.0],[1.0],[14.0],False
193,[1932.0],[4940.0],[2.0],[3.0],False
194,[1947.0],[4328.0],[1.0],[4.0],False
195,[1959.0],[3500.0],[4.0],[6.0],False
196,[1961.0],[4919.0],[1.0],[3.0],False
197,[1963.0],[2396.0],[2.0],[10.0],False
198,[1982.0],[3490.0],[1.0],[6.0],False
199,[2021.0],[3121.0],[1.0],[7.0],False
200,[2168.0],[1477.0],[2.0],[16.0],False
201,[2176.0],[2024.0 4888.0],[3.0],[3.0 12.0],False
202,[2184.0],[1222.0],[1.0],[19.0],False
203,[2205.0],[40.0],[9.0],[93.0],False
204,[2227.0],[353.0 1714.0],[13.0],[14.0 42.0],False
205,[2233.0],[291.0 4947.0],[9.0],[3.0 46.0],False
206,[2248.0],[3867.0],[2.0],[5.0],False
207,[2264.0],[3500.0],[1.0],[6.0],False
208,[2385.0],[3466.0],[2.0],[6.0],False
209,[2392.0],[669.0],[1.0],[29.0],False
210,[2396.0],[2024.0],[1.0],[12.0],False
211,[2405.0],[2836.0],[4.0],[8.0],False
212,[2428.0],[453.0 4296.0],[2.0],[4.0 37.0],False
213,[2432.0],[4953.0],[1.0],[3.0],False
214,[2451.0],[625.0],[2.0],[30.0],False
215,[2464.0],[4314.0],[1.0],[4.0],False
216,[2474.0],[3859.0],[1.0],[5.0],False
217,[2484.0],[1716.0],[1.0],[14.0],False
218,[2491.0],[1294.0],[2.0],[18.0],False
219,[2525.0],[5628.0],[1.0],[2.0],False
220,[2616.0],[2206.0],[1.0],[11.0],False
221,[2631.0],[1375.0],[1.0],[17.0],False
222,[2634.0],[126.0],[3.0],[65.0],False
223,[2683.0],[2210.0],[2.0],[11.0],False
224,[2702.0],[3145.0],[1.0],[7.0],False
225,[2723.0],[2840.0],[2.0],[8.0],False
226,[2739.0],[308.0],[8.0],[45.0],False
227,[2781.0],[2842.0],[4.0],[8.0],False
228,[2790.0],[3500.0],[1.0],[6.0],False
229,[2804.0],[3852.0],[1.0],[5.0],False
230,[2805.0],[4352.0],[2.0],[4.0],False
231,[2808.0],[1844.0],[8.0],[13.0],False
232,[2809.0],[2396.0],[2.0],[10.0],False
233,[2817.0],[2196.0],[1.0],[11.0],False
234,[2843.0],[839.0],[1.0],[25.0],False
235,[2850.0],[3120.0],[1.0],[7.0],False
236,[2992.0],[1574.0],[7.0],[15.0],False
