,ID (CME),ID (Dino),Track Length (CME),Track Length (Dino),True Match
0,[4.0],[433.0 6114.0 31440.0],[99.0],[3.0 21.0 82.0],False
1,[7.0],[485.0],[99.0],[99.0],True
2,[12.0],[604.0],[99.0],[99.0],True
3,[15.0],[638.0 1793.0 7222.0],[99.0],[2.0 8.0 93.0],False
4,[16.0],[862.0],[99.0],[99.0],True
5,[55.0],[647.0 13531.0 14363.0 19714.0 21129.0],[85.0],[3.0 9.0 13.0 28.0 40.0],False
6,[63.0],[334.0 9208.0 17099.0],[80.0],[2.0 80.0],False
7,[67.0],[451.0 25031.0 25898.0],[79.0],[4.0 17.0 69.0],False
8,[74.0],[5437.0 29700.0],[78.0],[27.0 59.0],False
9,[86.0],[3054.0 21955.0],[73.0],[37.0 90.0],False
10,[89.0],[8971.0 32349.0],[73.0],[14.0 75.0],False
11,[95.0],[791.0 27336.0],[71.0],[3.0 69.0],False
12,[125.0],[587.0 18763.0],[65.0],[13.0 55.0],False
13,[132.0],[11803.0 27963.0 31085.0 34331.0],[64.0],[6.0 12.0 20.0 37.0],False
14,[168.0],"[389.0 6408.0 18726.0 19671.0 20287.0 21063.0 21790.0 22513.0 22516.0
 24069.0 25887.0]",[59.0],[2.0 3.0 4.0 13.0 18.0 46.0],False
15,[180.0],[14393.0],[58.0],[58.0],True
16,[186.0],[452.0 14750.0],[56.0],[5.0 55.0],False
17,[189.0],[14756.0 30589.0],[56.0],[25.0 33.0],False
18,[200.0],[368.0 8197.0 15483.0],[54.0],[21.0 22.0 34.0],False
19,[201.0],[669.0],[54.0],[87.0],False
20,[214.0],[641.0],[53.0],[66.0],False
21,[221.0],[352.0 3216.0 6729.0 7639.0 7940.0 9963.0 10427.0 11232.0],[52.0],[3.0 7.0 12.0 25.0 26.0 36.0],False
22,[231.0],[207.0],[51.0],[52.0],False
23,[241.0],[735.0 7240.0],[50.0],[28.0 51.0],False
24,[259.0],[16728.0 29704.0 31999.0],[49.0],[7.0 21.0 25.0],False
25,[317.0],[15002.0],[45.0],[51.0],False
26,[320.0],[16198.0 19275.0 23063.0 27316.0 32333.0],[45.0],[2.0 5.0 9.0 17.0 21.0],False
27,[324.0],[732.0 5069.0],[44.0],[16.0 33.0],False
28,[340.0],[422.0 6106.0],[43.0],[16.0 69.0],False
29,[350.0],[370.0 5025.0],[42.0],[13.0 52.0],False
30,[351.0],[846.0 13129.0],[42.0],[40.0 41.0],False
31,[369.0],[244.0],[41.0],[99.0],False
32,[384.0],[274.0],[40.0],[48.0],False
33,[387.0],[935.0],[40.0],[50.0],False
34,[393.0],[419.0],[40.0],[44.0],False
35,[395.0],[8584.0 8957.0 9236.0 9478.0 9764.0 10242.0],[40.0],[1.0 2.0 51.0],False
36,[407.0],[225.0],[39.0],[99.0],False
37,[410.0],[666.0 7655.0],[39.0],[28.0 37.0],False
38,[414.0],[799.0 7260.0 8238.0],[39.0],[2.0 4.0 38.0],False
39,[432.0],[844.0],[38.0],[38.0],True
40,[450.0],[617.0 7955.0 9469.0],[37.0],[16.0 22.0 49.0],False
41,[467.0],[424.0],[36.0],[47.0],False
