ID (CME),Track Length (CME),Track Coverage,Missing Time Points,Dino Data
1.0,99.0,97,"[14.0, 15.0]","360.0,1.0,71.0;28476.0,71.0,29.0"
2.0,99.0,96,"[18.0, 19.0, 20.0]","384.0,1.0,90.0;14748.0,43.0,3.0;384.0,46.0,90.0;35419.0,90.0,8.0;35868.0,92.0,5.0;35419.0,97.0,8.0"
3.0,99.0,98,[81.0],"395.0,1.0,61.0;22998.0,62.0,3.0;24067.0,64.0,34.0;24633.0,66.0,9.0;24067.0,67.0,34.0;24633.0,68.0,9.0;24067.0,71.0,34.0;22517.0,78.0,17.0;24067.0,79.0,34.0;22517.0,80.0,17.0;24067.0,81.0,34.0;24637.0,87.0,34.0;24067.0,89.0,34.0;24637.0,94.0,34.0;24067.0,96.0,34.0"
4.0,99.0,99,[],"433.0,1.0,21.0;6114.0,22.0,82.0;31440.0,77.0,3.0;6114.0,78.0,82.0"
5.0,99.0,95,"[88.0, 89.0, 90.0, 92.0]","459.0,1.0,67.0;24091.0,65.0,3.0;459.0,66.0,67.0;25908.0,68.0,21.0;30068.0,88.0,26.0;35629.0,91.0,8.0;30068.0,92.0,26.0;35629.0,93.0,8.0"
6.0,99.0,97,"[85.0, 96.0]","497.0,1.0,4.0;461.0,4.0,17.0;477.0,7.0,19.0;461.0,8.0,17.0;477.0,19.0,19.0;8942.0,24.0,59.0;477.0,25.0,19.0;8942.0,28.0,59.0;33503.0,82.0,16.0;533.0,85.0,98.0;33503.0,86.0,16.0;34997.0,96.0,12.0;33503.0,97.0,16.0"
7.0,99.0,99,[],"485.0,1.0,99.0"
8.0,99.0,96,"[1.0, 2.0, 5.0]","484.0,1.0,10.0;2191.0,3.0,3.0;484.0,6.0,10.0;3226.0,7.0,36.0;484.0,10.0,10.0;3226.0,14.0,36.0;484.0,17.0,10.0;3226.0,18.0,36.0;3224.0,32.0,26.0;3226.0,34.0,36.0;3224.0,35.0,26.0;3226.0,36.0,36.0;15259.0,47.0,28.0;25037.0,65.0,11.0;27284.0,70.0,6.0;15259.0,71.0,28.0;25037.0,72.0,11.0;15259.0,73.0,28.0;25037.0,74.0,11.0;27284.0,78.0,6.0;32316.0,79.0,2.0;32659.0,80.0,2.0;33121.0,81.0,5.0;33120.0,82.0,15.0;33724.0,84.0,2.0;33121.0,85.0,5.0;33120.0,87.0,15.0;35137.0,89.0,3.0;35877.0,92.0,3.0;33120.0,95.0,15.0;37218.0,98.0,2.0"
9.0,99.0,95,"[1.0, 9.0, 30.0, 43.0]","533.0,1.0,98.0;2663.0,9.0,12.0;533.0,10.0,98.0;2663.0,13.0,12.0;533.0,14.0,98.0;9746.0,43.0,41.0;533.0,44.0,98.0;31984.0,78.0,2.0;533.0,80.0,98.0;36125.0,94.0,5.0;533.0,95.0,98.0"
10.0,99.0,96,"[19.0, 31.0, 90.0]","565.0,1.0,13.0;4145.0,13.0,60.0;28550.0,71.0,29.0;37009.0,97.0,3.0;37226.0,98.0,2.0"
11.0,99.0,86,"[81.0, 83.0, 84.0, 85.0, 86.0, 87.0, 88.0, 89.0, 90.0, 91.0, 92.0, 94.0, 96.0]","592.0,1.0,15.0;567.0,4.0,30.0;592.0,10.0,15.0;567.0,11.0,30.0;592.0,12.0,15.0;567.0,13.0,30.0;592.0,15.0,15.0;567.0,16.0,30.0;8553.0,23.0,42.0;11247.0,32.0,20.0;8553.0,49.0,42.0;11247.0,51.0,20.0;8553.0,54.0,42.0;14999.0,58.0,9.0;21831.0,59.0,2.0;22537.0,60.0,2.0;23032.0,61.0,23.0;23722.0,62.0,2.0;24111.0,63.0,5.0;23032.0,68.0,23.0;6767.0,87.0,76.0;36136.0,93.0,2.0;36475.0,94.0,1.0;36136.0,95.0,2.0;36135.0,96.0,5.0"
