ID (CME),Missing Time Points,ID (Dino),x (CME),y (CME),z (CME),x (Dino),y (Dino),z (Dino),t,t_start (CME),t_start (Dino),FI (CME),FI (Dino),Track Length (CME),Track Length (Dino),Distance
1.0,14,360.0,319.38,148.99,34.5,316.04877,150.02444,36.350235,14.0,1.0,1.0,166.63,189.36597,99.0,71.0,3.948484390462371
1.0,15,360.0,318.51,150.08,33.650000000000006,316.1472,150.05428,36.438698,15.0,1.0,1.0,150.69,216.60997,99.0,71.0,3.6551774093200935
2.0,18,384.0,322.53,328.79,36.349999999999994,319.60187,328.18256,39.499184,18.0,1.0,1.0,90.213,164.97668,99.0,90.0,4.342843367697683
2.0,19,384.0,321.44,329.57,38.22999999999999,319.0559,328.34308,40.494183,19.0,1.0,1.0,105.03,169.82321,99.0,90.0,3.5093860081058357
2.0,20,384.0,322.43,329.59,37.629999999999995,319.3641,328.22266,40.212753,20.0,1.0,1.0,87.411,216.19566,99.0,90.0,4.2355607119493515
3.0,81,24067.0,325.65,162.82,39.83000000000001,322.6358,164.43402,38.726093,81.0,1.0,63.0,154.9,82.91561,99.0,34.0,3.5929198244671174
5.0,88,30068.0,335.71,437.81,50.86,326.65918,433.49152,45.954506,88.0,1.0,74.0,51.732,134.75058,99.0,26.0,11.163802379424132
5.0,89,30068.0,335.7,440.71,50.900000000000006,326.60248,433.3887,45.590126,89.0,1.0,74.0,38.378,101.26217,99.0,26.0,12.828135707743185
5.0,90,30068.0,335.37,442.15,51.42,326.74628,433.727,45.40013,90.0,1.0,74.0,39.569,118.65818,99.0,26.0,13.47420908459194
5.0,92,30068.0,336.08,442.85,51.64,326.65924,433.5667,45.523434,92.0,1.0,74.0,48.052,128.00772,99.0,26.0,14.571985365761092
6.0,85,533.0,338.28,496.66,55.64,347.58115,488.99152,60.03226,85.0,1.0,1.0,44.9,81.386,99.0,98.0,12.830000964166013
6.0,96,34997.0,338.75,499.66,55.11,348.3537,501.15872,60.24324,96.0,1.0,88.0,57.461,121.18256,99.0,12.0,10.992150300373446
8.0,1,484.0,350.91,280.72,56.650000000000006,348.34787,279.91742,53.993164,1.0,1.0,1.0,407.56,141.77655,99.0,10.0,3.777224155937295
8.0,2,484.0,352.54,279.11,57.56,351.54373,277.35922,54.42667,2.0,1.0,1.0,463.32,147.92123,99.0,10.0,3.72498877987574
8.0,5,2191.0,352.85,280.6,57.64,352.90878,279.0353,60.9225,5.0,1.0,3.0,554.19,169.941,99.0,3.0,3.636832059416552
9.0,1,533.0,352.68,485.74,66.09,349.90445,483.52975,64.06476,1.0,1.0,1.0,210.05,244.17024,99.0,98.0,4.085398379913539
9.0,9,2663.0,350.71,489.68,64.13,348.26776,491.06125,62.02583,9.0,1.0,5.0,227.27,169.39055,99.0,12.0,3.507124059539346
9.0,30,533.0,354.05,488.51,63.94,350.8368,486.38998,61.627815,30.0,1.0,1.0,133.96,134.21332,99.0,98.0,4.490583315631192
9.0,43,9746.0,352.36,488.22,61.81999999999999,354.44363,504.30725,63.217316,43.0,1.0,27.0,69.759,107.66788,99.0,41.0,16.28169581288311
10.0,19,4145.0,366.06,139.6,63.959999999999994,363.52808,137.55435,65.67106,19.0,1.0,10.0,124.48,151.52075,99.0,60.0,3.6773671468185034
10.0,31,4145.0,367.02,142.56,64.41,363.36673,140.28734,65.856346,31.0,1.0,10.0,95.143,143.17587,99.0,60.0,4.53908381947456
10.0,90,28550.0,362.17,141.41,60.3,359.16544,140.017,62.05836,90.0,1.0,71.0,75.148,116.56811,99.0,29.0,3.7496212719687
11.0,81,23032.0,362.65,375.89,65.72,359.58176,374.2765,66.76355,81.0,1.0,61.0,72.601,81.05853,99.0,23.0,3.620286666840068
11.0,83,23032.0,364.36,375.15,65.76,360.07434,374.43985,67.51206,83.0,1.0,61.0,67.536,132.18921,99.0,23.0,4.6841123920866865
11.0,84,23032.0,363.58,375.62,65.89,359.50275,374.33075,66.495,84.0,1.0,61.0,66.228,82.16267,99.0,23.0,4.318814435119886
11.0,85,23032.0,364.36,375.55,66.02,360.48813,373.80283,66.90187,85.0,1.0,61.0,67.755,76.43984,99.0,23.0,4.338395441024269
11.0,86,23032.0,363.49,375.97,65.8,359.55743,373.9982,65.99968,86.0,1.0,61.0,63.597,103.98797,99.0,23.0,4.4037454680419605
11.0,87,6767.0,365.9,376.12,65.62,371.49814,371.25742,73.73873,87.0,1.0,18.0,68.638,116.26377,99.0,76.0,10.995345948577508
