,ID (Dino),ID (CME),Track Length (Dino),Track Length (CME),True Match
0,[0.0],[222.0 472.0 672.0 5573.0],[5.0],[2.0 29.0 36.0 52.0],False
1,[1.0],[480.0 532.0 616.0 939.0 1402.0 1514.0 2086.0 2270.0 4356.0 5808.0],[56.0],[2.0 4.0 11.0 12.0 16.0 17.0 24.0 30.0 34.0 36.0],False
2,[2.0],[131.0 3697.0 4280.0],[37.0],[4.0 6.0 64.0],False
3,[3.0],[152.0 2135.0 2323.0 2778.0 5317.0],[75.0],[3.0 9.0 11.0 12.0 61.0],False
4,[4.0],[152.0],[9.0],[61.0],False
5,[5.0],[204.0 975.0 2659.0 3109.0 3878.0 4885.0 5906.0],[35.0],[2.0 3.0 5.0 7.0 9.0 23.0 54.0],False
6,[6.0],[204.0 975.0 2186.0 2659.0 5059.0],[12.0],[3.0 9.0 11.0 23.0 54.0],False
7,[7.0],[72.0 268.0 3265.0 4282.0],[23.0],[4.0 7.0 48.0 78.0],False
8,[8.0],[265.0 268.0 3173.0 3837.0 4290.0 4926.0],[14.0],[3.0 4.0 5.0 7.0 48.0],False
9,[9.0],[72.0 268.0],[16.0],[48.0 78.0],False
10,[10.0],[72.0 1477.0],[15.0],[16.0 78.0],False
11,[11.0],[670.0 860.0 877.0 889.0 1027.0 2184.0 2217.0 2605.0 2733.0 3887.0 5080.0],[31.0],[3.0 5.0 9.0 11.0 22.0 25.0 29.0],False
12,[12.0],[236.0 808.0 978.0 1243.0 1699.0 1779.0 2184.0 2217.0 3887.0],[43.0],[5.0 11.0 14.0 15.0 19.0 23.0 26.0 51.0],False
13,[13.0],[808.0 837.0 978.0 1243.0 2184.0 2217.0 3872.0 3887.0],[41.0],[5.0 11.0 19.0 23.0 25.0 26.0],False
14,[14.0],[808.0 837.0 889.0 978.0 1779.0 3021.0 4873.0],[52.0],[4.0 8.0 14.0 23.0 25.0 26.0],False
15,[15.0],[369.0 837.0 877.0 889.0 978.0 1027.0 1172.0 2733.0 5158.0],[46.0],[3.0 9.0 20.0 22.0 23.0 25.0 41.0],False
