ID (Dino),t,x (Dino),y (Dino),z (Dino),ID (GT),x (GT),y (GT),z (GT),Distance,Multi ID (GT),Multi Distance (GT)
0.0,0.0,255.32628,255.33258,4.001668,224.0,254.273,262.818,6.727,8.035443101971643,,
0.0,1.0,255.46394,255.47153,4.003716,224.0,254.091,261.909,6.636,7.089069283139775,,
0.0,2.0,255.16754,255.34938,4.0020103,224.0,254.455,262.0,6.818,7.257289964339727,,
0.0,3.0,255.50963,255.65387,3.990553,48.0,259.818,254.091,4.273,4.591774275986242,,
0.0,4.0,255.31041,255.29773,4.0028987,48.0,254.182,254.636,4.273,1.335720941387722,48,1.34
0.0,5.0,256.432,256.61774,4.040049,224.0,255.545,261.455,6.727,5.604066290114764,,
0.0,6.0,254.02101,254.14145,3.9639642,224.0,254.909,262.0,6.727,8.37733258111923,,
0.0,7.0,255.64911,255.867,4.0148187,469.0,252.727,247.545,8.364,9.834113525497342,,
0.0,8.0,255.46208,255.5953,4.001589,664.0,251.818,248.091,3.182,8.382455706135334,,
0.0,9.0,255.47586,255.58774,4.0030093,664.0,251.545,249.364,3.273,7.397263920213107,,
0.0,10.0,256.11298,256.3635,4.0202384,664.0,251.455,250.273,3.182,7.713210197163972,,
0.0,11.0,255.18375,255.52548,3.9977486,664.0,251.636,250.818,3.364,5.928620016572304,,
0.0,12.0,255.14395,255.58508,4.002395,664.0,252.091,251.909,3.545,4.800341451909956,,
0.0,13.0,255.37451,255.66864,3.998701,664.0,252.455,252.727,3.727,4.153384880203241,,
0.0,14.0,255.51353,256.0199,4.018017,664.0,252.727,253.0,3.818,4.113946068094359,,
0.0,15.0,255.97684,256.48883,4.02427,664.0,248.0,256.909,4.091,7.988177020284424,,
0.0,16.0,256.48975,256.8291,4.0437603,895.0,262.0,249.0,0.091,10.35770128270533,,
0.0,17.0,256.05698,256.45795,4.026006,895.0,262.636,249.0,-0.091,10.763561713807187,,
0.0,18.0,256.1985,256.45602,4.0257926,708.0,256.364,248.909,8.273,8.661620623706352,,
0.0,19.0,255.78514,255.94232,3.9935694,708.0,250.636,252.818,8.0,7.233706128577276,,
0.0,20.0,255.62115,255.72658,4.007884,708.0,245.364,256.545,7.818,10.972507523458615,,
0.0,21.0,255.5073,255.5588,4.0016193,895.0,263.182,247.909,0.273,11.459627481481801,,
0.0,22.0,254.2075,254.18936,3.9694362,895.0,262.727,248.0,0.091,11.22195726319922,,
0.0,23.0,255.5966,255.59718,4.0085683,895.0,263.273,247.818,0.364,11.520661288561751,,
0.0,24.0,256.72543,256.6715,4.04399,895.0,263.091,247.0,0.364,12.14910367372834,,
0.0,25.0,255.52556,255.39523,4.0088463,1125.0,251.909,264.818,9.182,11.341499896853307,,
0.0,26.0,256.39417,256.21335,4.0284963,895.0,262.273,246.818,0.182,11.731529208816465,,
0.0,27.0,256.08282,255.89737,4.018628,895.0,262.091,247.455,0.091,11.081430405668913,,
0.0,28.0,255.5915,255.53548,4.0065846,895.0,262.273,249.455,0.273,9.775189678249598,,
0.0,29.0,255.75003,255.55334,4.010487,895.0,262.273,249.818,0.364,9.420197979749096,,
0.0,30.0,256.03342,255.85297,4.0255547,1125.0,250.364,265.364,8.909,12.101654961012207,,
0.0,31.0,254.8204,254.6713,3.986364,1125.0,250.0,264.364,9.182,12.007469462567688,,
0.0,32.0,255.58646,255.31094,4.0071974,1149.0,269.545,261.455,0.455,15.659132114640567,,
0.0,33.0,255.72404,255.5859,4.010364,1149.0,270.0,261.0,0.455,15.676610791369919,,
0.0,34.0,255.27293,255.1415,3.997845,1149.0,270.0,260.091,0.545,15.915598626156822,,
0.0,35.0,256.3369,256.24506,4.028336,1149.0,270.818,260.182,0.818,15.346270263699093,,
0.0,36.0,255.30412,255.3935,4.0046754,1127.0,259.091,245.364,-0.364,11.576556272698925,,
0.0,37.0,256.12488,256.1241,4.0174303,1127.0,258.273,248.091,0.455,9.046326590763677,,
0.0,38.0,255.20934,255.34328,4.005972,1127.0,256.818,251.182,1.545,5.095137036310604,,
0.0,39.0,255.2413,255.32777,4.0060005,1127.0,255.091,253.636,2.909,2.0219015603881947,1127,2.02
0.0,40.0,255.55261,255.44974,4.005113,1127.0,254.273,255.636,3.909,1.2966619638398353,1127,1.30
0.0,41.0,255.47887,255.36009,4.003148,1127.0,254.0,257.364,5.0,2.6826154541610783,1127,2.68
0.0,42.0,254.57693,254.641,3.9917543,655.0,255.0,256.364,2.364,2.407758560584602,655,2.41
0.0,43.0,255.77356,255.75392,3.9921544,655.0,255.182,257.091,2.273,2.2568159010073057,655,2.26
0.0,44.0,255.46635,255.3701,4.0034194,655.0,255.455,256.0,2.091,2.0135170210346747,655,2.01
0.0,45.0,254.19423,254.15681,3.9680352,655.0,255.636,256.273,2.091,3.174936533387571,655,3.17
0.0,46.0,255.56075,255.541,4.00568,1588.0,260.455,254.273,8.364,6.675062567864044,,
0.0,47.0,255.37148,255.37306,4.0025187,1588.0,260.636,254.182,8.364,6.939475043852387,,
0.0,48.0,255.71443,255.71954,3.9904187,1588.0,260.182,254.273,8.091,6.234294400684804,,
0.0,49.0,255.98865,255.79596,4.0199676,1588.0,260.0,254.0,8.182,6.053008742993003,,
0.0,50.0,255.87413,255.65569,3.9915779,1588.0,260.364,253.636,8.182,6.4651154428338025,,
0.0,51.0,254.29608,254.03677,3.9685779,1127.0,254.364,262.909,8.545,9.98322180143607,,
0.0,52.0,255.88312,255.68747,3.992509,1127.0,253.818,262.818,8.364,8.615051494818868,,
0.0,53.0,255.38347,255.37471,4.005241,1127.0,253.273,262.818,8.364,8.880057976448173,,
0.0,54.0,255.82027,255.86047,4.0216584,1127.0,251.909,262.909,8.545,9.243399126084006,,
0.0,55.0,255.30554,255.4666,4.001255,1127.0,252.455,262.273,8.545,8.665926256126653,,
0.0,56.0,255.55629,255.62036,4.007091,1127.0,253.091,262.182,8.273,8.205531906584792,,
0.0,57.0,255.54616,255.65015,4.005315,1127.0,252.273,261.727,8.182,8.06761302352342,,
0.0,58.0,255.42484,255.60797,4.00803,1127.0,252.182,262.0,8.091,8.248921311747377,,
0.0,59.0,254.44955,254.69775,3.9865222,1127.0,252.818,261.636,8.273,8.317160596916048,,
0.0,60.0,255.53429,255.73201,3.994087,1127.0,253.636,261.727,8.364,7.657646482553806,,
0.0,61.0,255.33267,255.63359,4.011344,1127.0,254.364,262.182,8.182,7.8239610535416295,,
0.0,62.0,255.03462,255.48651,4.0072055,1127.0,254.273,261.455,8.182,7.323376749951483,,
0.0,63.0,255.25587,255.65125,4.009253,1127.0,254.727,260.727,8.0,6.478348798683865,,
0.0,64.0,254.41154,254.68054,3.9884458,1127.0,254.909,261.455,7.909,7.8429280232791445,,
0.0,65.0,254.7151,254.87675,3.9937572,2029.0,268.182,240.364,1.818,19.917610990423817,,
0.0,66.0,255.36021,255.70738,4.0097604,2029.0,264.455,243.545,1.636,15.371188335490144,,
0.0,67.0,254.79953,254.95576,3.9948564,2029.0,263.545,244.909,1.364,13.577261779015727,,
