z,y,x,idx
100.66971,364.04724,519.6587,0
0.90768623,0.28312534,259.38998,1
0.0,0.8972159,344.04227,2
0.33242568,0.0,364.51282,3
0.0,5.107955,344.9518,4
0.0,7.3324666,349.90338,5
0.017194638,12.181118,254.22168,6
0.0,13.331909,309.75052,7
0.0,13.749459,341.85754,8
0.0,15.08153,316.42798,9
0.0,16.006907,351.17026,10
0.0,117.13953,253.41531,11
0.0,336.40286,251.43045,12
0.0,349.34937,333.3103,13
0.0,357.68802,379.25247,14
0.0,361.224,359.4801,15
0.0,366.47708,367.55783,16
0.0,384.21906,327.28534,17
0.0,401.51706,310.39462,18
0.0,403.236,330.9329,19
0.0,418.51953,299.55206,20
0.0,453.28036,297.8176,21
0.0,455.526,262.99783,22
0.0,464.58667,293.43704,23
0.0,468.12332,313.93527,24
0.0,483.67834,288.25848,25
0.0,493.35376,328.4938,26
0.0,504.99228,292.9955,27
0.0,507.45676,332.53632,28
0.0,513.8438,335.0521,29
0.0,521.41,306.4927,30
0.0,533.8366,263.96744,31
0.0,535.42505,237.98463,32
0.0,536.9918,295.99548,33
0.0,547.443,284.85178,34
0.0,553.0556,286.70032,35
0.0,555.99365,283.99673,36
0.0,564.3088,241.922,37
0.0,568.3228,276.36447,38
0.0,573.4123,275.42694,39
0.0,577.8794,237.63853,40
0.0,579.89246,267.05063,41
0.0,580.5898,298.46832,42
0.0,587.9554,301.89868,43
0.057510875,590.3779,237.80685,44
0.71258104,593.4966,263.80927,45
0.0,603.7066,237.21678,46
0.10233509,607.52045,246.31291,47
0.0,611.5362,299.24142,48
0.0,615.30554,287.25284,49
0.0,619.99567,283.24948,50
0.0,623.9823,238.6902,51
0.0,625.0884,246.678,52
0.0,628.90955,261.54208,53
0.0,636.8428,237.16888,54
0.0,640.44684,272.1656,55
0.0,647.27203,241.59477,56
0.0,650.5117,290.41626,57
0.0,651.0203,273.835,58
0.0,658.987,230.99544,59
0.0,659.29767,301.17062,60
0.0,661.6322,246.0372,61
0.0,662.4403,286.8531,62
0.0,664.2137,294.62518,63
0.0,667.02057,238.98865,64
0.0,671.59985,231.55293,65
0.0,671.4297,243.00345,66
0.0,671.4999,290.5273,67
0.8426624,672.7861,261.79697,68
0.0,679.54913,287.38852,69
0.0,680.23474,237.07542,70
0.0,683.3189,242.86931,71
0.0,683.74347,256.27774,72
0.0,688.7336,268.2711,73
0.15632157,691.8589,295.67642,74
0.0,702.9978,227.02019,75
0.4081983,702.9976,364.73004,76
1.9999882,117.50063,273.99838,77
3.941369,535.286,250.71358,78
3.8306863,590.3953,251.0673,79
4.0622325,606.0004,251.6079,80
3.8703098,613.47296,270.44186,81
4.256831,659.76776,272.87585,82
3.777186,700.93365,268.4147,83
4.0106344,702.99884,251.16025,84
5.083419,0.076048486,276.61826,85
4.772232,148.70706,263.83173,86
4.840961,174.84456,281.68927,87
5.1908174,336.4251,262.50302,88
5.334272,385.6596,338.60913,89
5.0637054,564.8836,253.80548,90
4.290978,637.4028,252.03522,91
5.0365458,670.90955,253.42126,92
4.927774,688.89435,279.8469,93
5.254964,694.74805,282.1291,94
5.427964,701.4864,272.68176,95
6.15118,257.4156,271.74606,96
5.8749385,274.27164,276.63437,97
6.4564476,351.22165,379.21408,98
6.5670123,365.50388,320.7412,99
5.97443,394.93024,325.6173,100
5.7834945,533.62274,273.79623,101
6.5118856,595.2218,275.1727,102
5.3607116,647.01276,254.40538,103
6.1557326,669.82336,277.73892,104
7.119726,234.0225,292.11005,105
6.678316,350.84268,346.60007,106
6.833212,481.42154,267.1208,107
6.642215,495.31873,268.9988,108
7.593749,505.69437,314.0866,109
6.7857866,607.46643,258.26224,110
6.5085435,621.81287,275.6083,111
7.843618,8.501161,293.69046,112
7.2824736,236.71262,270.43246,113
8.364419,324.0382,368.8838,114
7.999912,350.99612,314.99652,115
7.1934285,360.88577,339.7946,116
8.278938,390.85806,312.37326,117
8.431574,475.76608,394.944,118
8.372492,482.72144,309.87808,119
9.052631,520.4791,279.9558,120
6.618643,546.9434,274.83203,121
8.424199,556.022,259.60333,122
8.99984,111.99802,286.9949,123
8.770883,181.19003,293.2017,124
8.414097,188.34763,274.18173,125
8.560729,437.2978,264.77188,126
8.280147,453.703,276.6305,127
8.285053,490.6825,310.82822,128
8.596456,502.06186,384.99237,129
9.077984,504.88937,391.8644,130
9.495162,513.35114,285.43292,131
8.972268,514.4343,381.32382,132
8.759322,532.9038,288.87305,133
8.46897,640.5435,261.02875,134
8.433522,702.8797,293.3339,135
10.284739,128.01491,280.68704,136
10.258755,156.49658,273.511,137
9.595974,156.15062,292.0569,138
9.395454,167.09552,276.12198,139
