z,y,x,idx
100.68041,364.20572,519.50256,0
0.23688856,0.09118157,259.50513,1
0.0,0.0,363.56485,2
0.0,12.161252,254.6326,3
0.0,116.94724,254.45981,4
0.0,336.37433,251.17804,5
0.0,533.91724,263.87018,6
0.0,572.543,274.83676,7
0.0,579.5564,267.9987,8
0.59642327,593.35626,263.69717,9
0.0,629.05237,261.52744,10
1.6751695,636.6652,241.73587,11
0.0,640.4862,272.43002,12
1.0290598,647.19037,244.69492,13
0.0,651.21204,273.14056,14
0.0,688.89056,268.2922,15
0.0,695.9767,301.9899,16
0.0,702.99274,364.99622,17
0.9999942,546.9969,282.5383,18
3.45798,701.19403,268.2485,19
4.4518204,0.14323471,297.19446,20
3.8285642,0.0,315.7595,21
4.3073983,0.0,329.56808,22
3.9710474,14.657968,275.75537,23
4.0059566,535.2834,249.31427,24
3.885757,590.1765,249.04312,25
4.1001883,604.45105,246.5218,26
3.7145357,613.3858,270.65176,27
3.92134,624.9563,246.91725,28
4.152825,659.8313,272.52985,29
4.5390296,670.9938,253.06331,30
5.3090076,8.130371,292.61176,31
4.6792874,13.692162,268.74362,32
4.8925743,117.03896,264.98093,33
5.301424,336.35883,262.45276,34
5.269877,385.64563,338.66516,35
5.4515367,533.531,273.89502,36
4.84893,564.86896,253.60504,37
4.326838,637.1677,251.06076,38
4.60125,680.61163,247.69894,39
4.83813,688.9204,279.83093,40
5.22654,694.73883,282.18964,41
5.5193133,701.606,272.834,42
5.557678,119.095924,273.2154,43
5.500991,174.99956,281.4886,44
6.410715,350.87244,346.74847,45
5.9378123,365.6526,320.72864,46
5.642204,394.97113,325.3618,47
5.993592,481.52747,267.17218,48
6.3088474,595.2191,275.25714,49
6.298884,621.8659,275.58896,50
5.403401,646.97284,254.53966,51
6.063691,669.82794,277.59793,52
6.1082,1.1872498,274.8055,53
7.4953675,234.08621,292.2363,54
6.7904606,360.82864,339.69415,55
7.494321,482.80377,310.94638,56
7.1258593,505.86234,313.80566,57
6.6676564,607.5059,258.1112,58
7.3905244,236.61725,270.7164,59
7.9998975,390.995,311.996,60
8.077466,437.41364,264.81406,61
8.348542,475.8774,394.78375,62
8.087888,490.7027,310.68762,63
8.486121,502.26465,384.97406,64
7.778358,520.35126,279.5865,65
6.590415,546.9332,274.72232,66
8.300532,555.99817,259.66406,67
8.350888,702.9997,293.4243,68
7.807358,92.28638,275.33264,69
8.609839,188.34494,274.24307,70
8.7482395,324.09402,368.8981,71
8.18823,453.67816,276.56815,72
9.55777,513.3629,285.4097,73
9.044686,514.4317,381.37488,74
8.259622,640.50397,260.7642,75
8.924624,659.91187,262.0629,76
10.870922,0.0,306.0576,77
9.426817,9.191,294.86697,78
9.971859,156.20013,292.0968,79
9.573913,167.18137,276.26398,80
10.25327,334.282,387.47995,81
10.315451,517.517,319.44714,82
9.868457,616.0599,263.16476,83
10.223763,657.79974,281.68393,84
9.506343,693.33057,261.61932,85
11.435985,198.9094,278.28854,86
10.806143,400.83994,296.45853,87
9.753657,419.9983,276.59375,88
10.820751,537.0354,267.94785,89
9.4356575,544.72736,268.06387,90
11.694581,562.45605,267.7052,91
13.082892,631.87646,281.1338,92
10.655658,647.90564,265.85736,93
11.427757,0.0,299.47137,94
12.230103,81.741,283.3041,95
11.530498,123.82697,281.19916,96
11.427069,333.77658,337.23187,97
12.547868,0.0,333.85107,98
13.316844,113.448364,283.4276,99
13.26622,198.48643,302.70935,100
13.13148,406.89682,275.49097,101
12.520923,544.9986,376.4405,102
12.891738,581.89777,268.39236,103
13.763361,305.65067,368.37137,104
14.580715,308.74966,380.16397,105
13.342322,434.162,282.51678,106
13.240757,466.95844,301.5762,107
13.02912,484.25696,300.99356,108
12.482492,500.43015,303.65393,109
13.323104,522.7075,392.8233,110
14.919327,0.0,317.0758,111
14.9199505,99.23974,286.1947,112
14.575826,176.43318,301.69965,113
14.489192,209.02278,283.33398,114
14.9645405,307.7668,358.07126,115
14.541344,318.09534,340.49707,116
14.419795,348.89932,290.3786,117
15.168156,416.73486,412.82025,118
15.234186,514.9708,282.47818,119
14.09249,543.95996,320.28827,120
14.710321,576.37616,353.99854,121
14.944353,669.861,286.47034,122
15.724364,173.30168,284.79404,123
15.513162,402.2375,290.9215,124
15.358405,459.30963,282.87958,125
15.279952,493.36804,284.41016,126
16.481274,588.5022,340.198,127
15.909058,610.6836,271.14328,128
16.503029,188.65016,285.18765,129
16.546175,242.68225,315.64694,130
17.012604,277.5149,286.98373,131
16.58297,293.62137,363.92468,132
16.398508,438.49466,306.40497,133
17.19335,658.21,274.5592,134
15.83735,694.12683,272.4499,135
18.113415,146.72633,306.09384,136
17.35243,204.97083,312.848,137
17.752644,227.64503,289.1986,138
17.783232,271.139,325.90186,139
18.532959,301.99817,385.99765,140
18.464664,359.39783,408.91568,141
17.91275,416.30652,292.916,142
17.364779,504.47238,289.87283,143
18.452456,582.3373,277.97433,144
18.698177,598.13354,345.33347,145
19.248047,159.91924,309.82828,146
18.884182,298.1141,342.97885,147
18.866367,329.43192,399.48846,148
18.846512,522.59906,278.61664,149
18.40974,534.9544,283.45694,150
18.249266,562.97833,314.00446,151
19.000994,577.9188,308.8673,152
19.400927,618.6772,287.50916,153
19.541306,668.462,278.4102,154
20.316353,697.2665,276.3725,155
19.642454,15.263022,303.48972,156
19.999794,211.99783,291.997,157
20.300991,291.8057,388.25104,158
19.684353,545.44226,295.10944,159
19.611952,574.1659,374.33615,160
20.26626,591.24316,360.86703,161
19.677559,592.18225,286.77698,162
20.660177,592.67883,309.98413,163
20.02677,603.71967,332.9135,164
20.517881,73.683556,296.906,165
20.776363,279.81583,369.4227,166
20.631159,517.0798,291.4729,167
22.837511,528.4113,294.58182,168
17.874376,557.8118,288.8613,169
20.714739,587.373,320.41113,170
20.711578,614.41113,323.02936,171
21.549965,102.58666,299.08243,172
22.545837,197.6654,323.16495,173
21.880022,246.87622,295.64676,174
22.012627,445.0561,296.91113,175
21.799198,506.49573,440.58298,176
21.790651,543.28107,284.1276,177
20.830011,563.4508,285.97385,178
22.41311,613.8736,347.07925,179
22.17958,700.1849,295.08734,180
23.136404,165.79425,319.29092,181
23.29221,234.25516,334.1423,182
22.511585,235.99829,295.99786,183
23.070837,329.1029,300.65326,184
22.535097,428.64725,295.21976,185
23.38279,577.74176,290.16452,186
23.46401,631.17816,329.33823,187
23.476522,0.0,329.39896,188
23.845634,169.13023,298.66492,189
24.466152,184.34378,299.73245,190
23.70306,507.42026,295.43787,191
23.99702,664.5117,294.0249,192
24.69361,0.0,342.88657,193
25.223597,220.35576,332.74615,194
25.185163,253.83139,302.19427,195
25.213953,603.4268,287.45575,196
24.868742,605.7556,362.22092,197
25.444931,628.4733,345.83173,198
23.160885,636.06976,293.33575,199
25.006208,637.3461,323.73376,200
24.93646,671.07056,291.03342,201
25.708838,450.0723,299.9279,202
25.423502,476.77753,298.4713,203
26.071987,556.09033,289.93304,204
26.517666,607.69684,298.3838,205
25.813965,615.71857,359.7627,206
26.03608,640.4211,300.44553,207
26.072168,702.4163,288.8569,208
26.104364,702.9984,317.17154,209
27.340805,0.0,355.54672,210
26.660788,94.69025,312.99893,211
26.826786,184.08115,330.28915,212
27.43127,344.1899,305.80478,213
26.632425,469.28516,298.93182,214
26.807405,497.45566,299.45383,215
26.825054,588.1545,382.04578,216
26.841368,598.4151,382.8218,217
27.02715,619.13586,294.2185,218
27.113594,649.706,321.49796,219
27.679823,111.23921,306.84506,220
27.84947,171.17165,329.5195,221
28.16413,199.16449,305.90198,222
27.599724,535.64276,440.57132,223
28.11883,654.6078,296.68042,224
28.585295,177.50589,306.43192,225
28.807055,211.18477,339.24478,226
29.056135,237.18604,351.3066,227
28.88856,312.48843,305.49466,228
28.86006,409.23004,303.29474,229
28.554497,474.5454,442.37363,230
29.049116,615.194,295.69803,231
29.460075,663.4872,319.21194,232
30.330723,15.999937,327.6995,233
29.79002,296.496,308.24078,234
29.926128,314.18024,408.79712,235
30.661823,542.6283,300.61035,236
31.052261,8.615462,311.2164,237
30.94972,212.48637,310.8374,238
30.865042,226.67558,310.0622,239
30.515682,227.64255,351.2569,240
31.888496,633.0181,361.87433,241
30.763042,676.9969,299.60938,242
30.866385,695.73785,298.69864,243
32.235073,249.73291,312.58054,244
34.016468,284.00247,314.2339,245
32.70624,351.35648,352.08435,246
31.814127,469.03912,456.00995,247
32.497406,491.4896,306.3887,248
32.021473,682.1598,311.84613,249
33.48284,89.10261,315.98,250
32.717175,110.34649,317.86804,251
33.918285,155.4197,315.28632,252
33.708,373.73907,368.6869,253
34.13895,454.6231,308.46118,254
34.160175,610.3792,384.9653,255
33.510223,670.99585,334.99792,256
34.187763,678.4669,327.8145,257
34.83149,0.0,329.40448,258
34.276978,180.69115,316.65454,259
34.905197,273.0613,315.7729,260
34.98039,347.5458,314.174,261
34.943024,405.6011,311.0639,262
35.395313,81.05365,320.64682,263
35.55879,259.95602,316.63052,264
36.01237,363.7495,359.06238,265
36.202187,418.85547,310.97247,266
36.18922,619.14703,308.62506,267
36.99962,96.999,324.99667,268
37.000465,220.79378,320.2483,269
36.1125,329.08237,315.1998,270
37.63497,381.53717,317.95804,271
37.788563,132.06186,336.3641,272
37.910286,345.78592,428.4623,273
37.7251,507.10803,310.8639,274
38.565697,554.4949,312.83365,275
38.17006,597.21313,406.60324,276
38.261814,653.09845,309.32605,277
39.024895,159.86511,345.52347,278
