z,y,x,idx
100.63098,364.62064,519.0161,0
0.0,0.0,259.09497,1
0.0,0.0,363.48422,2
0.0,11.977435,254.70044,3
0.0,117.06509,254.37268,4
0.0,335.9971,251.44476,5
0.0,615.06195,285.67883,6
1.7584718,636.6394,242.25755,7
0.948573,647.2423,244.84193,8
0.0,649.9523,289.42892,9
0.0,662.9993,292.99896,10
0.0,693.6509,295.0921,11
4.25623,0.032474138,297.19016,12
3.9999626,0.0,315.99707,13
4.5169334,0.0,329.44418,14
3.9694314,14.667337,275.76108,15
4.067367,535.29913,249.07529,16
4.161876,590.1514,248.72218,17
4.1188917,604.41974,246.65793,18
4.3766966,613.42535,270.54565,19
3.9999816,624.4766,246.99886,20
4.5285974,659.6858,272.90387,21
4.0500126,700.82776,268.8057,22
5.41635,7.881637,291.80707,23
4.902394,13.765828,268.66245,24
4.998242,117.00136,264.95276,25
5.288529,336.32983,262.37717,26
5.1411643,564.8416,253.73404,27
4.3276687,637.2127,251.16359,28
5.2539506,647.0364,254.39978,29
4.954382,671.02386,254.28717,30
4.496189,680.50476,247.57661,31
5.063607,688.94037,279.472,32
5.312198,694.63617,282.06573,33
4.767616,701.12787,273.00577,34
5.949269,533.86084,273.79626,35
6.3439193,595.2003,275.07645,36
6.2126245,621.9565,275.30215,37
6.056502,669.68823,277.43298,38
6.2007675,1.0893316,274.82355,39
7.247561,236.72443,270.7911,40
6.670966,350.85397,347.22934,41
7.0426035,360.3328,339.4188,42
6.488737,546.8162,274.59195,43
6.48653,607.4963,258.17392,44
8.450643,475.8362,394.94376,45
8.078568,92.0712,275.47223,46
8.760072,188.51088,274.21875,47
8.7115345,453.8365,276.75293,48
8.4965,490.5212,310.68365,49
8.291917,520.34393,280.31277,50
7.87,640.68823,260.46637,51
8.693483,659.89044,261.96863,52
8.951549,702.9996,292.30197,53
10.608655,0.0,305.83395,54
9.731292,9.1438055,294.75488,55
9.691192,167.28511,276.45276,56
10.172299,419.9597,276.78284,57
8.9811735,616.2047,263.25916,58
10.130922,657.8548,281.63464,59
9.790021,693.1327,261.87775,60
11.56845,123.7438,281.1781,61
11.247363,333.7792,337.13986,62
11.138154,400.93414,295.77945,63
10.770291,537.175,267.8437,64
9.58846,544.6393,268.0652,65
11.468047,562.3708,267.73355,66
12.899332,631.9256,281.19073,67
10.472963,647.9244,265.84174,68
11.59191,0.0,299.49652,69
12.500534,81.51588,283.484,70
11.498205,198.99954,278.49792,71
12.43951,0.0,333.81985,72
13.214159,113.52652,283.49585,73
13.454919,198.78069,302.77902,74
12.752234,500.62326,303.43066,75
12.678191,582.05457,268.57516,76
14.329257,317.56958,340.42044,77
14.3414755,348.7169,290.4717,78
13.679476,434.2725,282.24646,79
13.645897,467.36258,301.61563,80
13.298634,484.33044,300.93787,81
12.983928,514.5218,283.64175,82
14.722613,0.0,317.10736,83
14.938639,99.28073,286.17914,84
14.646962,209.05392,283.40854,85
15.087853,308.55203,380.47556,86
15.237779,416.75082,412.75183,87
15.3389,459.1393,282.6276,88
14.387406,543.984,320.5482,89
15.177044,670.0638,287.16937,90
15.576716,173.4862,284.59323,91
16.539148,188.60892,285.02396,92
16.489534,242.76436,316.12402,93
15.538343,402.37756,291.19662,94
15.840316,438.2316,305.51358,95
15.662136,493.65875,284.38696,96
15.842861,610.7325,270.9888,97
17.003304,658.2318,274.51724,98
15.906744,694.15,272.55267,99
17.93879,146.75816,305.9516,100
17.369207,204.92859,312.7086,101
17.967537,227.67816,289.18454,102
18.071745,416.1452,292.61417,103
17.689035,504.55276,289.8441,104
18.391178,582.3435,277.9904,105
18.51473,597.99866,345.49344,106
19.364326,159.99945,310.32013,107
18.854301,298.13147,343.03207,108
18.391825,359.49814,409.22534,109
18.975769,522.6448,278.5953,110
18.355433,535.01117,283.55618,111
19.181759,545.5329,294.7233,112
18.605175,563.0906,314.0928,113
19.46393,668.4942,278.46924,114
20.192873,697.2694,276.32346,115
19.653313,15.256777,303.465,116
20.219366,291.99945,388.44254,117
22.28441,556.39703,289.65247,118
19.579445,592.17456,286.59576,119
19.54123,618.8094,287.59717,120
20.481121,73.77408,296.84396,121
21.604944,102.58752,299.13495,122
20.718102,279.86438,369.32916,123
20.502111,517.1387,291.17535,124
22.477934,528.4811,294.4184,125
22.19205,197.13141,322.71545,126
21.809238,246.94858,295.8271,127
21.9998,428.9961,294.9973,128
22.268667,445.18048,297.11844,129
21.001453,563.38477,285.9387,130
22.545458,613.75525,347.48187,131
22.594156,636.4794,292.9391,132
22.195251,700.30273,294.92484,133
23.211136,165.76273,319.33704,134
23.234806,234.13402,333.98886,135
22.999784,328.99692,300.9972,136
23.385735,577.8116,290.1236,137
23.51148,631.3398,329.3207,138
23.43367,0.0,328.99863,139
23.510542,507.4192,295.26672,140
24.010729,664.5602,293.99496,141
24.622488,0.0,342.7649,142
24.84619,605.89276,362.1738,143
25.133888,637.4095,323.9984,144
25.482965,640.9975,299.99884,145
24.720646,671.0251,290.99802,146
25.495752,449.93512,299.85367,147
25.444921,476.79947,298.75903,148
26.054258,702.45734,288.96213,149
27.25302,0.0,355.72632,150
26.866688,184.03648,330.2771,151
26.659208,588.3727,381.66,152
27.612562,111.24884,306.31302,153
27.999731,597.99426,382.9963,154
27.705276,654.7725,296.807,155
28.53745,177.53127,306.28937,156
28.713818,236.99922,351.381,157
28.492258,312.32614,305.24744,158
29.042776,409.31912,303.2347,159
28.81128,474.63412,442.47754,160
29.05741,663.5381,319.42477,161
29.99908,296.5247,308.16708,162
30.70317,542.55835,300.63474,163
31.376265,8.716331,311.28748,164
31.506495,212.99951,310.44327,165
30.962152,226.51945,310.10394,166
30.999733,632.99457,361.9969,167
30.713978,676.97253,299.57117,168
30.563904,695.95526,298.62387,169
31.892984,469.07114,456.09625,170
32.38921,249.751,312.59912,171
33.501877,89.143684,315.96948,172
32.82464,110.3893,317.79263,173
34.086174,155.49146,315.2749,174
34.07153,283.74246,314.29565,175
34.21379,610.4691,385.08676,176
34.281033,678.5368,327.89218,177
34.776775,0.0,329.12842,178
34.438683,180.78543,316.63782,179
34.827312,274.0632,315.71793,180
35.514484,81.21933,320.51672,181
35.64607,405.66345,311.1768,182
36.276955,619.4795,308.81055,183
37.32775,220.87566,320.09573,184
36.50051,329.1228,315.27997,185
37.733006,132.11815,336.30414,186
37.99961,381.99606,317.99673,187
37.95655,507.16043,310.90384,188
38.366764,597.25867,406.68158,189
38.38045,653.0995,309.28897,190
38.46843,659.9657,356.61887,191
39.0158,159.99968,345.94733,192
39.075943,539.1549,312.10657,193
39.99608,145.00404,324.11264,194
39.607582,165.49957,323.43784,195
40.23352,302.36404,336.3659,196
41.092495,602.2219,313.15842,197
39.674004,611.99817,392.35522,198
41.355927,140.64473,325.90604,199
41.203075,585.77924,417.50284,200
41.77486,184.2522,326.98038,201
43.844097,0.0,352.67856,202
42.97191,196.37976,329.0863,203
43.215458,312.89294,326.31235,204
43.305363,541.3244,318.94818,205
44.10481,337.13452,326.23645,206
44.09486,593.1473,415.26996,207
45.29501,319.48407,427.52017,208
45.525112,368.29288,328.23193,209
44.99109,585.7754,320.62476,210
44.763435,655.4808,318.18503,211
46.0766,118.24323,334.24966,212
45.3214,202.55537,331.6105,213
46.29745,434.61526,326.62787,214
45.717667,560.89557,322.4965,215
45.81749,625.2796,391.0931,216
47.152588,99.39962,341.00156,217
46.625217,573.5121,435.6322,218
47.178383,578.6482,324.19876,219
48.670208,343.57172,344.95685,220
47.999836,351.6611,404.7043,221
48.220844,682.5312,356.62488,222
47.565117,683.9803,321.466,223
49.414577,345.2387,334.19684,224
49.07289,360.29102,335.12225,225
49.59764,486.58582,330.53503,226
50.18796,211.39526,339.47205,227
50.306847,461.48224,331.6546,228
51.135166,239.98157,342.071,229
51.15715,586.4958,330.34653,230
51.263775,702.9998,328.5605,231
51.741333,328.64053,337.83035,232
51.48491,442.92303,334.5595,233
52.825157,295.3085,342.1518,234
53.955494,636.2626,332.3804,235
54.25352,167.825,345.56442,236
54.499268,282.9793,353.94354,237
55.424446,352.81177,344.38202,238
54.814613,499.1679,337.2842,239
54.448326,544.9341,338.80783,240
55.002445,629.7216,333.64877,241
56.131706,421.50974,462.8338,242
56.184925,602.5452,420.7035,243
56.51903,615.99274,337.9264,244
55.84963,660.7135,377.03052,245
55.97761,664.8439,335.1301,246
55.62329,675.7681,336.55554,247
56.333393,148.62831,351.2425,248
56.860905,277.12698,349.67816,249
56.72515,416.1934,343.63898,250
56.66236,433.60126,364.77145,251
57.14472,340.25717,346.72223,252
58.429115,20.882248,361.56497,253
58.826958,489.5112,347.0361,254
59.391125,501.6964,348.77347,255
59.094467,545.47,344.1182,256
59.988773,217.57822,356.84683,257
59.449757,627.5033,342.79434,258
60.36845,646.50616,342.9548,259
60.44442,107.45712,356.85724,260
61.388214,242.92227,357.7378,261
60.365234,388.0327,351.99222,262
61.028816,629.21204,403.29193,263
61.014698,185.07947,357.0146,264
61.979626,394.88885,387.07385,265
61.986176,468.62305,353.6037,266
62.381813,575.56555,348.09012,267
62.205887,607.4717,348.6212,268
63.149475,128.45216,361.9659,269
62.79544,140.72469,360.9291,270
62.51364,364.041,353.5693,271
63.15527,544.3562,465.83408,272
63.396255,635.87024,401.01093,273
64.03108,296.2554,360.48843,274
64.04704,350.2691,356.92432,275
64.216774,599.06934,429.24396,276
64.67738,537.71796,353.17764,277
66.14874,439.50485,382.12033,278
66.16172,550.4057,356.60043,279
65.91753,590.1181,437.24304,280
65.57144,594.6882,354.06433,281
65.61917,656.972,349.4648,282
66.660835,262.34518,363.99866,283
66.31929,377.10547,361.21115,284
66.28986,668.05945,352.91452,285
66.44911,678.4327,350.92102,286
68.03501,132.25146,369.72623,287
68.15485,577.96814,356.4223,288
69.06331,333.5363,365.4652,289
68.630135,684.3863,357.56662,290
69.538155,360.2183,367.20502,291
69.69805,413.6794,364.02667,292
70.042816,663.1195,385.37067,293
71.312416,203.6174,376.54272,294
71.3084,371.462,370.14822,295
70.872116,423.65503,366.84976,296
71.36872,525.77264,363.78622,297
71.0712,664.29584,359.00897,298
76.226875,356.79114,373.28104,299
75.11681,382.3836,462.4513,300
75.88588,520.4718,370.97467,301
76.253,569.1314,371.08716,302
77.13097,632.793,407.38052,303
77.34525,666.22266,370.55704,304
77.599976,384.57327,377.93777,305
77.460884,471.3895,376.55392,306
77.7837,588.1381,376.17798,307
79.06633,437.4332,378.24,308
78.86799,536.04913,374.48755,309
79.46947,340.5439,380.5677,310
80.99126,173.93483,389.30045,311
81.0148,431.38107,381.7212,312
81.18087,550.99005,379.5711,313
82.00721,152.71388,389.75626,314
82.35748,413.63947,384.45096,315
82.711,602.6253,381.43567,316
81.84806,646.8492,376.47888,317
82.41651,135.86578,392.17374,318
82.75249,268.0807,387.2326,319
82.47416,442.5234,459.0711,320
82.72471,474.4498,404.21127,321
83.218765,497.95618,384.17627,322
82.884735,631.4927,378.6892,323
82.92873,702.9992,378.3933,324
84.11286,396.0828,466.97577,325
83.91561,520.31055,382.18604,326
84.08051,665.71533,379.05502,327
85.38238,294.9769,393.4816,328
85.28758,360.14542,389.7245,329
85.0313,463.18036,431.91043,330
85.04123,583.2238,454.36652,331
86.76664,145.89856,397.9424,332
87.141525,195.89603,637.8583,333
86.70831,677.4585,384.36777,334
87.8668,455.65262,388.75287,335
87.94357,461.42978,389.66534,336
86.96434,588.71747,389.56033,337
87.75029,617.1382,385.97525,338
87.8422,625.4284,389.7529,339
88.38201,324.91815,450.12503,340
89.43355,383.2197,393.79422,341
89.95527,436.8628,393.4583,342
90.23861,581.847,393.43182,343
88.85734,653.6818,389.74622,344
91.99893,174.99797,405.99527,345
91.87466,640.50757,401.56982,346
92.82644,440.865,398.86,347
93.83144,573.7088,405.1911,348
93.505905,604.411,398.40607,349
93.668755,472.76968,398.49527,350
94.417595,499.32715,400.7578,351
93.88855,617.4077,401.19626,352
94.46089,693.8922,397.38565,353
94.97041,20.346899,415.6205,354
95.30751,182.78789,669.7086,355
95.311485,184.74352,658.2863,356
95.215706,192.99968,640.243,357
95.276054,516.0889,400.5602,358
95.30346,583.8983,427.64145,359
95.701065,591.8458,402.9291,360
95.47992,425.19962,406.67072,361
97.71638,436.83896,474.813,362
96.34531,448.77603,404.37305,363
96.586685,563.31464,442.7193,364
96.61952,578.54865,441.19244,365
97.66225,529.86835,403.1069,366
99.28879,580.9085,433.23657,367
96.39003,670.57245,403.79562,368
98.443085,200.60739,646.7011,369
99.201645,585.8029,407.16022,370
99.499084,122.99919,420.99722,371
98.682205,197.7892,634.46094,372
99.423096,462.1645,476.29428,373
100.23591,164.95824,646.4192,374
100.29412,494.2263,488.87393,375
100.213196,500.37366,408.40555,376
100.28618,619.43335,410.02148,377
99.963875,653.085,408.00262,378
102.016556,192.36217,681.47766,379
101.676056,532.62225,452.90472,380
101.15074,549.59357,459.63098,381
103.38871,570.39465,445.40958,382
101.91249,578.26984,415.8083,383
101.46897,666.0088,410.58743,384
101.99844,702.98926,407.99377,385
103.317245,318.02658,537.1089,386
103.02487,412.81937,466.92676,387
104.49814,331.99908,557.46924,388
104.26265,432.26703,417.51572,389
104.38224,523.6987,458.20816,390
104.06733,567.1296,417.85846,391
104.06991,684.48505,413.9185,392
105.3653,448.01813,419.06973,393
104.75483,539.7183,502.80875,394
104.54822,579.86725,444.00076,395
106.294,157.30002,582.5235,396
106.439735,181.74509,688.9108,397
107.31377,196.85437,689.46783,398
106.7099,201.89818,621.2042,399
107.03928,328.8027,540.2017,400
107.3233,474.41965,421.58298,401
106.83924,493.31598,483.0438,402
106.99852,512.1917,454.0266,403
108.05705,528.3206,440.57733,404
108.01357,617.964,422.60504,405
109.139626,209.83289,631.0083,406
110.291595,452.77838,464.53967,407
109.14244,456.26712,423.72552,408
108.58291,508.70804,464.59564,409
108.6231,549.6308,484.24835,410
108.479935,579.75415,435.9144,411
108.765625,624.70215,437.297,412
108.90816,651.6652,427.10294,413
110.68596,128.0002,635.28235,414
109.939026,142.29277,581.80115,415
110.18912,445.16217,427.30722,416
109.99002,678.57837,435.91946,417
110.86986,195.89247,698.9867,418
110.87691,378.0631,428.2015,419
110.53938,645.41266,438.41507,420
111.70316,0.0,513.74603,421
111.63466,143.90215,592.3094,422
112.22833,328.87122,531.3971,423
111.82628,387.22668,461.01453,424
111.83219,387.72256,429.17346,425
112.833565,686.78894,445.1425,426
112.40995,691.5944,441.29547,427
112.99903,127.9989,645.99445,428
112.633934,433.58508,459.42505,429
113.39491,462.28537,459.99893,430
113.13516,486.4534,455.8279,431
112.96312,514.967,441.82144,432
113.01513,524.78564,429.3993,433
112.54392,532.338,457.74893,434
112.86884,536.4354,493.31274,435
113.27867,605.26874,435.54187,436
113.6458,592.9232,444.07596,437
113.868805,633.3564,454.5236,438
115.20202,443.606,462.2386,439
114.96332,455.7755,435.13092,440
114.61021,622.745,459.91797,441
115.55781,651.7039,454.48013,442
114.59191,172.0515,587.85095,443
115.70802,239.51837,706.4089,444
116.57573,249.16676,700.40234,445
116.39776,602.22003,464.66006,446
115.88983,631.9777,464.40173,447
116.92287,0.0,507.8231,448
118.00586,192.49023,603.6348,449
116.65331,295.64273,502.438,450
117.631256,618.2691,467.3552,451
117.51268,697.20056,461.0647,452
117.501724,86.25804,453.72498,453
117.849976,161.37474,585.5829,454
117.9389,245.17096,666.9986,455
117.707085,347.844,547.04285,456
118.43567,590.7475,504.87122,457
118.803474,209.13968,628.07666,458
117.79058,216.2901,624.7473,459
119.09624,459.53082,440.8201,460
118.687004,673.94934,474.43784,461
118.25812,677.5384,438.91418,462
119.23842,133.78537,597.8207,463
118.92787,202.49251,608.9118,464
119.698456,354.5112,563.77747,465
119.28507,555.9763,441.48926,466
120.256065,575.2432,459.014,467
119.88485,641.3253,477.7906,468
119.88827,651.73065,472.2253,469
119.551575,686.1883,471.70764,470
121.02318,0.0,525.0544,471
120.58921,358.6514,576.3636,472
120.4964,409.50357,445.47485,473
121.46591,428.93567,449.26913,474
121.08493,597.4956,478.34402,475
120.729485,615.22485,563.56366,476
120.439964,678.61,477.54758,477
122.215744,123.144035,595.01227,478
120.83751,184.66684,597.83545,479
122.05992,241.14738,642.6037,480
121.516335,545.4995,455.24185,481
121.93167,565.1123,509.26437,482
122.482414,609.1093,482.03537,483
122.01416,615.703,487.7769,484
123.617195,173.2948,583.3692,485
123.55814,215.90154,625.97186,486
122.85269,308.06268,505.4875,487
123.18598,332.70053,526.70465,488
123.53202,356.19226,554.0149,489
123.462814,435.96225,450.40408,490
123.111885,585.42316,448.11432,491
122.98602,595.84973,471.9602,492
123.68733,633.8904,491.1449,493
124.376205,662.2205,475.21906,494
123.77841,700.195,481.82718,495
